sep=,
Symbol,LongAdg,LongAdgWeighted,LongMaxHoursStuck,LongLowestEquityBalance,LongMeanEquityBalance,LongLpRatio,LongNetPnl,LongMaxDrawDown,LongMaxDrawDownMean,ShortAdg,ShortAdgWeighted,ShortMaxHoursStuck,ShortLowestEquityBalance,ShortMeanEquityBalance,ShortLpRatio,ShortNetPnl,ShortMaxDrawDown,ShortMaxDrawDownMean,Days
1000SHIBUSDT,0.225,0.0508,111.733,0.7991,0.9442,0.0,76802.6,19.955,0.72669,,,,,,,,,,960.0
ADAUSDT,0.0989,0.0302,129.467,0.6002,0.6928,0.01971,31041.8,39.999,15.003,,,,,,,,,,1400.0
ALGOUSDT,0.0927,0.0516,111.7,0.9202,0.9398,0.000738,23095.2,7.9995,1.5624,,,,,,,,,,1300.0
APTUSDT,0.0643,0.0569,114.233,0.848,0.8652,0.02354,3242.68,15.215,10.132,,,,,,,,,,440.0
ATOMUSDT,0.0853,0.0285,217.25,0.5099,0.7117,0.005561,23582.8,49.02,6.1276,,,,,,,,,,1400.0
AVAXUSDT,0.112,0.0461,125.667,0.7006,0.7165,0.03121,28069.4,31.054,17.889,,,,,,,,,,1200.0
AXSUSDT,0.107,0.0367,116.95,0.7433,0.7748,0.05174,23738.4,24.902,16.114,,,,,,,,,,1100.0
BCHUSDT,0.054,0.0454,143.333,0.4601,0.535,0.06772,11996.3,54.063,31.31,,,,,,,,,,1500.0
BNBUSDT,0.0413,0.0131,240.517,0.4086,0.4958,0.1182,7951.47,59.249,36.602,,,,,,,,,,1400.0
BSVUSDT,0.0973,0.0547,74.7333,0.9173,0.9965,0.0,709.144,0.56612,0.26817,,,,,,,,,,70.0
BTCUSDT,0.0271,0.00836,400.867,0.9125,0.9756,0.0,4851.49,2.9929,0.67752,,,,,,,,,,1500.0
DOGEUSDT,0.11,0.0467,129.3,0.873,0.9385,0.001628,30214.6,12.694,1.6868,,,,,,,,,,1300.0
DOTUSDT,0.0854,0.0327,131.083,0.783,0.9442,0.0007033,18452.9,21.341,1.003,,,,,,,,,,1200.0
EGLDUSDT,0.0964,0.035,134.533,0.9086,0.9507,9.212e-05,21833.3,9.161,0.93392,,,,,,,,,,1200.0
EOSUSDT,0.0896,0.0307,141.4,0.6003,0.7007,0.03811,26673.0,39.951,17.716,,,,,,,,,,1500.0
ETCUSDT,0.0996,0.0512,227.367,0.6043,0.7023,0.004611,32066.0,39.589,8.6709,,,,,,,,,,1400.0
ETHUSDT,0.0628,0.0213,355.15,0.5712,0.7656,0.002655,14996.0,42.888,2.1367,,,,,,,,,,1500.0
FILUSDT,0.0863,0.0439,137.767,0.725,0.7472,0.05734,17429.5,27.896,18.259,,,,,,,,,,1200.0
FLOWUSDT,0.0407,0.0474,114.617,0.6371,0.657,0.2536,3233.2,37.422,27.531,,,,,,,,,,690.0
FTMUSDT,0.145,0.0625,86.8167,0.6496,0.6818,0.007217,46080.9,35.91,16.99,,,,,,,,,,1200.0
GALAUSDT,0.0048,0.074,106.133,0.4744,0.4781,0.903,407.584,71.759,69.264,,,,,,,,,,830.0
GRTUSDT,0.113,0.0473,96.1333,0.7447,0.7816,0.005134,24697.8,25.534,5.6332,,,,,,,,,,1100.0
HBARUSDT,0.0782,0.0445,129.733,0.8306,0.884,0.001989,12165.6,16.9,1.9997,,,,,,,,,,1000.0
ICPUSDT,0.0469,0.0606,110.433,0.9418,0.9881,0.0,2403.1,4.4947,0.51676,,,,,,,,,,460.0
IMXUSDT,0.0791,0.0683,111.617,0.8841,0.9505,0.001151,7213.46,6.4998,1.6426,,,,,,,,,,690.0
INJUSDT,0.0698,0.0921,151.517,0.9394,0.9867,0.0,4171.31,1.8062,0.79662,,,,,,,,,,500.0
KASUSDT,0.0507,0.043,34.4167,0.9912,0.9972,0.0,220.657,0.88747,0.29152,,,,,,,,,,43.0
KAVAUSDT,0.0818,0.0474,88.0667,0.6151,0.6249,0.2204,17796.9,45.039,36.138,,,,,,,,,,1200.0
LDOUSDT,0.0588,0.044,186.133,0.8628,0.9109,0.003365,3132.32,13.536,2.4861,,,,,,,,,,460.0
LINKUSDT,0.105,0.0441,130.65,0.7997,0.9499,0.0005598,35514.0,7.5129,1.0644,,,,,,,,,,1400.0
LTCUSDT,0.0579,0.0251,145.05,0.649,0.7528,0.01124,13166.6,35.114,8.1677,,,,,,,,,,1500.0
