,balance,equity,balance_btc,equity_btc
0,100024.62223873398,100000.0,0.0,0.0
60,100024.62223873398,100031.69167873399,0.0,7.069440000000062
120,100024.62223873398,100018.56271873399,0.0,-6.059519999999753
180,100024.62223873398,100031.18671873398,0.0,6.564480000000258
240,100117.54896327198,100032.19663873398,0.0,7.574400000000217
300,100132.59132837999,100126.28886327198,0.0,8.739899999999981
360,100132.59132837999,100126.82460837999,0.0,-5.766720000000099
420,100132.59132837999,100137.39692838,0.0,4.805599999999804
480,100132.59132837999,100145.56644837999,0.0,12.975119999999972
540,100132.59132837999,100168.15276838,0.0,35.561439999999884
600,100154.19537544399,100176.32228837999,0.0,43.73095999999972
660,100158.93482590998,100158.48423544399,0.0,4.288859999999991
720,100158.93482590998,100127.17213590998,0.0,-31.762689999999857
780,100158.93482590998,100131.43876590997,0.0,-27.496059999999865
840,100158.93482590998,100095.40944590997,0.0,-63.52538000000004
900,100158.93482590998,100120.06108590998,0.0,-38.873739999999735
960,100158.93482590998,100097.77979590998,0.0,-61.155029999999975
1020,100158.93482590998,100091.14281590997,0.0,-67.79201000000003
1080,100158.93482590998,100123.85364590999,0.0,-35.08117999999989
1140,100158.93482590998,100120.06108590998,0.0,-38.873739999999735
1200,100158.93482590998,100111.52782590997,0.0,-47.40700000000004
1260,100158.93482590998,100124.32771590998,0.0,-34.60710999999974
1320,100158.93482590998,100133.80911590999,0.0,-25.1257099999998
1380,100158.93482590998,100121.95736590998,0.0,-36.97745999999981
1440,100158.93482590998,100131.43876590997,0.0,-27.496059999999865
1500,100158.93482590998,100122.43143590998,0.0,-36.503389999999996
1560,100158.93482590998,100084.03176590998,0.0,-74.90305999999991
1620,100158.93482590998,100095.40944590997,0.0,-63.52538000000004
1680,100158.93482590998,100098.25386590998,0.0,-60.68095999999983
1740,100158.93482590998,100099.67607590999,0.0,-59.258750000000056
1800,100158.93482590998,100095.88351590998,0.0,-63.0513099999999
1860,100158.93482590998,100095.40944590997,0.0,-63.52538000000004
1920,100158.93482590998,100068.38745590998,0.0,-90.54736999999976
1980,100158.93482590998,100066.96524590997,0.0,-91.96957999999987
2040,100158.93482590998,100087.35025590997,0.0,-71.58456999999989
2100,100158.93482590998,100112.00189590998,0.0,-46.9329299999999
2160,100158.93482590998,100104.89084590998,0.0,-54.04397999999977
2220,100158.93482590998,100118.16480590998,0.0,-40.77001999999998
2280,100158.93482590998,100122.90550590998,0.0,-36.02931999999985
2340,100158.93482590998,100116.74259590998,0.0,-42.19222999999976
2400,100158.93482590998,100111.52782590997,0.0,-47.40700000000004
2460,100158.93482590998,100147.08307590998,0.0,-11.85175000000001
2520,100158.93482590998,100153.72005590997,0.0,-5.214769999999952
2580,100158.93482590998,100120.06108590998,0.0,-38.873739999999735
2640,100158.93482590998,100122.43143590998,0.0,-36.503389999999996
2700,100158.93482590998,100134.28318590998,0.0,-24.651639999999983
2760,100158.93482590998,100119.11294590998,0.0,-39.82188000000002
2820,100158.93482590998,100122.90550590998,0.0,-36.02931999999985
2880,100158.93482590998,100134.28318590998,0.0,-24.651639999999983
2940,100158.93482590998,100159.40889590998,0.0,0.47407000000014515
3000,100158.93482590998,100153.24598590998,0.0,-5.688839999999768
3060,100158.93482590998,100154.66819590998,0.0,-4.26662999999999
3120,100158.93482590998,100157.98668590999,0.0,-0.9481399999999613
3180,100158.93482590998,100141.39423590997,0.0,-17.540589999999778
3240,100158.93482590998,100121.00922590998,0.0,-37.92559999999977
3300,100158.93482590998,100116.74259590998,0.0,-42.19222999999976
3360,100158.93482590998,100110.57968590998,0.0,-48.355140000000006
3420,100158.93482590998,100131.43876590997,0.0,-27.496059999999865
3480,100158.93482590998,100136.17946590998,0.0,-22.75535999999973
3540,100158.93482590998,100117.69073590999,0.0,-41.2440899999998
3600,100158.93482590998,100114.37224590998,0.0,-44.562579999999826
3660,100158.93482590998,100091.14281590997,0.0,-67.79201000000003
3720,100158.93482590998,100082.60955590998,0.0,-76.32527000000002
3780,100158.43086763797,99971.20310590998,0.0,-187.7317199999999
