,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2,ADA,0.0,-0.48817826200000003,99999.511821738,0.0,99999.511821738,1.0,51161.0,0.04771,51161.0,0.04771,entry_initial_normal_long
1,57,ADA,26.092109999999824,-0.49339668400000003,100025.11053505399,0.0,100025.11053505399,1.0,-51161.0,0.04822,0.0,0.04771,close_trailing_long
2,58,ADA,0.0,-0.48829632000000006,100024.62223873398,0.0,100024.62223873398,1.0,50496.0,0.04835,50496.0,0.04835,entry_initial_normal_long
3,292,ADA,93.92256000000003,-0.507080832,100118.03771790199,0.0,100118.03771790199,1.0,-50496.0,0.05021,0.0,0.04835,close_trailing_long
4,293,ADA,0.0,-0.48875463,100117.54896327198,0.0,100117.54896327198,1.0,48555.0,0.05033,48555.0,0.05033,entry_initial_normal_long
5,340,ADA,16.023149999999852,-0.49195926,100133.08015401199,0.0,100133.08015401199,1.0,-48555.0,0.05066,0.0,0.05033,close_trailing_long
6,341,ADA,0.0,-0.48882563200000007,100132.59132837999,0.0,100132.59132837999,1.0,48056.0,0.05086,48056.0,0.05086,entry_initial_normal_long
7,626,ADA,22.586319999999912,-0.49334289600000003,100154.68430548398,0.0,100154.68430548398,1.0,-48056.0,0.05133,0.0,0.05086,close_trailing_long
8,628,ADA,0.0,-0.48893004,100154.19537544399,0.0,100154.19537544399,1.0,47654.0,0.0513,47654.0,0.0513,entry_initial_normal_long
9,707,ADA,5.718480000000097,-0.49007373600000004,100159.42378170798,0.0,100159.42378170798,1.0,-47654.0,0.05142,0.0,0.0513,close_trailing_long
10,708,ADA,0.0,-0.488955798,100158.93482590998,0.0,100158.93482590998,1.0,47407.0,0.05157,47407.0,0.05157,entry_initial_normal_long
11,3785,ADA,0.0,-0.5039582720000001,100158.43086763797,0.0,100158.43086763797,1.0,52148.0,0.04832,99555.0,0.04986761438400884,entry_trailing_normal_long
12,4413,ADA,0.0,-1.05021049,100157.38065714798,0.0,100157.38065714798,1.0,109511.0,0.04795,209066.0,0.04886314752279185,entry_trailing_normal_long
13,4433,ADA,0.0,-3.3585445000000003,100154.02211264797,0.0,100154.02211264797,1.0,353531.0,0.0475,562597.0,0.0480065576247296,entry_grid_normal_long
14,4635,ADA,0.0,-8.86660064,100145.15551200797,0.0,100145.15551200797,1.0,951352.0,0.0466,1513949.0,0.04712268940367212,entry_grid_normal_long
15,5120,ADA,1600.7143200000003,-14.588412564000002,101731.28141944397,0.0,101731.28141944397,1.0,-1513949.0,0.04818,0.0,0.04712268940367212,close_trailing_long
16,5121,ADA,0.0,-0.4966285080000001,101730.78479093597,0.0,101730.78479093597,1.0,51294.0,0.04841,51294.0,0.04841,entry_initial_normal_long
17,5171,ADA,42.06108000000007,-0.5050407240000001,101772.34083021196,0.0,101772.34083021196,1.0,-51294.0,0.04923,0.0,0.04841,close_trailing_long
18,5172,ADA,0.0,-0.49682840400000006,101771.84400180797,0.0,101771.84400180797,1.0,49554.0,0.05013,49554.0,0.05013,entry_initial_normal_long
19,7877,ADA,25.27253999999983,-0.501882912,101796.61465889597,0.0,101796.61465889597,1.0,-49554.0,0.05064,0.0,0.05013,close_trailing_long
20,7878,ADA,0.0,-0.496946914,101796.11771198196,0.0,101796.11771198196,1.0,48941.0,0.05077,48941.0,0.05077,entry_initial_normal_long
21,8647,ADA,0.0,-0.527583,101795.59012898196,0.0,101795.59012898196,1.0,53835.0,0.049,102776.0,0.049842857962948545,entry_trailing_normal_long
22,8816,ADA,16.15043000000066,-1.02776,101810.71279898196,0.0,101810.71279898196,1.0,-102776.0,0.05,0.0,0.049842857962948545,close_trailing_long
23,8819,ADA,0.0,-0.49701651999999996,101810.21578246195,0.0,101810.21578246195,1.0,49652.0,0.05005,49652.0,0.05005,entry_initial_normal_long
24,9733,ADA,25.322520000000175,-0.502081024,101835.03622143796,0.0,101835.03622143796,1.0,-49652.0,0.05056,0.0,0.05005,close_trailing_long
25,9736,ADA,0.0,-0.49712968600000007,101834.53909175195,0.0,101834.53909175195,1.0,48959.0,0.05077,48959.0,0.05077,entry_initial_normal_long
26,9791,ADA,16.15646999999985,-0.5003609800000001,101850.19520077195,0.0,101850.19520077195,1.0,-48959.0,0.0511,0.0,0.05077,close_trailing_long
27,9792,ADA,0.0,-0.4972034640000001,101849.69799730796,0.0,101849.69799730796,1.0,48574.0,0.05118,48574.0,0.05118,entry_initial_normal_long
28,10121,ADA,78.68987999999983,-0.51294144,101927.87493586796,0.0,101927.87493586796,1.0,-48574.0,0.0528,0.0,0.05118,close_trailing_long
29,10125,ADA,0.0,-0.49758593200000006,101927.37734993597,0.0,101927.37734993597,1.0,46573.0,0.05342,46573.0,0.05342,entry_initial_normal_long
30,12983,ADA,0.0,-0.45686914,101926.92048079596,0.0,101926.92048079596,1.0,51230.0,0.04459,97803.0,0.04879477480240892,entry_trailing_normal_long
31,12985,ADA,0.0,-0.95318538,101925.96729541596,0.0,101925.96729541596,1.0,107583.0,0.0443,205386.0,0.0464403720798886,entry_trailing_normal_long
32,12992,ADA,32.78533999999985,-1.91419752,101956.83843789596,0.0,101956.83843789596,1.0,-205386.0,0.0466,0.0,0.0464403720798886,close_trailing_long
33,12993,ADA,0.0,-0.49772297600000004,101956.34071491996,0.0,101956.34071491996,1.0,52792.0,0.04714,52792.0,0.04714,entry_initial_normal_long
34,13016,ADA,49.62447999999981,-0.5076478720000001,102005.45754704796,0.0,102005.45754704796,1.0,-52792.0,0.04808,0.0,0.04714,close_trailing_long
35,13017,ADA,0.0,-0.49796544,102004.95958160797,0.0,102004.95958160797,1.0,52528.0,0.0474,52528.0,0.0474,entry_initial_normal_long
36,13021,ADA,10.505600000000301,-0.50006656,102014.96511504796,0.0,102014.96511504796,1.0,-52528.0,0.0476,0.0,0.0474,close_trailing_long
37,13022,ADA,0.0,-0.49801542000000004,102014.46709962796,0.0,102014.46709962796,1.0,51855.0,0.04802,51855.0,0.04802,entry_initial_normal_long
38,13153,ADA,0.0,-0.523294134,102013.94380549397,0.0,102013.94380549397,1.0,57041.0,0.04587,108896.0,0.04689380482295034,entry_trailing_normal_long
39,13416,ADA,79.07975000000037,-1.037125504,102091.98642998996,0.0,102091.98642998996,1.0,-108896.0,0.04762,0.0,0.04689380482295034,close_trailing_long
40,13420,ADA,0.0,-0.4983842400000001,102091.48804574997,0.0,102091.48804574997,1.0,51980.0,0.04794,51980.0,0.04794,entry_initial_normal_long
41,13449,ADA,20.272199999999714,-0.50243868,102111.25780706997,0.0,102111.25780706997,1.0,-51980.0,0.04833,0.0,0.04794,close_trailing_long
42,13450,ADA,0.0,-0.49847835400000007,102110.75932871597,0.0,102110.75932871597,1.0,51613.0,0.04829,51613.0,0.04829,entry_initial_normal_long
