,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2,ADA,0.0,-0.46970495,99999.53029505,0.0,99999.53029505,1.0,49225.0,0.04771,49225.0,0.04771,entry_initial_normal_long
1,57,ADA,25.104749999999832,-0.47472590000000003,100024.16031915,0.0,100024.16031915,1.0,-49225.0,0.04822,0.0,0.04771,close_trailing_long
2,58,ADA,0.0,-0.46981695,100023.6905022,0.0,100023.6905022,1.0,48585.0,0.04835,48585.0,0.04835,entry_initial_normal_long
3,292,ADA,90.36810000000003,-0.48789056999999997,100113.57071163,0.0,100113.57071163,1.0,-48585.0,0.05021,0.0,0.04835,close_trailing_long
4,293,ADA,0.0,-0.47023319,100113.10047844,0.0,100113.10047844,1.0,46715.0,0.05033,46715.0,0.05033,entry_initial_normal_long
5,340,ADA,15.415949999999858,-0.47331638,100128.04311206,0.0,100128.04311206,1.0,-46715.0,0.05066,0.0,0.05033,close_trailing_long
6,341,ADA,0.0,-0.47030242,100127.57280964,0.0,100127.57280964,1.0,46235.0,0.05086,46235.0,0.05086,entry_initial_normal_long
7,626,ADA,21.730449999999916,-0.47464851,100148.82861113,0.0,100148.82861113,1.0,-46235.0,0.05133,0.0,0.05086,close_trailing_long
8,628,ADA,0.0,-0.47040048,100148.35821065,0.0,100148.35821065,1.0,45848.0,0.0513,45848.0,0.0513,entry_initial_normal_long
9,707,ADA,5.501760000000094,-0.47150083200000004,100153.38846981799,0.0,100153.38846981799,1.0,-45848.0,0.05142,0.0,0.0513,close_trailing_long
10,708,ADA,0.0,-0.47042154,100152.91804827799,0.0,100152.91804827799,1.0,45610.0,0.05157,45610.0,0.05157,entry_initial_normal_long
11,3785,ADA,0.0,-0.48485254400000005,100152.43319573399,0.0,100152.43319573399,1.0,50171.0,0.04832,95781.0,0.04986761904761905,entry_trailing_normal_long
12,4413,ADA,0.0,-1.01039281,100151.42280292399,0.0,100151.42280292399,1.0,105359.0,0.04795,201140.0,0.04886315238142587,entry_trailing_normal_long
13,4433,ADA,0.0,-3.2293065,100148.19349642399,0.0,100148.19349642399,1.0,339927.0,0.0475,541067.0,0.048006747722555615,entry_grid_normal_long
14,4635,ADA,0.0,-8.522235960000001,100139.67126046399,0.0,100139.67126046399,1.0,914403.0,0.0466,1455470.0,0.04712295462634063,entry_grid_normal_long
15,5120,ADA,1538.4978300000087,-14.02490892,101664.144181544,0.0,101664.144181544,1.0,-1455470.0,0.04818,0.0,0.04712295462634063,close_trailing_long
16,5121,ADA,0.0,-0.47751624000000004,101663.666665304,0.0,101663.666665304,1.0,49320.0,0.04841,49320.0,0.04841,entry_initial_normal_long
17,5171,ADA,40.44240000000006,-0.48560472000000005,101703.623460584,0.0,101703.623460584,1.0,-49320.0,0.04923,0.0,0.04841,close_trailing_long
18,5172,ADA,0.0,-0.477708822,101703.145751762,0.0,101703.145751762,1.0,47647.0,0.05013,47647.0,0.05013,entry_initial_normal_long
19,7877,ADA,24.299969999999835,-0.482568816,101726.963152946,0.0,101726.963152946,1.0,-47647.0,0.05064,0.0,0.05013,close_trailing_long
20,7878,ADA,0.0,-0.4778167780000001,101726.485336168,0.0,101726.485336168,1.0,47057.0,0.05077,47057.0,0.05077,entry_initial_normal_long
21,8647,ADA,0.0,-0.5072774000000001,101725.978058768,0.0,101725.978058768,1.0,51763.0,0.049,98820.0,0.049842854584092294,entry_trailing_normal_long
22,8816,ADA,15.52910999999975,-0.9882000000000001,101740.518968768,0.0,101740.518968768,1.0,-98820.0,0.05,0.0,0.049842854584092294,close_trailing_long
23,8819,ADA,0.0,-0.47787739999999995,101740.041091368,0.0,101740.041091368,1.0,47740.0,0.05005,47740.0,0.05005,entry_initial_normal_long
24,9733,ADA,24.347400000000167,-0.48274688,101763.905744488,0.0,101763.905744488,1.0,-47740.0,0.05056,0.0,0.05005,close_trailing_long
25,9736,ADA,0.0,-0.47798939600000007,101763.42775509201,0.0,101763.42775509201,1.0,47074.0,0.05077,47074.0,0.05077,entry_initial_normal_long
26,9791,ADA,15.534419999999857,-0.48109628000000004,101778.48107881201,0.0,101778.48107881201,1.0,-47074.0,0.0511,0.0,0.05077,close_trailing_long
27,9792,ADA,0.0,-0.478062144,101778.00301666801,0.0,101778.00301666801,1.0,46704.0,0.05118,46704.0,0.05118,entry_initial_normal_long
28,10121,ADA,75.66047999999984,-0.49319424,101853.17030242801,0.0,101853.17030242801,1.0,-46704.0,0.0528,0.0,0.05118,close_trailing_long
29,10125,ADA,0.0,-0.4784081520000001,101852.69189427601,0.0,101852.69189427601,1.0,44778.0,0.05342,44778.0,0.05342,entry_initial_normal_long
30,12983,ADA,0.0,-0.43926500799999996,101852.25262926801,0.0,101852.25262926801,1.0,49256.0,0.04459,94034.0,0.04879475296169471,entry_trailing_normal_long
