,balance,equity,balance_btc,equity_btc
0,100022.204833542,100000.0,0.0,0.0
60,100022.204833542,100028.580013542,0.0,6.375180000000056
120,100022.204833542,100016.740393542,0.0,-5.464439999999778
180,100022.204833542,100028.124643542,0.0,5.919810000000233
240,100106.005661376,100029.035383542,0.0,6.830550000000196
300,100119.569349048,100113.886421376,0.0,7.880759999999983
360,100119.569349048,100114.369509048,0.0,-5.199840000000089
420,100119.569349048,100123.902549048,0.0,4.333199999999824
480,100119.569349048,100131.26898904801,0.0,11.699639999999974
540,100119.569349048,100151.635029048,0.0,32.065679999999894
600,100139.049680796,100159.001469048,0.0,39.43211999999975
660,100143.323185356,100142.916890796,0.0,3.8672099999999916
720,100143.323185356,100114.683365356,0.0,-28.639819999999872
780,100143.323185356,100118.530505356,0.0,-24.79267999999988
840,100143.323185356,100086.043545356,0.0,-57.279640000000036
900,100143.323185356,100108.271465356,0.0,-35.05171999999976
960,100143.323185356,100088.180845356,0.0,-55.142339999999976
1020,100143.323185356,100082.196405356,0.0,-61.12678000000003
1080,100143.323185356,100111.691145356,0.0,-31.632039999999897
1140,100143.323185356,100108.271465356,0.0,-35.05171999999976
1200,100143.323185356,100100.577185356,0.0,-42.74600000000004
1260,100143.323185356,100112.118605356,0.0,-31.204579999999766
1320,100143.323185356,100120.667805356,0.0,-22.65537999999982
1380,100143.323185356,100109.981305356,0.0,-33.341879999999826
1440,100143.323185356,100118.530505356,0.0,-24.79267999999988
1500,100143.323185356,100110.408765356,0.0,-32.91441999999999
1560,100143.323185356,100075.784505356,0.0,-67.53867999999991
1620,100143.323185356,100086.043545356,0.0,-57.279640000000036
1680,100143.323185356,100088.608305356,0.0,-54.714879999999845
1740,100143.323185356,100089.890685356,0.0,-53.43250000000005
1800,100143.323185356,100086.471005356,0.0,-56.852179999999905
1860,100143.323185356,100086.043545356,0.0,-57.279640000000036
1920,100143.323185356,100061.678325356,0.0,-81.64485999999978
1980,100143.323185356,100060.395945356,0.0,-82.92723999999988
2040,100143.323185356,100078.776725356,0.0,-64.5464599999999
2100,100143.323185356,100101.004645356,0.0,-42.318539999999906
2160,100143.323185356,100094.592745356,0.0,-48.730439999999795
2220,100143.323185356,100106.561625356,0.0,-36.76155999999999
2280,100143.323185356,100110.836225356,0.0,-32.48695999999986
2340,100143.323185356,100105.279245356,0.0,-38.043939999999786
2400,100143.323185356,100100.577185356,0.0,-42.74600000000004
2460,100143.323185356,100132.636685356,0.0,-10.68650000000001
2520,100143.323185356,100138.621125356,0.0,-4.702059999999957
2580,100143.323185356,100108.271465356,0.0,-35.05171999999976
2640,100143.323185356,100110.408765356,0.0,-32.91441999999999
2700,100143.323185356,100121.095265356,0.0,-22.227919999999983
2760,100143.323185356,100107.416545356,0.0,-35.90664000000002
2820,100143.323185356,100110.836225356,0.0,-32.48695999999986
2880,100143.323185356,100121.095265356,0.0,-22.227919999999983
2940,100143.323185356,100143.750645356,0.0,0.4274600000001309
3000,100143.323185356,100138.193665356,0.0,-5.129519999999791
3060,100143.323185356,100139.476045356,0.0,-3.8471399999999916
3120,100143.323185356,100142.468265356,0.0,-0.8549199999999652
3180,100143.323185356,100127.507165356,0.0,-15.816019999999801
3240,100143.323185356,100109.126385356,0.0,-34.19679999999979
3300,100143.323185356,100105.279245356,0.0,-38.043939999999786
3360,100143.323185356,100099.722265356,0.0,-43.60092
3420,100143.323185356,100118.530505356,0.0,-24.79267999999988
3480,100143.323185356,100122.805105356,0.0,-20.518079999999756
