,balance,equity,balance_btc,equity_btc
0,99999.7262811436,100000.0,0.0,0.0
60,99999.7262811436,100012.4376831436,0.0,12.711402000000017
120,99999.7262811436,100013.2080711436,0.0,13.481789999999952
180,99999.7262811436,100020.1415631436,0.0,20.41528199999987
240,99999.7262811436,100018.2155931436,0.0,18.48931199999995
300,99999.7262811436,100023.99350314359,0.0,24.26722199999988
360,99999.7262811436,100017.06001114359,0.0,17.333729999999964
420,99999.7262811436,100017.8303991436,0.0,18.104117999999897
480,100009.1918585784,100013.97845914359,0.0,14.252177999999887
540,100009.1918585784,100007.6625585784,0.0,-1.5292999999998713
600,100009.1918585784,100008.8095335784,0.0,-0.38232499999988495
660,100009.1918585784,100009.5741835784,0.0,0.38232500000005076
720,100009.1918585784,100003.8393085784,0.0,-5.352549999999882
780,100009.1918585784,99998.1044335784,0.0,-11.08742499999998
840,100009.1918585784,100003.0746585784,0.0,-6.117199999999983
900,100009.1918585784,99980.8998085784,0.0,-28.292049999999943
960,100009.1918585784,99983.1937585784,0.0,-25.99809999999997
1020,100008.9065520312,99970.1947085784,0.0,-38.99714999999987
1080,100008.9065520312,99957.9044100312,0.0,-51.00214200000002
1140,100008.9065520312,99961.9188250312,0.0,-46.987727000000184
1200,100008.9065520312,99970.7505380312,0.0,-38.156014000000056
1260,100008.9065520312,100017.3177520312,0.0,8.411199999999857
1320,100024.5104561978,100024.784242778,0.0,0.0
1380,100024.5104561978,100015.9229101978,0.0,-8.587546000000124
1440,100024.5104561978,100019.82634019779,0.0,-4.684116000000114
1500,100024.5104561978,100011.2387941978,0.0,-13.271662000000068
1560,100024.5104561978,100026.07182819779,0.0,1.5613719999998688
1620,100024.5104561978,100016.31325319779,0.0,-8.197203000000073
1680,100024.5104561978,100011.2387941978,0.0,-13.271662000000068
1740,100024.5104561978,100010.06776519779,0.0,-14.442691000000055
1800,100024.5104561978,100025.6814851978,0.0,1.171028999999986
1860,100024.5104561978,100012.01948019779,0.0,-12.490976000000135
1920,100024.5104561978,100022.9490841978,0.0,-1.561372000000038
1980,100024.5104561978,100020.9973691978,0.0,-3.5130870000001275
2040,100024.5104561978,100028.02354319779,0.0,3.5130869999999583
2100,100024.5104561978,100025.29114219779,0.0,0.7806859999999344
2160,100024.5104561978,100027.2428571978,0.0,2.7324010000000243
2220,100024.5104561978,100026.07182819779,0.0,1.5613719999998688
2280,100024.5104561978,100022.9490841978,0.0,-1.561372000000038
2340,100024.5104561978,100020.9973691978,0.0,-3.5130870000001275
2400,100024.5104561978,100020.2166831978,0.0,-4.293773000000062
2460,100024.5104561978,100009.28707919779,0.0,-15.223376999999989
2520,100024.5104561978,100009.6774221978,0.0,-14.833034000000106
