,balance,equity,balance_btc,equity_btc
0,99999.7750872834,100000.0,0.0,0.0
60,99999.7750872834,100010.2199502834,0.0,10.444863000000014
120,99999.7750872834,100010.8529722834,0.0,11.077884999999961
180,99999.7750872834,100016.5501702834,0.0,16.775082999999892
240,99999.7750872834,100014.9676152834,0.0,15.192527999999957
300,99999.7750872834,100019.7152802834,0.0,19.9401929999999
360,99999.7750872834,100014.0180822834,0.0,14.242994999999969
420,99999.7750872834,100014.6511042834,0.0,14.876016999999916
480,100007.5528840256,100011.4859942834,0.0,11.710906999999906
540,100007.5528840256,100006.2962880256,0.0,-1.2565959999998944
600,100007.5528840256,100007.2387350256,0.0,-0.3141489999999055
660,100007.5528840256,100007.8670330256,0.0,0.3141490000000417
720,100007.5528840256,100003.1547980256,0.0,-4.3980859999999025
780,100007.5528840256,99998.4425630256,0.0,-9.110320999999983
840,100007.5528840256,100002.5265000256,0.0,-5.026383999999986
900,100007.5528840256,99984.3058580256,0.0,-23.247025999999952
960,100007.5528840256,99986.1907520256,0.0,-21.362131999999974
1020,100007.318453408,99975.5096860256,0.0,-32.04319799999989
1080,100007.318453408,99965.410979408,0.0,-41.90747399999977
1140,100007.318453408,99968.709544408,0.0,-38.608908999999905
1200,100007.318453408,99975.966387408,0.0,-31.3520659999998
1260,100007.318453408,100014.22974140801,0.0,6.911288000000125
1320,100020.1398498036,100020.3648084228,0.0,0.0
1380,100020.1398498036,100013.0838338036,0.0,-7.056016000000102
1440,100020.1398498036,100016.2911138036,0.0,-3.8487360000000934
1500,100020.1398498036,100009.2350978036,0.0,-10.904752000000057
1560,100020.1398498036,100021.4227618036,0.0,1.2829119999998921
1620,100020.1398498036,100013.4045618036,0.0,-6.735288000000059
1680,100020.1398498036,100009.2350978036,0.0,-10.904752000000057
1740,100020.1398498036,100008.2729138036,0.0,-11.866936000000045
1800,100020.1398498036,100021.1020338036,0.0,0.9621839999999886
1860,100020.1398498036,100009.8765538036,0.0,-10.26329600000011
1920,100020.1398498036,100018.8569378036,0.0,-1.2829120000000311
1980,100020.1398498036,100017.2532978036,0.0,-2.886552000000105
2040,100020.1398498036,100023.0264018036,0.0,2.886551999999966
2100,100020.1398498036,100020.7813058036,0.0,0.6414559999999461
2160,100020.1398498036,100022.3849458036,0.0,2.2450960000000197
2220,100020.1398498036,100021.4227618036,0.0,1.2829119999998921
2280,100020.1398498036,100018.8569378036,0.0,-1.2829120000000311
2340,100020.1398498036,100017.2532978036,0.0,-2.886552000000105
2400,100020.1398498036,100016.6118418036,0.0,-3.528008000000051
2460,100020.1398498036,100007.6314578036,0.0,-12.508391999999992
2520,100020.1398498036,100007.9521858036,0.0,-12.187664000000087
2580,100020.1398498036,100016.9325698036,0.0,-3.2072800000000083
2640,100020.1398498036,100010.8387378036,0.0,-9.301111999999982
2700,100020.1398498036,100019.1776658036,0.0,-0.9621839999999886
2760,100020.1398498036,100015.6496578036,0.0,-4.4901920000000395
2820,100020.1398498036,100015.9703858036,0.0,-4.169463999999997
2880,100020.1398498036,100025.9129538036,0.0,5.773103999999932
2940,100020.1398498036,100026.5544098036,0.0,6.414560000000017
3000,100020.1398498036,100013.0838338036,0.0,-7.056016000000102
3060,100020.1398498036,100017.2532978036,0.0,-2.886552000000105
3120,100020.1398498036,100014.36674580359,0.0,-5.773104000000071
3180,100020.1398498036,100007.6314578036,0.0,-12.508391999999992
3240,100020.1398498036,100009.5558258036,0.0,-10.584024000000014
3300,100020.1398498036,100007.6314578036,0.0,-12.508391999999992
3360,100020.1398498036,100012.7631058036,0.0,-7.376744000000006
3420,100020.1398498036,100015.6496578036,0.0,-4.4901920000000395
3480,100020.1398498036,100013.4045618036,0.0,-6.735288000000059
3540,100020.1398498036,100014.6874738036,0.0,-5.4523760000000285
3600,100020.1398498036,100016.6118418036,0.0,-3.528008000000051
3660,100020.1398498036,100009.8765538036,0.0,-10.26329600000011
3720,100020.1398498036,100005.0656338036,0.0,-15.074216000000053
3780,100020.1398498036,99994.8023378036,0.0,-25.337512000000025
3840,100020.1398498036,99998.3303458036,0.0,-21.809503999999972
3900,100020.1398498036,100001.5376258036,0.0,-18.602224000000103
3960,100020.1398498036,99999.6132578036,0.0,-20.526592000000083
4020,100020.1398498036,100002.1790818036,0.0,-17.96076800000002
4080,100020.1398498036,100000.2547138036,0.0,-19.885135999999996
4140,100020.1398498036,100000.5754418036,0.0,-19.564408000000093
4200,100020.1398498036,100009.8765538036,0.0,-10.26329600000011
4260,100020.1398498036,100007.3107298036,0.0,-12.829120000000033
4320,100020.1398498036,100008.9143698036,0.0,-11.225480000000099
4380,100020.1398498036,100011.4801938036,0.0,-8.659656000000037
4440,100020.1398498036,100009.5558258036,0.0,-10.584024000000014
4500,100020.1398498036,100012.7631058036,0.0,-7.376744000000006
4560,100020.1398498036,100016.6118418036,0.0,-3.528008000000051
4620,100020.1398498036,100018.5362098036,0.0,-1.6036400000000737
4680,100020.1398498036,100011.8009218036,0.0,-8.338927999999994
4740,100020.1398498036,100010.8387378036,0.0,-9.301111999999982
4800,100020.1398498036,100010.1972818036,0.0,-9.942568000000067
4860,100020.1398498036,100015.3289298036,0.0,-4.810920000000082
4920,100020.1398498036,100015.6496578036,0.0,-4.4901920000000395
4980,100020.1398498036,100001.2168978036,0.0,-18.92295200000001
5040,100020.1398498036,100004.4241778036,0.0,-15.715672
5100,100020.1398498036,100011.1594658036,0.0,-8.980384000000079
5160,100020.1398498036,100023.6678578036,0.0,3.528007999999912
5220,100028.6685012256,100030.7238738036,0.0,10.584024000000014
5280,100028.6685012256,100029.6223362256,0.0,0.9538349999999887
