,balance,equity,balance_btc,equity_btc
0,99996.404876624,100000.0,0.0,0.0
60,99992.60336691201,99615.894836624,0.0,-380.51004000000137
120,99992.60336691201,99491.706476912,0.0,-500.89689000000857
180,99992.60336691201,100011.509826912,0.0,18.906459999993025
240,99979.97276087201,99574.021376912,0.0,-418.5819900000109
300,99979.97276087201,99648.45556087201,0.0,-331.5171999999997
360,99979.97276087201,98305.07636087202,0.0,-1674.896400000001
420,99979.97276087201,98120.36172087201,0.0,-1859.6110400000032
480,99979.97276087201,98296.68024087201,0.0,-1683.2925199999963
540,99979.97276087201,97637.58482087201,0.0,-2342.3879399999964
600,99979.97276087201,98456.206520872,0.0,-1523.7662400000102
660,99979.97276087201,99837.36826087201,0.0,-142.60450000000748
720,99979.97276087201,100739.951160872,0.0,759.978399999992
780,101768.65638117002,101545.97868087201,0.0,1566.0059199999928
840,101768.65638117002,101707.70307117002,0.0,-60.95330999999963
900,101764.78752076802,101779.94403117002,0.0,11.287650000000427
960,101751.93314218202,100935.19656076802,0.0,-829.5909600000014
1020,101751.93314218202,100696.00504218202,0.0,-1055.928100000008
1080,101751.93314218202,101239.32334218202,0.0,-512.6098000000027
1140,103572.55441622001,103196.99404218202,0.0,1445.0609000000002
1200,103919.94146248401,103666.32094622,0.0,93.76652999999897
1260,104616.40295227201,104080.43186248401,0.0,160.49040000000065
1320,104616.40295227201,104526.79295227201,0.0,-89.61000000000074
1380,104616.40295227201,104845.65520227201,0.0,229.25224999999895
1440,104616.40295227201,104607.44195227201,0.0,-8.96100000000034
1500,104966.489587542,104685.10395227201,0.0,68.70099999999907
1560,104966.489587542,104884.944547542,0.0,-81.54503999999787
1620,104966.489587542,104832.05046754201,0.0,-134.43911999999986
1680,104966.489587542,104704.95774754201,0.0,-261.5318399999986
1740,104966.489587542,104708.630947542,0.0,-257.85863999999935
1800,104966.489587542,104693.93814754201,0.0,-272.551439999999
1860,104962.499178262,104591.08854754201,0.0,-375.40103999999945
1920,104949.240847306,104793.30245826201,0.0,-169.19671999999963
1980,104949.240847306,104359.568767306,0.0,-589.6720800000041
2040,104949.240847306,104258.722207306,0.0,-690.518640000008
2100,106830.910986722,103922.567007306,0.0,-1026.6738400000006
2160,106827.07027162399,106736.689871624,0.0,-90.38040000000075
2220,106827.07027162399,106542.37201162399,0.0,-284.69826000000006
2280,106827.07027162399,106582.290021624,0.0,-244.78024999999946
2340,106823.009079944,106306.62980162399,0.0,-520.4404699999992
2400,106823.009079944,106421.16081994398,0.0,-401.8482600000066
2460,106823.009079944,106037.89016994399,0.0,-785.1189100000025
2520,106823.009079944,106286.62499994399,0.0,-536.3840800000042
2580,106809.51567730399,105915.86930994398,0.0,-907.1397700000072
2640,106809.51567730399,105355.42569730399,0.0,-1454.0899800000084
2700,106809.51567730399,105631.15497730399,0.0,-1178.3607000000081
2760,106809.51567730399,105454.51590730398,0.0,-1354.99977000001
2820,106809.51567730399,105437.28282730399,0.0,-1372.2328500000003
2880,106773.04548350199,105476.057257304,0.0,-1333.4584199999988
2940,106773.04548350199,103759.36176350198,0.0,-3013.683720000012
3000,111637.50738483197,104411.93566350198,0.0,-2361.109820000015
3060,111637.50738483197,111166.58823483197,0.0,-470.9191500000007
3120,111637.50738483197,111639.92235483197,0.0,2.4149700000000918
3180,111637.50738483197,111563.44830483198,0.0,-74.059079999999
3240,111637.50738483197,111812.99520483197,0.0,175.48781999999997
3300,111637.50738483197,111797.70039483198,0.0,160.1930100000013
3360,111637.50738483197,111553.78842483198,0.0,-83.71895999999936
3420,111637.50738483197,111188.32296483197,0.0,-449.1844199999999
3480,111637.50738483197,111445.91976483197,0.0,-191.58761999999965
3540,111637.50738483197,111304.24152483197,0.0,-333.26586000000117
3600,112010.95553445598,111550.56846483197,0.0,-86.93892000000044
3660,112010.95553445598,112102.09188445598,0.0,91.13634999999876
3720,112010.95553445598,111945.17886445597,0.0,-65.77667000000156
3780,112385.58394269597,112099.71441445597,0.0,88.75887999999867
3840,112385.58394269597,112545.63359269597,0.0,160.04965000000144
3900,112385.58394269597,112391.82978269598,0.0,6.245840000002086
3960,112385.58394269597,112240.36816269597,0.0,-145.21577999999997
4020,112385.58394269597,112604.96907269597,0.0,219.38513000000185
4080,112385.58394269597,112628.39097269597,0.0,242.80702999999997
4140,112385.58394269597,112159.95297269597,0.0,-225.6309699999984
4200,112381.31147016397,112012.68689016398,0.0,-368.6245799999957
4260,112381.31147016397,112182.94124016397,0.0,-198.370229999995
4320,112381.31147016397,111725.68670016398,0.0,-655.624769999995
4380,112381.31147016397,111918.64163016397,0.0,-462.6698399999954
4440,112381.31147016397,112479.67025016398,0.0,98.35878000000473
4500,112381.31147016397,112850.98688016398,0.0,469.67541000000347
4560,112381.31147016397,112622.35961016399,0.0,241.0481400000063
4620,112381.31147016397,112012.68689016398,0.0,-368.6245799999957
4680,112381.31147016397,112406.70410016397,0.0,25.39263000000197
4740,113146.52965506398,113008.26947016397,0.0,626.9580000000055
4800,113146.52965506398,113141.08211506398,0.0,-5.447539999998363
4860,113146.52965506398,113044.58283506398,0.0,-101.94682000000019
4920,113146.52965506398,112937.18847506397,0.0,-209.34117999999873
4980,113146.52965506398,112870.26155506397,0.0,-276.26810000000035
5040,113142.16414208397,112541.85271506397,0.0,-604.676939999998
5100,113142.16414208397,112346.46911208397,0.0,-795.695030000001
5160,113127.76361039397,112782.00953208398,0.0,-360.1546099999981
5220,111104.79927039628,112376.39898039398,0.0,-751.3646299999892
5280,116477.38261011196,112083.62010640795,0.0,978.8208360116705
5340,116477.38261011196,116370.17048011196,0.0,-107.21213000000208
5400,116458.03183495796,115876.31933011196,0.0,-601.0632799999998
5460,116307.10643848995,114960.77789495797,0.0,-1497.253939999991
5520,126443.93705344594,114901.89099848992,0.0,-1405.2154400000336
5580,126443.93705344594,126530.58995344595,0.0,86.65289999999986
5640,126868.00766786994,126435.27176344594,0.0,-8.665290000000327
5700,126868.00766786994,126763.76616786994,0.0,-104.24149999999946
5760,126868.00766786994,126419.76921786994,0.0,-448.23844999999903
5820,126868.00766786994,126418.82156786993,0.0,-449.1861000000002
5880,126803.87434092593,125749.78066786994,0.0,-1118.2269999999996
5940,128976.88953023986,124024.99606092594,0.0,-2778.8782799999885
6000,130028.87381089058,120857.50921326809,0.0,-8119.380316971774
6060,128421.57441876893,114139.05989886589,0.0,-15889.813912024698
6120,137329.34415630964,130229.26272236771,0.0,1807.688303598783
6180,137789.13060574964,137221.47066630964,0.0,-107.87348999999998
6240,138250.81335020365,138171.03828574964,0.0,381.9076799999984
6300,138227.89226086164,137797.99399020366,0.0,-452.81935999999985
6360,140718.38620998364,137105.46623086164,0.0,-1122.4260300000067
6420,141190.06052035565,140892.88935998364,0.0,174.50314999999978
6480,141118.98961909764,140191.89552035564,0.0,-998.165
6540,147597.50010504763,140302.23758909764,0.0,-816.7520300000007
6600,148090.96005361562,147583.87330504763,0.0,-13.626799999999049
6660,148066.43646733163,147877.92030361563,0.0,-213.03974999999653
6720,150732.87838800563,148617.89848733164,0.0,551.4620200000077
6780,154577.6158918056,149771.52583800562,0.0,-961.3525500000007
6840,156124.69057288955,154963.59480380558,0.0,391.53619999999836
6900,159447.4513387495,155422.27193288953,0.0,-702.4186400000063
6960,159981.2764228755,159263.1883387495,0.0,-184.26299999999827
7020,159954.7065740375,159431.3133728755,0.0,-549.9630499999979
7080,159954.7065740375,158705.1722340375,0.0,-1249.534339999986
7140,159954.7065740375,160133.9433540375,0.0,179.2367800000182
7200,167121.60101714754,156611.04201403752,0.0,-3343.6645599999824
7260,167121.60101714754,167264.14121714752,0.0,142.54019999999926
7320,168262.26493878954,167078.83895714753,0.0,-42.76206000000162
7380,168177.02171362753,168280.07181878953,0.0,17.806880000003687
7440,169831.0422754136,160339.28356362757,0.0,-7837.738149999969
7500,169744.5423313876,168922.9349854136,0.0,-908.1072900000007
7560,169744.5423313876,167538.02283138773,0.0,-2206.519499999892
7620,177288.06927091972,170353.9931313877,0.0,609.4508000000862
7680,185273.86454272768,176255.3937209197,0.0,-1032.675550000017
7740,185273.86454272768,185196.1887627277,0.0,-77.67578000000482
7800,185273.86454272768,185364.22208272768,0.0,90.3575399999978
7860,185273.86454272768,184796.71332272768,0.0,-477.1512200000031
7920,185273.86454272768,184611.24258272766,0.0,-662.6219600000045
7980,190255.94639521214,184557.34510272768,0.0,-716.5194400000028
8040,201014.45611742165,188024.7991190977,0.0,-2231.1472761144255
8100,206681.06361516763,200953.63166742167,0.0,-60.82444999999341
8160,206647.20311641964,205964.59947516763,0.0,-716.4641399999979
8220,211665.03681393166,208501.75631641966,0.0,1854.553200000011
8280,213339.38046709352,214390.8227339316,0.0,2725.7859199999234
8340,201097.38803305145,208413.4044823436,0.0,-4925.9759847499145
8400,212160.10710746568,204120.4446171896,0.0,2834.517180138292
8460,212871.27617014566,211858.3201374657,0.0,-301.78697000000005
8520,214317.66004921365,212487.11694014567,0.0,-384.1592299999989
8580,214317.66004921365,213807.34924921364,0.0,-510.3107999999992
8640,215759.01676733964,214081.40504921364,0.0,-236.255
8700,217220.02468446566,215086.15548733962,0.0,-672.8612800000014
8760,219406.99588750766,216899.21175446568,0.0,-320.8129299999968
8820,220141.89212950366,219913.63698750766,0.0,506.6411000000041
8880,220105.71761439164,219279.08778950365,0.0,-862.8043399999964
8940,224051.20783036764,219026.61575439165,0.0,-1079.1018600000086
9000,224051.20783036764,223357.27033036764,0.0,-693.9375
9060,224801.02419663564,224386.14833036764,0.0,334.94050000000175
9120,224792.47808557964,224353.71789663564,0.0,-447.30630000000184
9180,228790.53047907562,223074.46234557964,0.0,-1718.0157400000012
9240,228790.53047907562,228455.05762907563,0.0,-335.47285000000386
9300,228790.53047907562,228936.7141790756,0.0,146.18369999999888
9360,228790.53047907562,228507.53382907563,0.0,-282.99664999999965
9420,220601.04451066523,227381.16967907563,0.0,-1409.3607999999979
9480,231895.02913185555,224816.10088353758,0.0,4215.056372872352
9540,236012.35663137556,230375.98995185556,0.0,-1519.039180000003
9600,235973.57423033557,235780.30735137555,0.0,-232.04928000000157
9660,241009.35174635352,234642.39679033557,0.0,-1331.1774400000015
9720,241807.28168586953,240771.39398635353,0.0,-237.95775999999933
9780,241776.73849434953,239871.96255586954,0.0,-1935.3191299999946
9840,241776.73849434953,242424.05364434954,0.0,647.3151500000095
9900,246112.51366655555,242320.10139434953,0.0,543.3629000000055
9960,246112.51366655555,245604.27028655555,0.0,-508.2433800000046
10020,246112.51366655555,245862.52403655555,0.0,-249.9896300000046
10080,246103.03972031554,244703.48120655553,0.0,-1409.0324600000047
