,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2,HYPE,0.0,-3.5951233760000005,99996.404876624,0.0,99996.404876624,1.0,733.16,24.518,733.16,24.518,entry_initial_normal_long
1,114,HYPE,0.0,-3.801509712000001,99992.60336691201,0.0,99992.60336691201,1.0,791.19,24.024,1524.35,24.261597034801724,entry_trailing_cropped_long
2,271,HYPE,0.0,-12.63060604,99979.97276087201,0.0,99979.97276087201,1.0,2673.71,23.62,4198.06,23.852969142889812,entry_grid_normal_long
3,808,HYPE,947.3157837209517,-10.8978243,100916.39072029297,0.0,100916.39072029297,1.0,-2244.66,24.275,1953.4,23.852969142889812,close_grid_long
4,820,HYPE,865.4164762790404,-9.49196128,101772.31523529202,0.0,101772.31523529202,1.0,-1953.4,24.296,0.0,23.852969142889812,close_grid_long
5,821,HYPE,0.0,-3.658854122,101768.65638117002,0.0,101768.65638117002,1.0,752.51,24.311,752.51,24.311,entry_initial_normal_long
6,956,HYPE,0.0,-3.868860402,101764.78752076802,0.0,101764.78752076802,1.0,813.23,23.787,1565.74,24.038839539131658,entry_trailing_cropped_long
7,967,HYPE,0.0,-12.854378586,101751.93314218202,0.0,101751.93314218202,1.0,2746.31,23.403,4312.05,23.633878445287046,entry_grid_normal_long
8,1155,HYPE,964.0294189772809,-11.090954448,102704.8716067113,0.0,102704.8716067113,1.0,-2305.62,24.052,2006.43,23.633878445287046,close_grid_long
9,1161,HYPE,881.0666610227139,-9.660157878000001,103576.27810985601,0.0,103576.27810985601,1.0,-2006.43,24.073,0.0,23.633878445287046,close_grid_long
10,1162,HYPE,0.0,-3.723693636,103572.55441622001,0.0,103572.55441622001,1.0,774.93,24.026,774.93,24.026,entry_initial_normal_long
11,1249,HYPE,354.9179400000015,-3.794677224,103923.67767899601,0.0,103923.67767899601,1.0,-774.93,24.484,0.0,24.026,close_grid_long
12,1250,HYPE,0.0,-3.736216512,103919.94146248401,0.0,103919.94146248401,1.0,764.24,24.444,764.24,24.444,entry_initial_normal_long
13,1265,HYPE,355.3715999999999,-3.8072908320000005,104271.50577165201,0.0,104271.50577165201,1.0,-764.24,24.909,0.0,24.444,close_grid_long
14,1266,HYPE,0.0,-3.74872178,104267.75704987202,0.0,104267.75704987202,1.0,757.93,24.73,757.93,24.73,entry_initial_normal_long
15,1278,HYPE,356.2270999999991,-3.8199672000000002,104620.16418267202,0.0,104620.16418267202,1.0,-757.93,25.2,0.0,24.73,close_grid_long
16,1279,HYPE,0.0,-3.7612304000000005,104616.40295227201,0.0,104616.40295227201,1.0,746.75,25.184,746.75,25.184,entry_initial_normal_long
17,1525,HYPE,357.6932499999994,-3.83276905,104970.263433222,0.0,104970.263433222,1.0,-746.75,25.663,0.0,25.184,close_grid_long
18,1526,HYPE,0.0,-3.77384568,104966.489587542,0.0,104966.489587542,1.0,734.64,25.685,734.64,25.685,entry_initial_normal_long
19,1888,HYPE,0.0,-3.99040928,104962.499178262,0.0,104962.499178262,1.0,791.12,25.22,1525.76,25.44389340394295,entry_trailing_cropped_long
20,1970,HYPE,0.0,-13.258330956,104949.240847306,0.0,104949.240847306,1.0,2676.18,24.771,4201.94,25.015333293669116,entry_grid_normal_long
