,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2,HYPE,0.0,-3.5989972200000007,99996.40100278,0.0,99996.40100278,1.0,733.95,24.518,733.95,24.518,entry_initial_normal_long
1,114,HYPE,0.0,-3.8055457440000002,99992.59545703599,0.0,99992.59545703599,1.0,792.03,24.024,1525.98,24.261598985569925,entry_trailing_cropped_long
2,271,HYPE,0.0,-12.651297160000002,99979.94415987599,0.0,99979.94415987599,1.0,2678.09,23.62,4204.07,23.852885565654237,entry_grid_normal_long
3,808,HYPE,949.1834016472535,-10.9171472,100918.21041432324,0.0,100918.21041432324,1.0,-2248.64,24.275,1955.43,23.852885565654237,close_grid_long
4,820,HYPE,866.4792583527343,-9.501825456,101775.18784721998,0.0,101775.18784721998,1.0,-1955.43,24.296,0.0,23.852885565654237,close_grid_long
5,821,HYPE,0.0,-3.662889748,101771.52495747198,0.0,101771.52495747198,1.0,753.34,24.311,753.34,24.311,entry_initial_normal_long
6,956,HYPE,0.0,-3.8730944879999996,101767.65186298398,0.0,101767.65186298398,1.0,814.12,23.787,1567.46,24.038840659410766,entry_trailing_cropped_long
7,967,HYPE,0.0,-12.875815734,101754.77604724998,0.0,101754.77604724998,1.0,2750.89,23.403,4318.35,23.633795280604858,entry_grid_normal_long
8,1155,HYPE,965.9567147173169,-11.110917608,102709.6218443593,0.0,102709.6218443593,1.0,-2309.77,24.052,2008.58,23.633795280604858,close_grid_long
9,1161,HYPE,882.1778152826957,-9.670509268,103582.12915037399,0.0,103582.12915037399,1.0,-2008.58,24.073,0.0,23.633795280604858,close_grid_long
10,1162,HYPE,0.0,-3.727922212,103578.401228162,0.0,103578.401228162,1.0,775.81,24.026,775.81,24.026,entry_initial_normal_long
11,1249,HYPE,355.3209800000015,-3.798986408,103929.923221754,0.0,103929.923221754,1.0,-775.81,24.484,0.0,24.026,close_grid_long
12,1250,HYPE,0.0,-3.7404208800000003,103926.182800874,0.0,103926.182800874,1.0,765.1,24.444,765.1,24.444,entry_initial_normal_long
13,1265,HYPE,355.7714999999999,-3.81157518,104278.142725694,0.0,104278.142725694,1.0,-765.1,24.909,0.0,24.444,close_grid_long
14,1266,HYPE,0.0,-3.75292588,104274.38979981399,0.0,104274.38979981399,1.0,758.78,24.73,758.78,24.73,entry_initial_normal_long
15,1278,HYPE,356.62659999999914,-3.8242511999999995,104627.19214861399,0.0,104627.19214861399,1.0,-758.78,25.2,0.0,24.73,close_grid_long
16,1279,HYPE,0.0,-3.7655116800000004,104623.42663693399,0.0,104623.42663693399,1.0,747.6,25.184,747.6,25.184,entry_initial_normal_long
17,1525,HYPE,358.1003999999994,-3.8371317600000006,104977.68990517399,0.0,104977.68990517399,1.0,-747.6,25.663,0.0,25.184,close_grid_long
18,1526,HYPE,0.0,-3.77810939,104973.91179578399,0.0,104973.91179578399,1.0,735.47,25.685,735.47,25.685,entry_initial_normal_long
19,1888,HYPE,0.0,-3.99499932,104969.916796464,0.0,104969.916796464,1.0,792.03,25.22,1527.5,25.443891031096562,entry_trailing_cropped_long
20,1970,HYPE,0.0,-13.281021192,104956.63577527199,0.0,104956.63577527199,1.0,2680.76,24.771,4208.26,25.015243713553822,entry_grid_normal_long
21,2154,HYPE,996.5912700359693,-11.460580608,105941.76646469996,0.0,105941.76646469996,1.0,-2250.88,25.458,1957.38,25.015243713553822,close_grid_long
22,2159,HYPE,909.7046599640205,-9.974808480000002,106841.49631618398,0.0,106841.49631618398,1.0,-1957.38,25.48,0.0,25.015243713553822,close_grid_long
23,2160,HYPE,0.0,-3.84520257,106837.65111361399,0.0,106837.65111361399,1.0,754.05,25.497,754.05,25.497,entry_initial_normal_long
24,2374,HYPE,0.0,-4.065897696,106833.58521591799,0.0,106833.58521591799,1.0,812.14,25.032,1566.19,25.255876573085004,entry_trailing_cropped_long
25,2581,HYPE,0.0,-13.516810416,106820.068405502,0.0,106820.068405502,1.0,2748.66,24.588,4314.85,24.83042363233948,entry_grid_normal_long
