,balance,equity,balance_btc,equity_btc
0,99998.088625756,100000.0,0.0,0.0
60,99996.06916831601,99795.78761575601,0.0,-202.30101000000076
120,99996.06916831601,99729.79471831601,0.0,-266.27444999999915
180,99996.06916831601,100006.03540831602,0.0,9.966240000001736
240,99989.403036232,99773.539578316,0.0,-222.52959000000035
300,99989.403036232,99813.057176232,0.0,-176.34585999999726
360,99989.403036232,99102.250776232,0.0,-887.1522599999979
420,99989.403036232,99004.51489623201,0.0,-984.888139999999
480,99989.403036232,99097.80823623201,0.0,-891.5947999999954
540,99989.403036232,98749.06884623201,0.0,-1240.3341899999955
600,99989.403036232,99182.216496232,0.0,-807.1865400000028
660,99989.403036232,99913.014326232,0.0,-76.38871000000137
720,99989.403036232,100390.587376232,0.0,401.1843399999983
780,100937.10178808,100817.071216232,0.0,827.6681799999986
840,100937.10178808,100904.96098808001,0.0,-32.14079999999981
900,100935.063337328,100943.05378808001,0.0,5.9520000000002256
960,100928.334319544,100497.712297328,0.0,-437.3510400000011
1020,100928.334319544,100371.822719544,0.0,-556.5116000000031
1080,100928.334319544,100656.950639544,0.0,-271.3836800000003
1140,101884.86725244399,101684.316319544,0.0,755.9820000000011
1200,102066.54551066799,101933.904922444,0.0,49.03766999999946
1260,102429.92785081,102150.34601066798,0.0,83.80050000000034
1320,102429.92785081,102383.28265081,0.0,-46.645200000000386
1380,102429.92785081,102549.26182080999,0.0,119.33396999999945
1440,102429.92785081,102425.26333080999,0.0,-4.664520000000176
1500,102612.16354126399,102465.68917081,0.0,35.761319999999515
1560,102612.16354126399,102569.783741264,0.0,-42.379799999998895
1620,102612.16354126399,102542.29414126399,0.0,-69.86939999999994
1680,102612.16354126399,102476.242741264,0.0,-135.92079999999928
1740,102612.16354126399,102478.151741264,0.0,-134.01179999999965
1800,102612.16354126399,102470.51574126398,0.0,-141.6477999999995
1860,102610.09121386398,102417.06374126399,0.0,-195.0997999999997
1920,102603.25073066399,102522.12366386398,0.0,-87.967550000001
1980,102603.25073066399,102297.23348066398,0.0,-306.01724999999794
2040,102603.25073066399,102245.070680664,0.0,-358.18004999999994
2100,103577.686302106,102071.19468066399,0.0,-532.0560499999962
2160,103575.706562044,103529.118962044,0.0,-46.587600000000386
2220,103575.706562044,103428.955622044,0.0,-146.75094000000004
2280,103575.706562044,103449.53181204399,0.0,-126.17474999999973
2340,103573.61483805999,103307.439632044,0.0,-268.2669299999996
2400,103573.61483805999,103366.48856805998,0.0,-207.12627000000268
2460,103573.61483805999,103169.00876806,0.0,-404.6060700000006
2520,103573.61483805999,103297.16912805999,0.0,-276.4457100000015
2580,103566.710218372,103106.13764805999,0.0,-467.47719000000296
2640,103566.710218372,102819.740428372,0.0,-746.9697900000085
2700,103566.710218372,102961.19066837199,0.0,-605.5195500000084
2760,103566.710218372,102870.57410837199,0.0,-696.1361100000092
2820,103566.710218372,102861.733468372,0.0,-704.9767500000044
2880,103548.12886575199,102881.62490837199,0.0,-685.0853100000036
2940,103548.12886575199,102001.08115575199,0.0,-1547.0477099999928
3000,106032.80658707398,102334.39545575199,0.0,-1213.7334099999946
3060,106032.80658707398,105795.01578707398,0.0,-237.79080000000036
3120,106032.80658707398,106034.02602707398,0.0,1.2194400000000463
3180,106032.80658707398,105995.41042707398,0.0,-37.39615999999949
3240,106032.80658707398,106121.41922707399,0.0,88.61264
3300,106032.80658707398,106113.69610707398,0.0,80.88952000000066
3360,106032.80658707398,105990.53266707397,0.0,-42.27391999999968
3420,106032.80658707398,105805.99074707399,0.0,-226.81583999999995
3480,106032.80658707398,105936.06434707397,0.0,-96.74223999999982
3540,106032.80658707398,105864.52386707398,0.0,-168.2827200000006
3600,106221.38256102598,105988.90674707398,0.0,-43.899840000000225
3660,106221.38256102598,106267.32966102599,0.0,45.94709999999938
3720,106221.38256102598,106188.22074102599,0.0,-33.16182000000079
3780,106410.25755079798,106266.13104102598,0.0,44.74847999999933
3840,106410.25755079798,106490.82255079798,0.0,80.56500000000072
3900,106410.25755079798,106413.40155079798,0.0,3.14400000000105
3960,106410.25755079798,106337.15955079798,0.0,-73.09799999999998
4020,106410.25755079798,106520.69055079798,0.0,110.43300000000093
4080,106410.25755079798,106532.48055079798,0.0,122.22299999999998
4140,106410.25755079798,106296.68055079797,0.0,-113.57699999999919
4200,106408.10859297398,106222.97570297398,0.0,-185.13288999999892
4260,106408.10859297398,106308.64415297398,0.0,-99.46443999999858
4320,106408.10859297398,106078.56317297398,0.0,-329.5454199999986
4380,106408.10859297398,106175.65408297398,0.0,-232.45450999999878
4440,106408.10859297398,106457.95202297399,0.0,49.843430000001284
4500,106408.10859297398,106644.79083297397,0.0,236.68224000000063
4560,106408.10859297398,106529.75034297397,0.0,121.64175000000208
4620,106408.10859297398,106222.97570297398,0.0,-185.13288999999892
4680,106408.10859297398,106421.23697297397,0.0,13.128379999999892
4740,106793.50748108198,106723.93216297399,0.0,315.8235700000017
4800,106793.50748108198,106790.77398108198,0.0,-2.7334999999991787
4860,106793.50748108198,106742.35198108199,0.0,-51.15550000000009
4920,106793.50748108198,106688.46298108198,0.0,-105.04449999999936
4980,106793.50748108198,106654.87998108198,0.0,-138.62750000000017
5040,106791.31296161398,106490.08898108198,0.0,-303.418499999999
5100,106791.31296161398,106391.93575161397,0.0,-399.37721000000266
5160,106784.12961869397,106610.69149161398,0.0,-180.6214700000012
5220,106266.87964497099,106406.21815869397,0.0,-377.9114600000067
5280,108972.53091910994,106755.73896368993,0.0,488.8593187189462
5340,108972.53091910994,108919.20488910994,0.0,-53.326030000001026
5400,108963.06578577594,108673.56923910994,0.0,-298.9616799999999
5460,108887.85119197193,108220.59044577593,0.0,-742.4753400000028
5520,113853.60735183593,108164.91291197191,0.0,-722.9382800000226
5580,113853.60735183593,113895.08835183593,0.0,41.48099999999993
5640,114056.61459458793,113849.45925183593,0.0,-4.148100000000157
5700,114056.61459458793,114006.79119458793,0.0,-49.823399999999744
