,balance,equity,balance_btc,equity_btc
0,99998.9596529328,100000.0,0.0,0.0
60,99998.9596529328,100059.8693969328,0.0,60.90974400000001
120,99998.9596529328,100021.2068289328,0.0,22.24717599999995
180,99998.9596529328,99995.7197729328,0.0,-3.239880000000123
240,99900.9987117032,99941.9377649328,0.0,-57.02188800000044
300,99900.9987117032,99931.7623117032,0.0,30.763599999999542
360,99900.9987117032,99953.7363117032,0.0,52.73760000000005
420,99900.9987117032,99954.1757917032,0.0,53.177080000000004
480,99900.9987117032,99940.1124317032,0.0,39.113719999999596
540,99900.9987117032,99966.4812317032,0.0,65.48251999999962
600,99900.9987117032,99926.2688117032,0.0,25.27009999999966
660,99900.9987117032,99860.7862917032,0.0,-40.212419999999966
720,99789.95196964321,99792.0076717032,0.0,-108.99103999999971
780,99789.95196964321,99881.42400164322,0.0,91.47203199999936
840,99789.95196964321,99924.58806564321,0.0,134.63609600000007
900,99769.5403646498,99830.43225764322,0.0,40.48028800000001
960,99769.5403646498,99632.7120716498,0.0,-136.8282929999994
1020,99769.5403646498,99639.2277046498,0.0,-130.31265999999962
1080,99769.5403646498,99633.3861026498,0.0,-136.15426199999996
1140,99769.5403646498,99652.4836476498,0.0,-117.05671699999958
1200,99769.5403646498,99641.0251206498,0.0,-128.51524399999983
1260,99769.5403646498,99699.2164636498,0.0,-70.32390099999974
1320,99769.5403646498,99676.9734406498,0.0,-92.56692399999979
1380,99769.5403646498,99701.9125876498,0.0,-67.62777700000004
1440,99769.5403646498,99765.9455326498,0.0,-3.594831999999604
1500,99769.5403646498,99663.2681436498,0.0,-106.27222099999977
1560,99769.5403646498,99643.2718906498,0.0,-126.26847400000005
1620,99769.5403646498,99605.52615464981,0.0,-164.0142099999999
1680,99769.5403646498,99641.9238286498,0.0,-127.61653599999991
1740,99769.5403646498,99646.86672264981,0.0,-122.67364199999946
1800,99769.5403646498,99662.1447586498,0.0,-107.39560599999915
1860,99769.5403646498,99708.4282206498,0.0,-61.112143999999255
1920,99769.5403646498,99804.14062264981,0.0,34.60025800000018
1980,99668.8520136892,99698.9917866498,0.0,-70.54857799999921
2040,99668.8520136892,99614.1910406892,0.0,-54.66097300000059
2100,99668.8520136892,99637.0617406892,0.0,-31.790273000000056
2160,99668.8520136892,99614.1910406892,0.0,-54.66097300000059
2220,99668.8520136892,99686.9198666892,0.0,18.067852999999534
2280,99668.8520136892,99702.24323568921,0.0,33.391221999999374
2340,99668.8520136892,99686.4624526892,0.0,17.610438999999584
2400,99668.8520136892,99725.11393568921,0.0,56.2619219999999
2460,99668.8520136892,99644.3803646892,0.0,-24.471648999999847
2520,99668.8520136892,99718.2527256892,0.0,49.40071199999964
2580,99668.8520136892,99716.1943626892,0.0,47.34234899999936
2640,99668.8520136892,99738.6076486892,0.0,69.75563499999994
2700,99668.8520136892,99737.4641136892,0.0,68.61209999999956
2760,99668.8520136892,99684.6327966892,0.0,15.780782999999786
2820,99668.8520136892,99677.0854656892,0.0,8.23345200000011
2880,99668.8520136892,99672.51132568921,0.0,3.659311999999597
2940,99668.8520136892,99608.4733656892,0.0,-60.37864800000047
3000,99668.8520136892,99627.9134606892,0.0,-40.93855300000006
3060,99574.4000249094,99619.4513016892,0.0,-49.40071200000066
3120,99574.4000249094,99566.25300490939,0.0,-8.147020000000653
3180,99574.4000249094,99414.95120490939,0.0,-159.44882000000052
3240,99574.4000249094,99482.6878569094,0.0,-91.71216800000023
