,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2,SOL,0.0,-1.0403470672000001,99998.9596529328,0.0,99998.9596529328,1.0,2159.92,2.4083,2159.92,2.4083,entry_initial_normal_long
1,243,SOL,-95.900448,-1.0211669776,99902.0380379552,0.0,99902.0380379552,1.0,-2159.92,2.3639,0.0,2.4083,close_trailing_long
2,244,SOL,0.0,-1.0393262520000002,99900.9987117032,0.0,99900.9987117032,1.0,2197.4,2.3649,2197.4,2.3649,entry_initial_normal_long
3,721,SOL,-108.99103999999971,-1.017528044,99790.9901436592,0.0,99790.9901436592,1.0,-2197.4,2.3153,0.0,2.3649,close_trailing_long
4,722,SOL,0.0,-1.0381740160000001,99789.95196964321,0.0,99789.95196964321,1.0,2236.48,2.321,2236.48,2.321,entry_initial_normal_long
5,948,SOL,-18.339135999999968,-1.0345061888,99770.57832745441,0.0,99770.57832745441,1.0,-2236.48,2.3128,0.0,2.321,close_trailing_long
6,949,SOL,0.0,-1.0379628046,99769.5403646498,0.0,99769.5403646498,1.0,2246.77,2.3099,2246.77,2.3099,entry_initial_normal_long
7,1986,SOL,-98.63320299999961,-1.018236164,99669.88892548581,0.0,99669.88892548581,1.0,-2246.77,2.266,0.0,2.3099,close_trailing_long
8,1987,SOL,0.0,-1.0369117966,99668.8520136892,0.0,99668.8520136892,1.0,2287.07,2.2669,2287.07,2.2669,entry_initial_normal_long
9,3086,SOL,-92.39762799999998,-1.0184322710000002,99575.4359534182,0.0,99575.4359534182,1.0,-2287.07,2.2265,0.0,2.2669,close_trailing_long
10,3087,SOL,0.0,-1.0359285087999999,99574.4000249094,0.0,99574.4000249094,1.0,2327.72,2.2252,2327.72,2.2252,entry_initial_normal_long
11,3884,SOL,-49.58043600000022,-1.0260124216,99523.79357648779,0.0,99523.79357648779,1.0,-2327.72,2.2039,0.0,2.2252,close_trailing_long
12,3885,SOL,0.0,-1.0353953326,99522.7581811552,0.0,99522.7581811552,1.0,2337.13,2.2151,2337.13,2.2151,entry_initial_normal_long
13,5202,SOL,-105.40456300000034,-1.01431442,99416.33930373519,0.0,99416.33930373519,1.0,-2337.13,2.17,0.0,2.2151,close_trailing_long
14,5203,SOL,0.0,-1.0342758244,99415.3050279108,0.0,99415.3050279108,1.0,2380.82,2.1721,2380.82,2.1721,entry_initial_normal_long
15,7071,SOL,38.807366000000485,-1.0420372976,99453.0703566132,0.0,99453.0703566132,1.0,-2380.82,2.1884,0.0,2.1721,close_trailing_long
16,7072,SOL,0.0,-1.0346562728,99452.0357003404,0.0,99452.0357003404,1.0,2363.74,2.1886,2363.74,2.1886,entry_initial_normal_long
17,7403,SOL,-96.67696600000036,-1.0153208796,99354.34341346081,0.0,99354.34341346081,1.0,-2363.74,2.1477,0.0,2.1886,close_trailing_long
18,7404,SOL,0.0,-1.0336285604000002,99353.30978490041,0.0,99353.30978490041,1.0,2416.94,2.1383,2416.94,2.1383,entry_initial_normal_long
19,9330,SOL,0.0,-0.9939554118,99352.31582948861,0.0,99352.31582948861,1.0,2658.63,1.8693,5075.57,1.997395339045664,entry_trailing_normal_long
20,11001,SOL,212.18248299999968,-2.0700204688,99562.4282920198,0.0,99562.4282920198,1.0,-5075.57,2.0392,0.0,1.997395339045664,close_trailing_long
21,11002,SOL,0.0,-1.0357963512000001,99561.3924956686,0.0,99561.3924956686,1.0,2540.46,2.0386,2540.46,2.0386,entry_initial_normal_long
22,12699,SOL,-44.20400400000077,-1.0269555504,99516.16153611819,0.0,99516.16153611819,1.0,-2540.46,2.0212,0.0,2.0386,close_trailing_long
23,12700,SOL,0.0,-1.0353121284,99515.12622398979,0.0,99515.12622398979,1.0,2558.98,2.0229,2558.98,2.0229,entry_initial_normal_long
24,16807,SOL,0.0,-1.0332861504000002,99514.09293783939,0.0,99514.09293783939,1.0,2814.88,1.8354,5373.86,1.9246856810560753,entry_trailing_normal_long
25,18277,SOL,0.0,-1.955323275,99512.13761456439,0.0,99512.13761456439,1.0,5911.25,1.6539,11285.11,1.7828455167029829,entry_trailing_normal_long
26,19227,SOL,0.0,-0.32701540319999994,99511.81059916118,0.0,99511.81059916118,1.0,1013.31,1.6136,12298.42,1.7689007844097047,entry_trailing_cropped_long
27,19228,SOL,0.0,-6.658467426600001,99505.15213173458,0.0,99505.15213173458,1.0,20501.47,1.6239,32799.89,1.678268491693112,entry_grid_normal_long
28,19228,SOL,0.0,-17.715484080000003,99487.43664765457,0.0,99487.43664765457,1.0,54677.42,1.62,87477.31,1.6418479525490668,entry_grid_normal_long
29,19822,SOL,4175.561735768888,-26.582995535800002,103636.41538788765,0.0,103636.41538788765,1.0,-78411.29,1.6951,9066.02,1.6418479525490668,close_trailing_long
30,20283,SOL,200.8309052311088,-3.0171714560000003,103834.22912166276,0.0,103834.22912166276,1.0,-9066.02,1.664,0.0,1.6418479525490668,close_trailing_long
31,20284,SOL,0.0,-1.080237067,103833.14888459576,0.0,103833.14888459576,1.0,3244.15,1.6649,3244.15,1.6649,entry_initial_normal_long
32,20655,SOL,0.0,-1.0764234548,103832.07246114097,0.0,103832.07246114097,1.0,3568.57,1.5082,6812.72,1.5828189928545426,entry_trailing_normal_long
33,20842,SOL,-223.58660899999944,-2.1119432000000002,103606.37390894096,0.0,103606.37390894096,1.0,-6812.72,1.55,0.0,1.5828189928545426,close_trailing_long
34,20843,SOL,0.0,-1.0778676688,103605.29604127216,0.0,103605.29604127216,1.0,3477.89,1.5496,3477.89,1.5496,entry_initial_normal_long
35,20995,SOL,110.5969019999994,-1.0999870492,103714.79295622295,0.0,103714.79295622295,1.0,-3477.89,1.5814,0.0,1.5496,close_trailing_long
36,20997,SOL,0.0,-1.078992999,103713.71396322396,0.0,103713.71396322396,1.0,3402.69,1.5855,3402.69,1.5855,entry_initial_normal_long
37,22997,SOL,0.0,-1.0744540976,103712.63950912635,0.0,103712.63950912635,1.0,3742.96,1.4353,7145.65,1.5068237995143898,entry_trailing_normal_long
38,23492,SOL,0.0,-2.1354645696000003,103710.50404455676,0.0,103710.50404455676,1.0,7860.22,1.3584,15005.87,1.4290779762186396,entry_trailing_normal_long
39,25104,SOL,716.1104850000005,-4.4321337632,104422.18239579356,0.0,104422.18239579356,1.0,-15005.87,1.4768,0.0,1.4290779762186396,close_trailing_long
40,25105,SOL,0.0,-1.0863526920000002,104421.09604310156,0.0,104421.09604310156,1.0,3685.8,1.4737,3685.8,1.4737,entry_initial_normal_long
41,26202,SOL,197.55888000000036,-1.1258644680000003,104617.52905863356,0.0,104617.52905863356,1.0,-3685.8,1.5273,0.0,1.4737,close_trailing_long
42,26203,SOL,0.0,-1.0883873418,104616.44067129176,0.0,104616.44067129176,1.0,3561.71,1.5279,3561.71,1.5279,entry_initial_normal_long
43,27289,SOL,222.96304599999996,-1.132979951,104838.27073734076,0.0,104838.27073734076,1.0,-3561.71,1.5905,0.0,1.5279,close_trailing_long
44,27291,SOL,0.0,-1.09068125,104837.18005609076,0.0,104837.18005609076,1.0,3406.25,1.601,3406.25,1.601,entry_initial_normal_long
45,27560,SOL,-33.72187500000007,-1.083936875,104802.37424421575,0.0,104802.37424421575,1.0,-3406.25,1.5911,0.0,1.601,close_trailing_long
46,27561,SOL,0.0,-1.0903096639999998,104801.28393455176,0.0,104801.28393455176,1.0,3425.2,1.5916,3425.2,1.5916,entry_initial_normal_long
47,29106,SOL,0.0,-1.0883435992,104800.19559095256,0.0,104800.19559095256,1.0,3767.72,1.4443,7192.92,1.514442857142857,entry_trailing_normal_long
48,30432,SOL,0.0,-2.1679455400000003,104798.02764541256,0.0,104798.02764541256,1.0,7912.21,1.37,15105.13,1.4387823220323162,entry_trailing_normal_long
49,31210,SOL,0.0,-0.235448838,104797.79219657456,0.0,104797.79219657456,1.0,909.42,1.2945,16014.55,1.430588946052184,entry_trailing_cropped_long
50,31211,SOL,0.0,-6.96131415,104790.83088242456,0.0,104790.83088242456,1.0,26696.25,1.3038,42710.8,1.3513399176789007,entry_grid_normal_long
51,32199,SOL,1177.113164000008,-11.778784424000001,105956.16526200056,0.0,105956.16526200056,1.0,-42710.8,1.3789,0.0,1.3513399176789007,close_trailing_long
52,32200,SOL,0.0,-1.102312458,105955.06294954257,0.0,105955.06294954257,1.0,3992.15,1.3806,3992.15,1.3806,entry_initial_normal_long
53,32637,SOL,221.56432499999954,-1.146625323,106175.48064921956,0.0,106175.48064921956,1.0,-3992.15,1.4361,0.0,1.3806,close_trailing_long
54,32638,SOL,0.0,-1.1045926584,106174.37605656116,0.0,106174.37605656116,1.0,3838.59,1.4388,3838.59,1.4388,entry_initial_normal_long
55,32664,SOL,-47.59851600000073,-1.0950729552,106125.68246760596,0.0,106125.68246760596,1.0,-3838.59,1.4264,0.0,1.4388,close_trailing_long
56,32665,SOL,0.0,-1.1040768380000001,106124.57839076796,0.0,106124.57839076796,1.0,3863.11,1.429,3863.11,1.429,entry_initial_normal_long
57,32983,SOL,-112.03019000000053,-1.0816708000000002,106011.46652996796,0.0,106011.46652996796,1.0,-3863.11,1.4,0.0,1.429,close_trailing_long
58,32984,SOL,0.0,-1.102886543,106010.36364342496,0.0,106010.36364342496,1.0,3936.35,1.4009,3936.35,1.4009,entry_initial_normal_long
59,33845,SOL,1138.3924199999997,-1.330565027,107147.42549839796,0.0,107147.42549839796,1.0,-3936.35,1.6901,0.0,1.4009,close_trailing_long
60,33846,SOL,0.0,-1.114707176,107146.31079122196,0.0,107146.31079122196,1.0,3300.88,1.6885,3300.88,1.6885,entry_initial_normal_long
61,34027,SOL,139.627224,-1.1426326208000002,107284.79538260115,0.0,107284.79538260115,1.0,-3300.88,1.7308,0.0,1.6885,close_trailing_long
62,34029,SOL,0.0,-1.1161361412000002,107283.67924645996,0.0,107283.67924645996,1.0,3221.73,1.7322,3221.73,1.7322,entry_initial_normal_long
63,34080,SOL,-119.20400999999976,-1.0922953392,107163.38294112076,0.0,107163.38294112076,1.0,-3221.73,1.6952,0.0,1.7322,close_trailing_long
64,34081,SOL,0.0,-1.1148700328,107162.26807108795,0.0,107162.26807108795,1.0,3258.52,1.7107,3258.52,1.7107,entry_initial_normal_long
65,34161,SOL,121.21694399999967,-1.1391134216,107282.34590166635,0.0,107282.34590166635,1.0,-3258.52,1.7479,0.0,1.7107,close_trailing_long
66,34162,SOL,0.0,-1.1161090104,107281.22979265595,0.0,107281.22979265595,1.0,3185.97,1.7516,3185.97,1.7516,entry_initial_normal_long
67,34251,SOL,140.18268000000012,-1.1441455464,107420.26832710956,0.0,107420.26832710956,1.0,-3185.97,1.7956,0.0,1.7516,close_trailing_long
68,34252,SOL,0.0,-1.117544198,107419.15078291156,0.0,107419.15078291156,1.0,3115.54,1.7935,3115.54,1.7935,entry_initial_normal_long
69,34310,SOL,106.55146800000003,-1.1388544916,107524.56339641995,0.0,107524.56339641995,1.0,-3115.54,1.8277,0.0,1.7935,close_trailing_long
70,34316,SOL,0.0,-1.11863024,107523.44476617995,0.0,107523.44476617995,1.0,3073.16,1.82,3073.16,1.82,entry_initial_normal_long
71,34350,SOL,-122.9264000000001,-1.09404496,107399.42432121995,0.0,107399.42432121995,1.0,-3073.16,1.78,0.0,1.82,close_trailing_long
72,34351,SOL,0.0,-1.1173259746,107398.30699524535,0.0,107398.30699524535,1.0,3136.97,1.7809,3136.97,1.7809,entry_initial_normal_long
73,34593,SOL,793.9671069999996,-1.276119396,108190.99798284935,0.0,108190.99798284935,1.0,-3136.97,2.034,0.0,1.7809,close_trailing_long
74,35046,SOL,0.0,-1.1255636400000002,108189.87241920935,0.0,108189.87241920935,1.0,2569.78,2.19,2569.78,2.19,entry_initial_normal_long
75,35141,SOL,157.27053599999982,-1.1570177472,108345.98593746214,0.0,108345.98593746214,1.0,-2569.78,2.2512,0.0,2.19,close_trailing_long
76,35149,SOL,0.0,-1.1271758000000003,108344.85876166215,0.0,108344.85876166215,1.0,2527.3,2.23,2527.3,2.23,entry_initial_normal_long
77,35285,SOL,320.71437000000003,-1.1913186740000001,108664.38181298815,0.0,108664.38181298815,1.0,-2527.3,2.3569,0.0,2.23,close_trailing_long
78,35373,SOL,0.0,-1.13048676,108663.25132622816,0.0,108663.25132622816,1.0,2415.57,2.34,2415.57,2.34,entry_initial_normal_long
79,35402,SOL,-27.295940999999676,-1.1250275718000002,108634.83035765636,0.0,108634.83035765636,1.0,-2415.57,2.3287,0.0,2.34,close_trailing_long
80,35403,SOL,0.0,-1.1301804800000002,108633.70017717636,0.0,108633.70017717636,1.0,2425.28,2.33,2425.28,2.33,entry_initial_normal_long
81,35466,SOL,0.0,-1.127950068,108632.57222710837,0.0,108632.57222710837,1.0,2667.81,2.114,5093.09,2.2168571024662826,entry_trailing_normal_long
82,35476,SOL,0.0,-2.243088912,108630.32913819636,0.0,108630.32913819636,1.0,5602.4,2.0019,10695.49,2.1042605154135066,entry_trailing_normal_long
83,35505,SOL,-188.88786600000753,-4.463441886799999,108436.97783030955,0.0,108436.97783030955,1.0,-10695.49,2.0866,0.0,2.1042605154135066,close_trailing_long
84,35506,SOL,0.0,-1.1281234159999998,108435.84970689355,0.0,108435.84970689355,1.0,2668.22,2.114,2668.22,2.114,entry_initial_normal_long
85,35532,SOL,45.893384000000864,-1.1373020928,108480.60578880075,0.0,108480.60578880075,1.0,-2668.22,2.1312,0.0,2.114,close_trailing_long
86,35533,SOL,0.0,-1.128577508,108479.47721129275,0.0,108479.47721129275,1.0,2639.33,2.138,2639.33,2.138,entry_initial_normal_long
87,35578,SOL,72.84550800000018,-1.1431466096,108551.17957268315,0.0,108551.17957268315,1.0,-2639.33,2.1656,0.0,2.138,close_trailing_long
88,35579,SOL,0.0,-1.1293109928000002,108550.05026169035,0.0,108550.05026169035,1.0,2618.51,2.1564,2618.51,2.1564,entry_initial_normal_long
89,35587,SOL,-11.783295000000448,-1.1269543338,108537.14001235655,0.0,108537.14001235655,1.0,-2618.51,2.1519,0.0,2.1564,close_trailing_long
90,35588,SOL,0.0,-1.129163995,108536.01084836155,0.0,108536.01084836155,1.0,2611.75,2.1617,2611.75,2.1617,entry_initial_normal_long
91,35613,SOL,-119.61815000000074,-1.105240365,108415.28745799654,0.0,108415.28745799654,1.0,-2611.75,2.1159,0.0,2.1617,close_trailing_long
92,35614,SOL,0.0,-1.1278968576,108414.15956113895,0.0,108414.15956113895,1.0,2648.64,2.1292,2648.64,2.1292,entry_initial_normal_long
93,35685,SOL,0.0,-1.124611,108413.03495013894,0.0,108413.03495013894,1.0,2913.5,1.93,5562.14,2.024857211073435,entry_trailing_normal_long
94,35833,SOL,36.948122000003025,-2.259897482,108447.72317465695,0.0,108447.72317465695,1.0,-5562.14,2.0315,0.0,2.024857211073435,close_trailing_long
95,35834,SOL,0.0,-1.1282319104,108446.59494274654,0.0,108446.59494274654,1.0,2780.54,2.0288,2780.54,2.0288,entry_initial_normal_long
96,35958,SOL,45.8789100000005,-1.1374076924,108491.33644505414,0.0,108491.33644505414,1.0,-2780.54,2.0453,0.0,2.0288,close_trailing_long
97,35959,SOL,0.0,-1.128685262,108490.20775979215,0.0,108490.20775979215,1.0,2754.1,2.0491,2754.1,2.0491,entry_initial_normal_long
98,36003,SOL,-110.43941000000068,-1.10659738,108378.66175241214,0.0,108378.66175241214,1.0,-2754.1,2.009,0.0,2.0491,close_trailing_long
99,36004,SOL,0.0,-1.1275162416,108377.53423617054,0.0,108377.53423617054,1.0,2795.31,2.0168,2795.31,2.0168,entry_initial_normal_long
100,36066,SOL,68.48509500000053,-1.1412132606,108444.87811790995,0.0,108444.87811790995,1.0,-2795.31,2.0413,0.0,2.0168,close_trailing_long
101,36067,SOL,0.0,-1.1282047400000002,108443.74991316994,0.0,108443.74991316994,1.0,2765.75,2.0396,2765.75,2.0396,entry_initial_normal_long
102,36137,SOL,156.81802499999932,-1.1595683449999998,108599.40836982495,0.0,108599.40836982495,1.0,-2765.75,2.0963,0.0,2.0396,close_trailing_long
103,36138,SOL,0.0,-1.1298099048,108598.27855992015,0.0,108598.27855992015,1.0,2668.17,2.1172,2668.17,2.1172,entry_initial_normal_long
104,36259,SOL,-125.93762400000035,-1.1046223800000001,108471.23631354014,0.0,108471.23631354014,1.0,-2668.17,2.07,0.0,2.1172,close_trailing_long
105,36260,SOL,0.0,-1.128476457,108470.10783708314,0.0,108470.10783708314,1.0,2721.45,2.0733,2721.45,2.0733,entry_initial_normal_long
106,36636,SOL,43.271054999999464,-1.137130668,108512.24176141513,0.0,108512.24176141513,1.0,-2721.45,2.0892,0.0,2.0733,close_trailing_long
107,36637,SOL,0.0,-1.1289033448,108511.11285807034,0.0,108511.11285807034,1.0,2675.38,2.1098,2675.38,2.1098,entry_initial_normal_long
108,36668,SOL,-90.16030600000018,-1.1108712835999999,108419.84168078673,0.0,108419.84168078673,1.0,-2675.38,2.0761,0.0,2.1098,close_trailing_long
109,36669,SOL,0.0,-1.1279440524,108418.71373673434,0.0,108418.71373673434,1.0,2716.89,2.0758,2716.89,2.0758,entry_initial_normal_long
110,36727,SOL,185.83527600000002,-1.1651111076,108603.38390162674,0.0,108603.38390162674,1.0,-2716.89,2.1442,0.0,2.0758,close_trailing_long
111,36728,SOL,0.0,-1.1298534288000002,108602.25404819794,0.0,108602.25404819794,1.0,2620.74,2.1556,2620.74,2.1556,entry_initial_normal_long
112,36747,SOL,-96.70530600000039,-1.1105123676,108504.43822983034,0.0,108504.43822983034,1.0,-2620.74,2.1187,0.0,2.1556,close_trailing_long
113,36748,SOL,0.0,-1.128821485,108503.30940834533,0.0,108503.30940834533,1.0,2670.25,2.1137,2670.25,2.1137,entry_initial_normal_long
114,36798,SOL,10.948024999999387,-1.13101109,108513.12642225533,0.0,108513.12642225533,1.0,-2670.25,2.1178,0.0,2.1137,close_trailing_long
115,36799,SOL,0.0,-1.1289142020000003,108511.99750805333,0.0,108511.99750805333,1.0,2663.79,2.119,2663.79,2.119,entry_initial_normal_long
116,36977,SOL,189.39546899999985,-1.1667932958000002,108700.22618375754,0.0,108700.22618375754,1.0,-2663.79,2.1901,0.0,2.119,close_trailing_long
117,36978,SOL,0.0,-1.1308604303999998,108699.09532332713,0.0,108699.09532332713,1.0,2571.54,2.1988,2571.54,2.1988,entry_initial_normal_long
118,37095,SOL,22.37239800000039,-1.13533491,108720.33238641713,0.0,108720.33238641713,1.0,-2571.54,2.2075,0.0,2.1988,close_trailing_long
119,37096,SOL,0.0,-1.1310690636000003,108719.20131735352,0.0,108719.20131735352,1.0,2568.51,2.2018,2568.51,2.2018,entry_initial_normal_long
120,37159,SOL,-84.5039790000004,-1.1141682678,108633.58317008572,0.0,108633.58317008572,1.0,-2568.51,2.1689,0.0,2.2018,close_trailing_long
121,37160,SOL,0.0,-1.130164915,108632.45300517073,0.0,108632.45300517073,1.0,2601.07,2.1725,2601.07,2.1725,entry_initial_normal_long
122,37571,SOL,-104.56301400000004,-1.1092523122000002,108526.78073885852,0.0,108526.78073885852,1.0,-2601.07,2.1323,0.0,2.1725,close_trailing_long
