,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2,SOL,0.0,-0.4830230978000001,99999.5169769022,0.0,99999.5169769022,1.0,1002.83,2.4083,1002.83,2.4083,entry_initial_normal_long
1,243,SOL,-44.525651999999994,-0.4741179674,99954.5172069348,0.0,99954.5172069348,1.0,-1002.83,2.3639,0.0,2.4083,close_trailing_long
2,244,SOL,0.0,-0.4827990648,99954.03440787,0.0,99954.03440787,1.0,1020.76,2.3649,1020.76,2.3649,entry_initial_normal_long
3,721,SOL,-50.62969599999986,-0.4726731256,99902.9320387444,0.0,99902.9320387444,1.0,-1020.76,2.3153,0.0,2.3649,close_trailing_long
4,722,SOL,0.0,-0.48254982600000007,99902.4494889184,0.0,99902.4494889184,1.0,1039.53,2.321,1039.53,2.321,entry_initial_normal_long
5,948,SOL,-8.524145999999984,-0.48084499680000004,99893.4444979216,0.0,99893.4444979216,1.0,-1039.53,2.3128,0.0,2.321,close_trailing_long
6,949,SOL,0.0,-0.4825057714,99892.9619921502,0.0,99892.9619921502,1.0,1044.43,2.3099,1044.43,2.3099,entry_initial_normal_long
7,1986,SOL,-45.85047699999982,-0.4733356760000001,99846.6381794742,0.0,99846.6381794742,1.0,-1044.43,2.266,0.0,2.3099,close_trailing_long
8,1987,SOL,0.0,-0.4822784412,99846.15590103301,0.0,99846.15590103301,1.0,1063.74,2.2669,1063.74,2.2669,entry_initial_normal_long
9,3086,SOL,-42.97509599999999,-0.4736834220000001,99802.707121611,0.0,99802.707121611,1.0,-1063.74,2.2265,0.0,2.2669,close_trailing_long
10,3087,SOL,0.0,-0.482067328,99802.225054283,0.0,99802.225054283,1.0,1083.2,2.2252,1083.2,2.2252,entry_initial_normal_long
11,3884,SOL,-23.072160000000107,-0.47745289600000007,99778.67544138701,0.0,99778.67544138701,1.0,-1083.2,2.2039,0.0,2.2252,close_trailing_long
12,3885,SOL,0.0,-0.4819525976000001,99778.1934887894,0.0,99778.1934887894,1.0,1087.88,2.2151,1087.88,2.2151,entry_initial_normal_long
13,5202,SOL,-49.06338800000016,-0.4721399200000001,99728.6579608694,0.0,99728.6579608694,1.0,-1087.88,2.17,0.0,2.2151,close_trailing_long
