,balance,equity,balance_btc,equity_btc
0,99999.6693741262,100000.0,0.0,0.0
60,99999.6693741262,100019.0267001262,0.0,19.357326
120,99999.6693741262,100006.7396031262,0.0,7.0702289999999826
180,99999.6693741262,99998.6397291262,0.0,-1.029645000000039
240,99968.536828597,99981.54762212619,0.0,-18.121752000000136
300,99968.536828597,99978.320168597,0.0,9.783339999999853
360,99968.536828597,99985.308268597,0.0,16.771440000000013
420,99968.536828597,99985.448030597,0.0,16.911202
480,99968.536828597,99980.975646597,0.0,12.43881799999987
540,99968.536828597,99989.361366597,0.0,20.824537999999876
600,99968.536828597,99976.57314359701,0.0,8.03631499999989
660,99968.536828597,99955.74860559701,0.0,-12.788222999999988
720,99933.2218580044,99933.875852597,0.0,-34.660975999999906
780,99933.2218580044,99962.3332510044,0.0,29.111392999999797
840,99933.2218580044,99976.0704120044,0.0,42.84855400000002
900,99926.7257226762,99946.1048950044,0.0,12.883037000000003
960,99926.7257226762,99883.1730876762,0.0,-43.55263499999981
1020,99926.7257226762,99885.2470226762,0.0,-41.478699999999876
1080,99926.7257226762,99883.3876326762,0.0,-43.33808999999999
1140,99926.7257226762,99889.4664076762,0.0,-37.259314999999866
1200,99926.7257226762,99885.8191426762,0.0,-40.90657999999994
1260,99926.7257226762,99904.3415276762,0.0,-22.384194999999917
1320,99926.7257226762,99897.2615426762,0.0,-29.46417999999993
1380,99926.7257226762,99905.1997076762,0.0,-21.52601500000001
1440,99926.7257226762,99925.5814826762,0.0,-1.144239999999874
1500,99926.7257226762,99892.8991276762,0.0,-33.82659499999993
1560,99926.7257226762,99886.5342926762,0.0,-40.19143000000002
1620,99926.7257226762,99874.5197726762,0.0,-52.205949999999966
1680,99926.7257226762,99886.1052026762,0.0,-40.62051999999997
1740,99926.7257226762,99887.6785326762,0.0,-39.04718999999983
1800,99926.7257226762,99892.54155267621,0.0,-34.184169999999725
1860,99926.7257226762,99907.2736426762,0.0,-19.452079999999764
1920,99926.7257226762,99937.7390326762,0.0,11.013310000000057
1980,99894.6762534338,99904.2700126762,0.0,-22.455709999999748
2040,99894.6762534338,99877.2655814338,0.0,-17.410672000000186
2100,99894.6762534338,99884.5503814338,0.0,-10.125872000000017
2160,99894.6762534338,99877.2655814338,0.0,-17.410672000000186
2220,99894.6762534338,99900.4312454338,0.0,5.754991999999851
2280,99894.6762534338,99905.31206143381,0.0,10.6358079999998
2340,99894.6762534338,99900.2855494338,0.0,5.609295999999867
2400,99894.6762534338,99912.5968614338,0.0,17.92060799999997
2460,99894.6762534338,99886.88151743381,0.0,-7.794735999999951
2520,99894.6762534338,99910.4114214338,0.0,15.735167999999884
2580,99894.6762534338,99909.75578943381,0.0,15.079535999999795
2640,99894.6762534338,99916.89489343381,0.0,22.21863999999998
2700,99894.6762534338,99916.5306534338,0.0,21.85439999999986
2760,99894.6762534338,99899.7027654338,0.0,5.026511999999932
2820,99894.6762534338,99897.29878143381,0.0,2.6225280000000346
2880,99894.6762534338,99895.8418214338,0.0,1.1655679999998716
2940,99894.6762534338,99875.4443814338,0.0,-19.23187200000015
3000,99894.6762534338,99881.63646143381,0.0,-13.03979200000002
3060,99864.5910941138,99878.9410854338,0.0,-15.735168000000208
3120,99864.5910941138,99861.99444411379,0.0,-2.596650000000208
3180,99864.5910941138,99813.7709441138,0.0,-50.82015000000017
3240,99864.5910941138,99835.3602341138,0.0,-29.230860000000074
3300,99864.5910941138,99817.99977411379,0.0,-46.59132000000014
3360,99864.5910941138,99801.3812141138,0.0,-63.209879999999956
3420,99864.5910941138,99815.7740741138,0.0,-48.81701999999989
3480,99864.5910941138,99810.5807741138,0.0,-54.01031999999998
3540,99864.5910941138,99822.5995541138,0.0,-41.991539999999986
3600,99864.5910941138,99829.3508441138,0.0,-35.240249999999904
3660,99864.5910941138,99822.2286041138,0.0,-42.36249000000011
3720,99864.5910941138,99813.7709441138,0.0,-50.82015000000017
3780,99864.5910941138,99818.4449141138,0.0,-46.146180000000186
3840,99848.1314886486,99836.3247041138,0.0,-28.266390000000015
3900,99848.1314886486,99842.24472464861,0.0,-5.886764000000179
3960,99848.1314886486,99826.9689446486,0.0,-21.162543999999986
4020,99848.1314886486,99831.73796864861,0.0,-16.39352000000018
4080,99848.1314886486,99806.3280126486,0.0,-41.803476000000195
4140,99848.1314886486,99805.43382064861,0.0,-42.69766800000009
