,balance,equity,balance_btc,equity_btc
0,99999.4308141,100000.0,0.0,0.0
60,99999.4308141,99988.7109641,0.0,-10.719850000000042
120,99999.4308141,99997.38631409999,0.0,-2.044499999999789
180,99999.4308141,100007.5363141,0.0,8.10550000000021
240,99999.4308141,99967.35971409999,0.0,-32.07110000000004
300,99999.4308141,99963.8188141,0.0,-35.61199999999979
360,99999.4308141,99977.13851409999,0.0,-22.292299999999702
420,99999.4308141,99955.16231409999,0.0,-44.26849999999989
480,99999.4308141,99985.71236409999,0.0,-13.718449999999557
540,99999.4308141,99984.0927141,0.0,-15.33809999999983
600,100019.3750247,99998.40131409999,0.0,-1.029499999999789
660,100038.17686382,100019.3750247,0.0,0.0
720,100096.55419894001,100019.10634382,0.0,-19.07051999999985
780,100193.78748646,100009.23919894,0.0,-87.31499999999978
840,100252.692964006,100201.84905646,0.0,8.061570000000357
900,100252.692964006,100252.692964006,0.0,0.0
960,100252.119736006,100252.692964006,0.0,0.0
1020,100252.119736006,100249.422736006,0.0,-2.6969999999999343
1080,100252.119736006,100246.379236006,0.0,-5.740499999999519
1140,100252.119736006,100204.104736006,0.0,-48.01499999999978
1200,100252.119736006,100245.69523600601,0.0,-6.424499999999716
1260,100252.119736006,100239.79723600601,0.0,-12.322499999999673
1320,100252.119736006,100253.721736006,0.0,1.6020000000000436
1380,100252.119736006,100227.339736006,0.0,-24.779999999999564
1440,100252.119736006,100199.207236006,0.0,-52.9125
1500,100252.119736006,100206.114736006,0.0,-46.00499999999956
1560,100252.119736006,100213.93723600601,0.0,-38.18249999999989
1620,100252.119736006,100182.381736006,0.0,-69.73799999999973
1680,100252.119736006,100184.588236006,0.0,-67.53149999999987
1740,100252.119736006,100167.431236006,0.0,-84.68850000000002
1800,100252.119736006,100186.40173600601,0.0,-65.71799999999985
1860,100252.119736006,100231.76323600601,0.0,-20.35649999999987
1920,100272.197377006,100255.57723600601,0.0,3.4575000000004366
1980,100272.197377006,100272.197377006,0.0,0.0
2040,100272.197377006,100272.197377006,0.0,0.0
2100,100272.197377006,100272.197377006,0.0,0.0
2160,100271.627545286,100272.197377006,0.0,0.0
2220,100291.589606366,100280.714725286,0.0,9.087180000000044
2280,100291.01912836601,100291.589606366,0.0,0.0
2340,100291.01912836601,100291.309048366,0.0,0.28991999999973633
2400,100310.43725936601,100292.296588366,0.0,1.2774599999998681
2460,100330.53164720601,100312.34029936601,0.0,1.9030399999995133
2520,100330.53164720601,100330.53164720601,0.0,0.0
2580,100330.53164720601,100330.53164720601,0.0,0.0
2640,100330.53164720601,100330.53164720601,0.0,0.0
2700,100330.53164720601,100330.53164720601,0.0,0.0
2760,100330.53164720601,100330.53164720601,0.0,0.0
2820,100330.53164720601,100330.53164720601,0.0,0.0
2880,100330.53164720601,100330.53164720601,0.0,0.0
2940,100329.958608246,100330.53164720601,0.0,0.0
3000,100329.958608246,100336.863838246,0.0,6.905229999999934
3060,100350.038237926,100344.501418246,0.0,14.542810000000197
3120,100350.038237926,100350.038237926,0.0,0.0
