,balance,equity,balance_btc,equity_btc
0,99999.446434,100000.0,0.0,0.0
60,99999.446434,99988.613404,0.0,-10.833030000000246
120,99999.446434,99997.049434,0.0,-2.397
180,99999.446434,100006.919434,0.0,7.472999999999999
240,99999.446434,99967.851154,0.0,-31.595280000000244
300,99999.446434,99964.407934,0.0,-35.0385
360,99999.446434,99977.360194,0.0,-22.086239999999915
420,99999.446434,99955.990234,0.0,-43.456200000000095
480,99999.446434,99985.697524,0.0,-13.748909999999773
540,99999.446434,99984.122554,0.0,-15.32388000000004
600,100018.84037769999,99998.036434,0.0,-1.41
660,100037.12685654,100018.84037769999,0.0,0.0
720,100093.95591273998,100018.16701654,0.0,-18.95984000000006
780,100188.49850584399,100008.96931273998,0.0,-84.98659999999978
840,100245.715920174,100196.296625844,0.0,7.7981200000003446
900,100245.715920174,100245.715920174,0.0,0.0
960,100245.161640274,100245.715920174,0.0,0.0
1020,100245.161640274,100241.75704027401,0.0,-3.4045999999999363
1080,100245.161640274,100238.814990274,0.0,-6.346649999999535
1140,100245.161640274,100197.949640274,0.0,-47.21199999999978
1200,100245.161640274,100238.15379027401,0.0,-7.007849999999725
1260,100245.161640274,100232.452390274,0.0,-12.709249999999683
1320,100245.161640274,100245.912740274,0.0,0.7511000000000422
1380,100245.161640274,100220.410140274,0.0,-24.751499999999577
1440,100245.161640274,100193.21539027401,0.0,-51.94625
1500,100245.161640274,100199.892640274,0.0,-45.26899999999957
1560,100245.161640274,100207.454390274,0.0,-37.707249999999895
1620,100245.161640274,100176.950740274,0.0,-68.21089999999974
1680,100245.161640274,100179.083690274,0.0,-66.07794999999987
1740,100245.161640274,100162.498590274,0.0,-82.66305000000001
1800,100245.161640274,100180.836740274,0.0,-64.32489999999984
1860,100245.161640274,100224.686190274,0.0,-20.47544999999987
1920,100264.584364174,100247.706390274,0.0,2.544750000000422
1980,100264.584364174,100264.584364174,0.0,0.0
2040,100264.584364174,100264.584364174,0.0,0.0
2100,100264.584364174,100264.584364174,0.0,0.0
2160,100264.02954795401,100264.584364174,0.0,0.0
2220,100283.462733334,100272.479107954,0.0,8.449559999999936
2280,100282.907290894,100283.462733334,0.0,0.0
2340,100282.907290894,100282.807330894,0.0,-0.09996000000004278
2400,100301.814539674,100283.768710894,0.0,0.8614200000000856
2460,100321.247836774,100303.199279674,0.0,1.3847399999997432
2520,100321.247836774,100321.247836774,0.0,0.0
2580,100321.247836774,100321.247836774,0.0,0.0
2640,100321.247836774,100321.247836774,0.0,0.0
2700,100321.247836774,100321.247836774,0.0,0.0
2760,100321.247836774,100321.247836774,0.0,0.0
2820,100321.247836774,100321.247836774,0.0,0.0
2880,100321.247836774,100321.247836774,0.0,0.0
2940,100320.68991297399,100321.247836774,0.0,0.0
3000,100320.68991297399,100327.088822974,0.0,6.3989099999998285
3060,100340.237567254,100334.52408297399,0.0,13.834170000000086
3120,100340.237567254,100340.237567254,0.0,0.0
3180,100339.679714014,100340.237567254,0.0,0.0
3240,100339.679714014,100331.250734014,0.0,-8.42898000000002
3300,100359.227438854,100338.519884014,0.0,-1.1598299999999144
3360,100359.227438854,100359.227438854,0.0,0.0
3420,100359.227438854,100359.227438854,0.0,0.0
3480,100359.227438854,100359.227438854,0.0,0.0
3540,100359.227438854,100359.227438854,0.0,0.0
3600,100359.227438854,100359.227438854,0.0,0.0
3660,100359.227438854,100359.227438854,0.0,0.0
3720,100359.227438854,100359.227438854,0.0,0.0
3780,100359.227438854,100359.227438854,0.0,0.0
3840,100359.227438854,100359.227438854,0.0,0.0
3900,100359.227438854,100359.227438854,0.0,0.0
3960,100359.227438854,100359.227438854,0.0,0.0
4020,100359.227438854,100359.227438854,0.0,0.0
4080,100359.227438854,100359.227438854,0.0,0.0
4140,100359.227438854,100359.227438854,0.0,0.0
4200,100359.227438854,100359.227438854,0.0,0.0
4260,100359.227438854,100359.227438854,0.0,0.0
4320,100359.227438854,100359.227438854,0.0,0.0
4380,100359.227438854,100359.227438854,0.0,0.0
4440,100358.67235341399,100359.227438854,0.0,0.0
4500,100358.67235341399,100360.07491341399,0.0,1.4025600000002303
4560,100358.67235341399,100339.564993414,0.0,-19.10735999999981
4620,100358.67235341399,100359.56515341399,0.0,0.8928000000001047
4680,100358.67235341399,100350.36787341398,0.0,-8.304479999999748
4740,100358.67235341399,100365.48067341399,0.0,6.808320000000355
4800,100378.11486765399,100361.74099341399,0.0,3.0686400000001886
4860,100378.11486765399,100378.11486765399,0.0,0.0
4920,100377.55707875399,100378.11486765399,0.0,0.0
4980,100377.55707875399,100341.691328754,0.0,-35.865749999999785
5040,100377.55707875399,100316.40622875399,0.0,-61.150849999999934
5100,100377.55707875399,100343.79382875399,0.0,-33.763249999999786
5160,100377.55707875399,100340.714028754,0.0,-36.84305000000002
5220,100377.55707875399,100350.14337875399,0.0,-27.41369999999966
5280,100377.55707875399,100326.70122875398,0.0,-50.85584999999993
5340,100377.55707875399,100343.73872875399,0.0,-33.81834999999993
5400,100377.55707875399,100336.88022875399,0.0,-40.67684999999983
5460,100377.55707875399,100352.21397875399,0.0,-25.34309999999983
5520,100377.55707875399,100349.49667875399,0.0,-28.060399999999532
5580,100377.55707875399,100339.44237875399,0.0,-38.11469999999955
5640,100377.55707875399,100315.078028754,0.0,-62.47904999999991
5700,100377.55707875399,100291.853378754,0.0,-85.70369999999966
5760,100377.55707875399,100299.96757875399,0.0,-77.58949999999979
5820,100377.55707875399,100312.266478754,0.0,-65.29059999999983
5880,100377.55707875399,100295.62192875399,0.0,-81.93514999999995
5940,100377.55707875399,100315.072228754,0.0,-62.48485000000004
6000,100377.55707875399,100321.14917875399,0.0,-56.40789999999953
6060,100377.55707875399,100324.30582875399,0.0,-53.25125
6120,100377.55707875399,100338.771028754,0.0,-38.786049999999705
6180,100377.55707875399,100342.391678754,0.0,-35.165399999999536
6240,100377.55707875399,100333.14212875399,0.0,-44.414949999999656
6300,100377.55707875399,100367.537578754,0.0,-10.019499999999788
6360,100377.55707875399,100363.87777875399,0.0,-13.67930000000002
6420,100377.55707875399,100362.930928754,0.0,-14.626149999999852
6480,100377.55707875399,100349.79392875399,0.0,-27.76314999999964
6540,100377.55707875399,100353.727778754,0.0,-23.829300000000018
6600,100377.55707875399,100345.35112875399,0.0,-32.205949999999554
6660,100377.55707875399,100355.61132875399,0.0,-21.945749999999787
6720,100377.55707875399,100359.37262875399,0.0,-18.184449999999977
6780,100377.55707875399,100358.98402875398,0.0,-18.57305000000002
6840,100377.55707875399,100359.207328754,0.0,-18.349749999999894
6900,100377.55707875399,100360.50362875398,0.0,-17.053449999999557
6960,100377.55707875399,100360.83277875399,0.0,-16.72430000000002
7020,100377.55707875399,100353.900328754,0.0,-23.656749999999683
7080,100377.55707875399,100343.23557875399,0.0,-34.321499999999574
7140,100377.55707875399,100349.39517875398,0.0,-28.16189999999964
7200,100377.55707875399,100364.44182875399,0.0,-13.115249999999577
7260,100377.55707875399,100382.456628754,0.0,4.899550000000127
7320,100377.55707875399,100379.09842875399,0.0,1.5413500000001477
7380,100377.55707875399,100377.28737875399,0.0,-0.26969999999955685
7440,100377.55707875399,100370.028678754,0.0,-7.528399999999746
7500,100377.55707875399,100371.277128754,0.0,-6.279949999999662
7560,100377.55707875399,100369.85757875399,0.0,-7.699499999999788
7620,100377.55707875399,100374.061128754,0.0,-3.4959499999995565
7680,100377.55707875399,100377.68902875399,0.0,0.1319499999999789
7740,100377.55707875399,100348.355528754,0.0,-29.201549999999912
7800,100377.55707875399,100351.844228754,0.0,-25.712849999999722
7860,100377.55707875399,100349.537278754,0.0,-28.0197999999997
7920,100377.55707875399,100353.49142875399,0.0,-24.06564999999964
7980,100377.55707875399,100341.663778754,0.0,-35.8932999999996
8040,100377.55707875399,100333.84247875398,0.0,-43.71459999999993
8100,100377.55707875399,100359.767028754,0.0,-17.79004999999981
8160,100377.55707875399,100361.357678754,0.0,-16.199399999999642
8220,100377.55707875399,100359.36827875399,0.0,-18.18879999999981
8280,100377.55707875399,100364.850728754,0.0,-12.706349999999619
8340,100377.55707875399,100360.31077875399,0.0,-17.24629999999981
8400,100377.55707875399,100363.554428754,0.0,-14.002649999999957
8460,100377.55707875399,100367.90297875399,0.0,-9.654099999999724
8520,100377.55707875399,100380.007578754,0.0,2.450500000000211
8580,100397.106767554,100370.72612875399,0.0,-6.830949999999556
8640,100397.106767554,100397.106767554,0.0,0.0
8700,100397.106767554,100397.106767554,0.0,0.0
8760,100397.106767554,100397.106767554,0.0,0.0
8820,100397.106767554,100397.106767554,0.0,0.0
8880,100397.106767554,100397.106767554,0.0,0.0
8940,100397.106767554,100397.106767554,0.0,0.0
9000,100397.106767554,100397.106767554,0.0,0.0
9060,100397.106767554,100397.106767554,0.0,0.0
9120,100397.106767554,100397.106767554,0.0,0.0
9180,100397.106767554,100397.106767554,0.0,0.0
9240,100397.106767554,100397.106767554,0.0,0.0
9300,100396.55178875399,100397.106767554,0.0,0.0
9360,100396.55178875399,100394.694338754,0.0,-1.8574500000001897
9420,100396.55178875399,100413.70238875398,0.0,17.15059999999983
9480,100396.55178875399,100404.47023875399,0.0,7.9184500000000835
9540,100396.55178875399,100404.08018875399,0.0,7.528399999999746
9600,100396.55178875399,100410.54428875398,0.0,13.9925
9660,100396.55178875399,100405.769438754,0.0,9.217649999999956
9720,100396.55178875399,100401.16133875398,0.0,4.609550000000127
9780,100396.55178875399,100364.35453875399,0.0,-32.19724999999989
9840,100396.55178875399,100370.85778875399,0.0,-25.694000000000102
9900,100396.55178875399,100381.82413875399,0.0,-14.727649999999956
9960,100396.55178875399,100388.72903875398,0.0,-7.822750000000105
10020,100396.55178875399,100392.551238754,0.0,-4.000550000000021
10080,100396.55178875399,100404.570288754,0.0,8.018499999999895
10140,100396.55178875399,100412.205988754,0.0,15.654199999999872
10200,100396.55178875399,100408.18223875399,0.0,11.630449999999872
10260,100396.55178875399,100403.517588754,0.0,6.965800000000126
10320,100396.55178875399,100401.08013875398,0.0,4.528349999999937
10380,100416.00280795399,100404.63988875398,0.0,8.08809999999983
10440,100416.00280795399,100416.00280795399,0.0,0.0
10500,100416.00280795399,100416.00280795399,0.0,0.0
10560,100415.446323114,100416.00280795399,0.0,0.0
10620,100415.446323114,100418.697743114,0.0,3.2514200000000635
10680,100415.446323114,100371.033123114,0.0,-44.4132000000001
10740,100415.446323114,100376.50958311399,0.0,-38.936740000000334
10800,100415.446323114,100376.289123114,0.0,-39.1572000000001
10860,100415.446323114,100372.230323114,0.0,-43.215999999999994
10920,100415.446323114,100393.274763114,0.0,-22.171560000000085
10980,100415.446323114,100388.72102311399,0.0,-26.72529999999989
11040,100415.446323114,100375.858423114,0.0,-39.58790000000021
11100,100415.446323114,100382.93212311399,0.0,-32.5142000000001
11160,100415.446323114,100391.232223114,0.0,-24.214100000000318
11220,100415.446323114,100382.028383114,0.0,-33.417939999999916
11280,100415.446323114,100375.74892311399,0.0,-39.69740000000021
11340,100415.446323114,100363.427983114,0.0,-52.01834000000012
11400,100415.446323114,100373.099023114,0.0,-42.34729999999989
11460,100414.306842234,100352.344842234,0.0,-61.96199999999866
11520,100414.306842234,100360.404042234,0.0,-53.902799999998464
11580,100414.306842234,100321.248842234,0.0,-93.05799999999799
11640,100414.306842234,100305.746842234,0.0,-108.55999999999833
11700,100414.306842234,100336.704842234,0.0,-77.60199999999867
11760,100414.306842234,100348.36584223401,0.0,-65.94099999999766
11820,100414.306842234,100300.11184223401,0.0,-114.19499999999833
11880,100414.306842234,100318.774042234,0.0,-95.53279999999846
11940,100414.306842234,100319.353642234,0.0,-94.95319999999752
12000,100414.306842234,100165.33184223401,0.0,-248.97499999999835
12060,100414.306842234,100183.773242234,0.0,-230.53359999999827
12120,100414.306842234,100236.572042234,0.0,-177.7347999999988
12180,100414.306842234,100317.559642234,0.0,-96.7471999999982
12240,100414.306842234,100325.476242234,0.0,-88.8305999999986
12300,100414.306842234,100322.099842234,0.0,-92.20699999999867
12360,100414.306842234,100449.082842234,0.0,34.776000000001005
12420,100414.306842234,100421.694442234,0.0,7.387600000002276
12480,100414.306842234,100361.903642234,0.0,-52.403199999997526
12540,100414.306842234,100389.738242234,0.0,-24.56859999999826
12600,100414.306842234,100363.637842234,0.0,-50.668999999998995
12660,100414.306842234,100312.651442234,0.0,-101.65539999999906
12720,100414.306842234,100371.747642234,0.0,-42.559199999998526
12780,100414.306842234,100370.988642234,0.0,-43.318199999997525
12840,100473.08417943401,100446.962242234,0.0,32.65540000000241
12900,100473.08417943401,100473.08417943401,0.0,0.0
12960,100473.08417943401,100473.08417943401,0.0,0.0
13020,100492.016955914,100473.08417943401,0.0,0.0
13080,100492.016955914,100492.016955914,0.0,0.0
13140,100492.016955914,100492.016955914,0.0,0.0
13200,100492.016955914,100492.016955914,0.0,0.0
13260,100491.46055383401,100492.016955914,0.0,0.0
13320,100510.39264631401,100510.94894199401,0.0,0.0
13380,100510.39264631401,100510.00200631401,0.0,-0.39063999999995574
13440,100529.88114087401,100515.557606314,0.0,5.164959999999933
13500,100529.32498503402,100529.88114087401,0.0,0.0
13560,100529.32498503402,100524.89722503402,0.0,-4.427759999999601
13620,100529.32498503402,100506.13282503402,0.0,-23.192159999999713
13680,100529.32498503402,100513.67658503402,0.0,-15.648399999999556
13740,100529.32498503402,100515.15706503403,0.0,-14.167919999999867
13800,100529.32498503402,100520.59410503402,0.0,-8.7308799999998
13860,100529.32498503402,100503.25242503402,0.0,-26.07255999999982
13920,100529.32498503402,100501.41930503403,0.0,-27.90568000000002
13980,100529.32498503402,100511.60178503403,0.0,-17.72319999999978
14040,100529.32498503402,100515.54314503403,0.0,-13.781839999999734
14100,100529.32498503402,100523.38634503403,0.0,-5.938639999999956
14160,100548.81361943402,100546.62562503402,0.0,17.300639999999955
14220,100548.81361943402,100548.81361943402,0.0,0.0
14280,100548.81361943402,100548.81361943402,0.0,0.0
14340,100548.81361943402,100548.81361943402,0.0,0.0
14400,100548.25721963402,100548.81361943402,0.0,0.0
14460,100548.25721963402,100515.81968963402,0.0,-32.437529999999754
14520,100548.25721963402,100504.27124963402,0.0,-43.98597000000024
14580,100548.25721963402,100494.45017963402,0.0,-53.80704000000004
14640,100548.25721963402,100515.79367963402,0.0,-32.463540000000044
14700,100548.25721963402,100518.78023963401,0.0,-29.476979999999976
14760,100548.25721963402,100507.92641963402,0.0,-40.330799999999776
14820,100548.25721963402,100509.54821963402,0.0,-38.708999999999996
14880,100548.25721963402,100501.29080963403,0.0,-46.966410000000174
14940,100548.25721963402,100502.38169963402,0.0,-45.87552000000002
15000,100548.25721963402,100491.07346963402,0.0,-57.183749999999996
15060,100548.25721963402,100477.98125963402,0.0,-70.27595999999996
15120,100548.25721963402,100466.87345963402,0.0,-81.38375999999973
15180,100548.25721963402,100497.92021963402,0.0,-50.336999999999996
15240,100548.25721963402,100513.10546963401,0.0,-35.15175
15300,100548.25721963402,100532.24576963401,0.0,-16.011450000000224
15360,100548.25721963402,100532.36816963402,0.0,-15.889049999999777
15420,100548.25721963402,100517.81021963402,0.0,-30.447
15480,100548.25721963402,100519.33715963401,0.0,-28.920060000000067
15540,100548.25721963402,100525.92380963401,0.0,-22.33341000000018
15600,100548.25721963402,100521.56024963401,0.0,-26.696970000000245
15660,100548.25721963402,100517.86223963402,0.0,-30.394979999999975
15720,100548.25721963402,100538.21735963401,0.0,-10.039859999999845
15780,100548.25721963402,100537.77518963402,0.0,-10.482029999999755
15840,100567.75510817402,100527.08507963402,0.0,-21.172140000000155
15900,100567.75510817402,100567.75510817402,0.0,0.0
15960,100567.75510817402,100567.75510817402,0.0,0.0
16020,100567.75510817402,100567.75510817402,0.0,0.0
16080,100567.75510817402,100567.75510817402,0.0,0.0
16140,100567.75510817402,100567.75510817402,0.0,0.0
16200,100567.75510817402,100567.75510817402,0.0,0.0
16260,100567.75510817402,100567.75510817402,0.0,0.0
16320,100567.75510817402,100567.75510817402,0.0,0.0
16380,100567.75510817402,100567.75510817402,0.0,0.0
16440,100567.75510817402,100567.75510817402,0.0,0.0
16500,100567.75510817402,100567.75510817402,0.0,0.0
16560,100567.75510817402,100567.75510817402,0.0,0.0
16620,100567.75510817402,100567.75510817402,0.0,0.0
16680,100567.75510817402,100567.75510817402,0.0,0.0
16740,100567.75510817402,100567.75510817402,0.0,0.0
16800,100567.75510817402,100567.75510817402,0.0,0.0
16860,100567.75510817402,100567.75510817402,0.0,0.0
16920,100567.75510817402,100567.75510817402,0.0,0.0
16980,100567.75510817402,100567.75510817402,0.0,0.0
17040,100567.75510817402,100567.75510817402,0.0,0.0
17100,100567.75510817402,100567.75510817402,0.0,0.0
17160,100567.75510817402,100567.75510817402,0.0,0.0
17220,100567.75510817402,100567.75510817402,0.0,0.0
17280,100567.75510817402,100567.75510817402,0.0,0.0
17340,100567.75510817402,100567.75510817402,0.0,0.0
17400,100567.75510817402,100567.75510817402,0.0,0.0
17460,100567.75510817402,100567.75510817402,0.0,0.0
17520,100567.75510817402,100567.75510817402,0.0,0.0
17580,100567.75510817402,100567.75510817402,0.0,0.0
17640,100567.75510817402,100567.75510817402,0.0,0.0
17700,100567.75510817402,100567.75510817402,0.0,0.0
17760,100567.75510817402,100567.75510817402,0.0,0.0
17820,100567.75510817402,100567.75510817402,0.0,0.0
17880,100567.75510817402,100567.75510817402,0.0,0.0
17940,100567.75510817402,100567.75510817402,0.0,0.0
18000,100567.75510817402,100567.75510817402,0.0,0.0
18060,100567.75510817402,100567.75510817402,0.0,0.0
18120,100567.75510817402,100567.75510817402,0.0,0.0
18180,100567.75510817402,100567.75510817402,0.0,0.0
18240,100567.75510817402,100567.75510817402,0.0,0.0
18300,100567.75510817402,100567.75510817402,0.0,0.0
18360,100567.75510817402,100567.75510817402,0.0,0.0
18420,100567.75510817402,100567.75510817402,0.0,0.0
18480,100567.75510817402,100567.75510817402,0.0,0.0
18540,100567.75510817402,100567.75510817402,0.0,0.0
18600,100567.19795757403,100567.75510817402,0.0,0.0
18660,100586.72638905402,100572.38095757403,0.0,5.183
18720,100586.16967353402,100586.72638905402,0.0,0.0
18780,100586.16967353402,100584.62061353402,0.0,-1.5490599999995538
18840,100605.66934593402,100587.39607353402,0.0,1.2264000000002124
18900,100605.66934593402,100605.66934593402,0.0,0.0
18960,100605.11264501401,100605.66934593402,0.0,0.0
19020,100605.11264501401,100611.81988501402,0.0,6.70724000000034
19080,100624.61233201402,100608.09542501402,0.0,2.982780000000042
19140,100624.61233201402,100624.61233201402,0.0,0.0
19200,100624.61233201402,100624.61233201402,0.0,0.0
19260,100624.61233201402,100624.61233201402,0.0,0.0
19320,100624.05592017401,100624.61233201402,0.0,0.0
19380,100624.05592017401,100633.21158017401,0.0,9.155659999999871
19440,100624.05592017401,100635.07746017401,0.0,11.021539999999701
19500,100643.55589625401,100631.90050017402,0.0,7.844579999999936
19560,100643.55589625401,100643.55589625401,0.0,0.0
19620,100643.55589625401,100643.55589625401,0.0,0.0
19680,100643.55589625401,100643.55589625401,0.0,0.0
19740,100643.55589625401,100643.55589625401,0.0,0.0
19800,100643.55589625401,100643.55589625401,0.0,0.0
19860,100643.55589625401,100643.55589625401,0.0,0.0
19920,100643.55589625401,100643.55589625401,0.0,0.0
19980,100643.55589625401,100643.55589625401,0.0,0.0
20040,100643.55589625401,100643.55589625401,0.0,0.0
20100,100643.55589625401,100643.55589625401,0.0,0.0
20160,100643.55589625401,100643.55589625401,0.0,0.0
20220,100643.55589625401,100643.55589625401,0.0,0.0
20280,100643.55589625401,100643.55589625401,0.0,0.0
20340,100643.55589625401,100643.55589625401,0.0,0.0
20400,100642.99873375401,100643.55589625401,0.0,0.0
20460,100642.99873375401,100643.195933754,0.0,0.1972000000000844
20520,100642.99873375401,100631.32478375401,0.0,-11.673949999999767
20580,100642.99873375401,100637.669983754,0.0,-5.328749999999999
20640,100642.99873375401,100641.541483754,0.0,-1.4572499999998945
20700,100642.99873375401,100631.16238375401,0.0,-11.836350000000147
20760,100662.520054754,100636.01408375401,0.0,-6.984649999999746
20820,100662.520054754,100662.520054754,0.0,0.0
20880,100662.520054754,100662.520054754,0.0,0.0
20940,100662.520054754,100662.520054754,0.0,0.0
21000,100662.520054754,100662.520054754,0.0,0.0
21060,100662.520054754,100662.520054754,0.0,0.0
21120,100662.520054754,100662.520054754,0.0,0.0
21180,100662.520054754,100662.520054754,0.0,0.0
21240,100662.520054754,100662.520054754,0.0,0.0
21300,100662.520054754,100662.520054754,0.0,0.0
