,balance,equity,balance_btc,equity_btc
0,99999.34433796,100000.0,0.0,0.0
60,99999.34433796,99986.41352796,0.0,-12.930810000000049
120,99999.34433796,99996.40513796001,0.0,-2.939199999999757
180,99999.34433796,100008.09513796,0.0,8.750800000000243
240,99999.34433796,99961.82277796001,0.0,-37.52156000000005
300,99999.34433796,99957.74463796,0.0,-41.59969999999976
360,99999.34433796,99973.08525796,0.0,-26.25907999999966
420,99999.34433796,99947.77473796,0.0,-51.56959999999988
480,99999.34433796,99982.95996796,0.0,-16.38436999999949
540,99999.34433796,99981.09457796,0.0,-18.249759999999807
600,100033.08379552001,99997.57413796001,0.0,-1.770199999999757
660,100065.46827520002,100033.08379552001,0.0,0.0
720,100064.13217840002,100042.91931520002,0.0,-22.548960000000196
780,100064.13217840002,99814.06177840002,0.0,-250.07039999999876
840,100198.01135438801,100019.74417840001,0.0,-44.38799999999913
900,100198.01135438801,100198.01135438801,0.0,0.0
960,100197.35430406801,100198.01135438801,0.0,0.0
1020,100197.35430406801,100195.51734406801,0.0,-1.8369600000000499
1080,100197.35430406801,100192.02746406801,0.0,-5.326839999999574
1140,100197.35430406801,100143.552704068,0.0,-53.80159999999987
1200,100197.35430406801,100191.24314406801,0.0,-6.111159999999799
1260,100197.35430406801,100184.480104068,0.0,-12.874199999999748
1320,100197.35430406801,100200.44686406801,0.0,3.0925599999999247
1380,100197.35430406801,100170.195504068,0.0,-27.158799999999623
1440,100197.35430406801,100137.936904068,0.0,-59.41740000000012
1500,100197.35430406801,100145.85750406802,0.0,-51.496799999999624
1560,100197.35430406801,100154.827304068,0.0,-42.526999999999994
1620,100197.35430406801,100118.643664068,0.0,-78.71063999999981
1680,100197.35430406801,100121.17378406801,0.0,-76.18051999999997
1740,100197.35430406801,100101.50042406801,0.0,-95.85388000000015
1800,100197.35430406801,100123.25326406801,0.0,-74.10103999999994
1860,100197.35430406801,100175.26778406801,0.0,-22.08651999999997
1920,100231.159159988,100202.574504068,0.0,5.220200000000375
1980,100231.159159988,100231.159159988,0.0,0.0
2040,100231.159159988,100231.159159988,0.0,0.0
2100,100231.159159988,100231.159159988,0.0,0.0
2160,100230.502417868,100231.159159988,0.0,0.0
2220,100264.290785348,100240.399537868,0.0,9.897119999999543
2280,100263.633350708,100264.290785348,0.0,0.0
2340,100263.633350708,100263.654230708,0.0,0.020879999999822756
2400,100263.633350708,100264.792190708,0.0,1.1588399999999746
2460,100263.633350708,100261.044230708,0.0,-2.589120000000177
2520,100263.633350708,100277.24015070799,0.0,13.606800000000126
2580,100297.455818708,100297.455818708,0.0,0.0
2640,100297.455818708,100297.455818708,0.0,0.0
2700,100297.455818708,100297.455818708,0.0,0.0
2760,100297.455818708,100297.455818708,0.0,0.0
2820,100297.455818708,100297.455818708,0.0,0.0
2880,100297.455818708,100297.455818708,0.0,0.0
2940,100296.799373668,100297.455818708,0.0,0.0
3000,100296.799373668,100305.125863668,0.0,8.326489999999547
3060,100330.580339768,100313.876203668,0.0,17.07682999999985
3120,100330.580339768,100330.580339768,0.0,0.0
3180,100329.920100248,100330.580339768,0.0,0.0
3240,100329.920100248,100320.325740248,0.0,-9.594360000000531
3300,100363.878935528,100328.930040248,0.0,-0.9900600000004051
3360,100363.878935528,100363.878935528,0.0,0.0
3420,100363.878935528,100363.878935528,0.0,0.0
3480,100363.878935528,100363.878935528,0.0,0.0
3540,100363.878935528,100363.878935528,0.0,0.0
3600,100363.878935528,100363.878935528,0.0,0.0
3660,100363.878935528,100363.878935528,0.0,0.0
3720,100363.878935528,100363.878935528,0.0,0.0
3780,100363.878935528,100363.878935528,0.0,0.0
3840,100363.878935528,100363.878935528,0.0,0.0
3900,100363.878935528,100363.878935528,0.0,0.0
3960,100363.878935528,100363.878935528,0.0,0.0
4020,100363.878935528,100363.878935528,0.0,0.0
4080,100363.878935528,100363.878935528,0.0,0.0
4140,100363.878935528,100363.878935528,0.0,0.0
4200,100363.878935528,100363.878935528,0.0,0.0
4260,100363.878935528,100363.878935528,0.0,0.0
4320,100363.878935528,100363.878935528,0.0,0.0
4380,100363.878935528,100363.878935528,0.0,0.0
4440,100363.220038328,100363.878935528,0.0,0.0
4500,100363.220038328,100366.219378328,0.0,2.9993400000001493
4560,100363.220038328,100341.863848328,0.0,-21.356189999999902
4620,100363.220038328,100365.614038328,0.0,2.394
4680,100363.220038328,100354.692268328,0.0,-8.527769999999826
4740,100363.220038328,100372.638718328,0.0,9.418680000000299
4800,100363.220038328,100368.197848328,0.0,4.9778100000001
4860,100363.220038328,100383.651118328,0.0,20.431079999999927
4920,100363.220038328,100378.380898328,0.0,15.160859999999976
4980,100363.220038328,100315.468288328,0.0,-47.75175
5040,100363.220038328,100285.649308328,0.0,-77.57073000000018
5100,100363.220038328,100317.947788328,0.0,-45.27225000000001
5160,100363.220038328,100314.315748328,0.0,-48.90429000000028
5220,100363.220038328,100325.435878328,0.0,-37.78415999999985
5280,100363.220038328,100297.790308328,0.0,-65.42973000000018
5340,100363.220038328,100317.882808328,0.0,-45.337230000000176
5400,100363.220038328,100309.794508328,0.0,-53.42553000000005
5460,100363.220038328,100327.877758328,0.0,-35.34228000000005
5520,100363.220038328,100324.673218328,0.0,-38.546819999999705
5580,100363.220038328,100312.816078328,0.0,-50.40395999999973
5640,100363.220038328,100284.082948328,0.0,-79.13709000000016
5700,100363.220038328,100256.693878328,0.0,-106.52615999999986
5760,100363.220038328,100266.263038328,0.0,-96.95700000000001
5820,100363.220038328,100280.767258328,0.0,-82.45278000000006
5880,100363.220038328,100261.138168328,0.0,-102.08187000000021
5940,100363.220038328,100284.076108328,0.0,-79.14393000000031
6000,100363.220038328,100291.242718328,0.0,-71.97731999999971
6060,100363.220038328,100294.965388328,0.0,-68.25465000000025
6120,100363.220038328,100312.024348328,0.0,-51.19568999999991
6180,100363.220038328,100316.294218328,0.0,-46.9258199999997
6240,100363.220038328,100305.386128328,0.0,-57.833909999999854
6300,100363.220038328,100345.949038328,0.0,-17.271
6360,100363.220038328,100341.632998328,0.0,-21.587040000000275
6420,100363.220038328,100340.516368328,0.0,-22.703670000000077
6480,100363.220038328,100325.023768328,0.0,-38.19626999999983
6540,100363.220038328,100329.662998328,0.0,-33.55704000000028
6600,100363.220038328,100319.784328328,0.0,-43.43570999999973
6660,100363.220038328,100331.884288328,0.0,-31.33575
6720,100363.220038328,100336.320028328,0.0,-26.900010000000226
6780,100363.220038328,100335.861748328,0.0,-27.358290000000277
6840,100363.220038328,100336.125088328,0.0,-27.094950000000125
6900,100363.220038328,100337.653828328,0.0,-25.566209999999728
6960,100363.220038328,100338.041998328,0.0,-25.178040000000276
7020,100363.220038328,100329.866488328,0.0,-33.35354999999988
7080,100363.220038328,100317.28943832799,0.0,-45.93059999999976
7140,100363.220038328,100324.553518328,0.0,-38.66651999999983
7200,100363.220038328,100342.298188328,0.0,-20.921849999999754
7260,100363.220038328,100363.543228328,0.0,0.3231899999999005
7320,100363.220038328,100359.582868328,0.0,-3.637170000000075
7380,100363.220038328,100357.447078328,0.0,-5.772959999999727
7440,100363.220038328,100348.886818328,0.0,-14.333219999999951
7500,100363.220038328,100350.359128328,0.0,-12.860909999999851
7560,100363.220038328,100348.685038328,0.0,-14.535000000000002
7620,100363.220038328,100353.642328328,0.0,-9.577709999999726
7680,100363.220038328,100357.920748328,0.0,-5.2992900000002745
7740,100363.220038328,100323.327448328,0.0,-39.892590000000155
7800,100363.220038328,100327.441708328,0.0,-35.778329999999926
7860,100363.220038328,100324.721098328,0.0,-38.498939999999905
7920,100363.220038328,100329.384268328,0.0,-33.835769999999826
7980,100363.220038328,100315.435798328,0.0,-47.78423999999978
8040,100363.220038328,100306.212058328,0.0,-57.00798000000018
8100,100363.220038328,100336.785148328,0.0,-26.434890000000028
8160,100363.220038328,100338.661018328,0.0,-24.559019999999826
8220,100363.220038328,100336.314898328,0.0,-26.905140000000028
8280,100363.220038328,100342.780408328,0.0,-20.439629999999802
8340,100363.220038328,100337.426398328,0.0,-25.79364000000003
8400,100363.220038328,100341.251668328,0.0,-21.9683700000002
8460,100363.220038328,100346.379958328,0.0,-16.840079999999926
8520,100363.220038328,100360.655038328,0.0,-2.5650000000000004
8580,100363.220038328,100349.709328328,0.0,-13.510709999999728
8640,100363.220038328,100386.248608328,0.0,23.028569999999704
8700,100363.220038328,100375.419178328,0.0,12.199140000000027
8760,100363.220038328,100370.773108328,0.0,7.553069999999702
8820,100363.220038328,100353.549988328,0.0,-9.670049999999875
