,balance,equity,balance_btc,equity_btc
0,99999.4385677,100000.0,0.0,0.0
60,99999.4385677,99988.3803777,0.0,-11.058190000000248
120,99999.4385677,99996.9360677,0.0,-2.5025
180,99999.4385677,100006.9460677,0.0,7.507499999999999
240,99999.4385677,99967.3236277,0.0,-32.114940000000246
300,99999.4385677,99963.83156769999,0.0,-35.607
360,99999.4385677,99976.9675477,0.0,-22.471019999999914
420,99999.4385677,99955.29446769999,0.0,-44.1441000000001
480,99999.4385677,99985.4231377,0.0,-14.01542999999977
540,99999.4385677,99983.8258277,0.0,-15.61274000000004
600,100028.32924379999,99997.9370677,0.0,-1.5014999999999998
660,100056.08737788,100028.32924379999,0.0,0.0
720,100054.94429132,100036.77409788,0.0,-19.313279999999853
780,100054.94429132,99840.80589132001,0.0,-214.1383999999972
840,100169.516286568,100016.88249132001,0.0,-38.06179999999753
900,100169.516286568,100169.516286568,0.0,0.0
960,100168.95474656801,100169.516286568,0.0,0.0
1020,100168.95474656801,100167.42888656801,0.0,-1.5258600000001497
1080,100168.95474656801,100164.44625656802,0.0,-4.508489999999743
1140,100168.95474656801,100123.01724656801,0.0,-45.9375
1200,100168.95474656801,100163.77593656801,0.0,-5.1788099999999355
1260,100168.95474656801,100157.99589656801,0.0,-10.958849999999892
1320,100168.95474656801,100171.64190656801,0.0,2.6871599999998286
1380,100168.95474656801,100145.78754656801,0.0,-23.167199999999784
1440,100168.95474656801,100118.21769656801,0.0,-50.73705000000021
1500,100168.95474656801,100124.98704656801,0.0,-43.96769999999978
1560,100168.95474656801,100132.65309656801,0.0,-36.3016500000001
1620,100168.95474656801,100101.72870656801,0.0,-67.22603999999995
1680,100168.95474656801,100103.891076568,0.0,-65.06367000000009
1740,100168.95474656801,100087.07721656801,0.0,-81.87753000000023
1800,100168.95474656801,100105.66830656801,0.0,-63.28644000000006
1860,100168.95474656801,100150.12257656801,0.0,-18.832170000000083
1920,100197.84611480801,100173.46029656801,0.0,4.5055500000002136
1980,100197.84611480801,100197.84611480801,0.0,0.0
2040,100197.84611480801,100197.84611480801,0.0,0.0
2100,100197.84611480801,100197.84611480801,0.0,0.0
2160,100197.283732188,100197.84611480801,0.0,0.0
2220,100226.232346188,100205.75885218801,0.0,8.47511999999961
2280,100225.669373528,100226.232346188,0.0,0.0
2340,100225.669373528,100225.702153528,0.0,0.032779999999631396
2400,100225.669373528,100226.676613528,0.0,1.0072399999997614
2460,100225.669373528,100223.46715352799,0.0,-2.2022200000003687
2520,100225.669373528,100237.336073528,0.0,11.66669999999989
2580,100254.647191528,100254.647191528,0.0,0.0
2640,100254.647191528,100254.647191528,0.0,0.0
2700,100254.647191528,100254.647191528,0.0,0.0
2760,100254.647191528,100254.647191528,0.0,0.0
2820,100254.647191528,100254.647191528,0.0,0.0
2880,100254.647191528,100254.647191528,0.0,0.0
2940,100254.085611448,100254.647191528,0.0,0.0
3000,100254.085611448,100261.223651448,0.0,7.138039999999935
3060,100282.984938008,100268.709491448,0.0,14.623880000000193
3120,100282.984938008,100282.984938008,0.0,0.0
3180,100282.423357928,100282.984938008,0.0,0.0
3240,100282.423357928,100274.277437928,0.0,-8.145920000000128
3300,100311.322684488,100281.596037928,0.0,-0.8273200000000215
3360,100311.322684488,100311.322684488,0.0,0.0
3420,100311.322684488,100311.322684488,0.0,0.0
3480,100311.322684488,100311.322684488,0.0,0.0
3540,100311.322684488,100311.322684488,0.0,0.0
3600,100311.322684488,100311.322684488,0.0,0.0
3660,100311.322684488,100311.322684488,0.0,0.0
3720,100311.322684488,100311.322684488,0.0,0.0
3780,100311.322684488,100311.322684488,0.0,0.0
3840,100311.322684488,100311.322684488,0.0,0.0
3900,100311.322684488,100311.322684488,0.0,0.0
3960,100311.322684488,100311.322684488,0.0,0.0
4020,100311.322684488,100311.322684488,0.0,0.0
4080,100311.322684488,100311.322684488,0.0,0.0
4140,100311.322684488,100311.322684488,0.0,0.0
4200,100311.322684488,100311.322684488,0.0,0.0
4260,100311.322684488,100311.322684488,0.0,0.0
4320,100311.322684488,100311.322684488,0.0,0.0
4380,100311.322684488,100311.322684488,0.0,0.0
4440,100310.760120208,100311.322684488,0.0,0.0
4500,100310.760120208,100313.335560208,0.0,2.5754399999999147
4560,100310.760120208,100292.540780208,0.0,-18.219340000000127
4620,100310.760120208,100312.818720208,0.0,2.0585999999997875
4680,100310.760120208,100303.493700208,0.0,-7.266420000000063
4740,100310.760120208,100318.816400208,0.0,8.056280000000042
4800,100310.760120208,100315.024780208,0.0,4.264659999999872
4860,100310.760120208,100328.218800208,0.0,17.458679999999724
4920,100310.760120208,100323.719080208,0.0,12.958959999999765
4980,100310.760120208,100270.004220208,0.0,-40.75590000000021
5040,100310.760120208,100244.544740208,0.0,-66.21538000000035
5100,100310.760120208,100272.12122020799,0.0,-38.63890000000021
5160,100310.760120208,100269.020180208,0.0,-41.739940000000445
5220,100310.760120208,100278.514560208,0.0,-32.24556000000008
5280,100310.760120208,100254.910740208,0.0,-55.84938000000036
5340,100310.760120208,100272.065740208,0.0,-38.69438000000036
5400,100310.760120208,100265.159940208,0.0,-45.60018000000025
5460,100310.760120208,100280.599440208,0.0,-30.16068000000025
5520,100310.760120208,100277.86340020799,0.0,-32.89671999999995
5580,100310.760120208,100267.739760208,0.0,-43.020359999999975
5640,100310.760120208,100243.207380208,0.0,-67.55274000000034
5700,100310.760120208,100219.82256020799,0.0,-90.93756000000008
5760,100310.760120208,100227.992720208,0.0,-82.76740000000021
5820,100310.760120208,100240.376440208,0.0,-70.38368000000025
5880,100310.760120208,100223.617100208,0.0,-87.14302000000038
5940,100310.760120208,100243.201540208,0.0,-67.55858000000046
6000,100310.760120208,100249.320400208,0.0,-61.43971999999995
6060,100310.760120208,100252.498820208,0.0,-58.26130000000042
6120,100310.760120208,100267.063780208,0.0,-43.69634000000013
6180,100310.760120208,100270.709400208,0.0,-40.050719999999956
6240,100310.760120208,100261.39606020799,0.0,-49.36406000000008
6300,100310.760120208,100296.02872020799,0.0,-14.731400000000212
6360,100310.760120208,100292.343680208,0.0,-18.416440000000446
6420,100310.760120208,100291.39030020799,0.0,-19.369820000000274
6480,100310.760120208,100278.16270020799,0.0,-32.597420000000064
6540,100310.760120208,100282.123680208,0.0,-28.636440000000444
6600,100310.760120208,100273.68926020799,0.0,-37.070859999999975
6660,100310.760120208,100284.020220208,0.0,-26.739900000000212
6720,100310.760120208,100287.807460208,0.0,-22.952660000000403
6780,100310.760120208,100287.41618020799,0.0,-23.343940000000444
6840,100310.760120208,100287.641020208,0.0,-23.119100000000316
6900,100310.760120208,100288.946260208,0.0,-21.813859999999977
6960,100310.760120208,100289.27768020799,0.0,-21.482440000000445
7020,100310.760120208,100282.297420208,0.0,-28.462700000000105
7080,100310.760120208,100271.559120208,0.0,-39.201
7140,100310.760120208,100277.761200208,0.0,-32.99892000000006
7200,100310.760120208,100292.911620208,0.0,-17.848499999999998
7260,100310.760120208,100311.050660208,0.0,0.29053999999970254
7320,100310.760120208,100307.669300208,0.0,-3.090820000000276
7380,100310.760120208,100305.845760208,0.0,-4.914359999999978
7440,100310.760120208,100298.537000208,0.0,-12.223120000000169
7500,100310.760120208,100299.79406020799,0.0,-10.966060000000084
7560,100310.760120208,100298.364720208,0.0,-12.395400000000212
7620,100310.760120208,100302.597260208,0.0,-8.162859999999979
7680,100310.760120208,100306.250180208,0.0,-4.509940000000446
7740,100310.760120208,100276.714380208,0.0,-34.045740000000336
7800,100310.760120208,100280.227140208,0.0,-30.532980000000148
7860,100310.760120208,100277.904280208,0.0,-32.85584000000013
7920,100310.760120208,100281.885700208,0.0,-28.87442000000006
7980,100310.760120208,100269.976480208,0.0,-40.78364000000002
8040,100310.760120208,100262.101240208,0.0,-48.65888000000036
8100,100310.760120208,100288.204580208,0.0,-22.55554000000023
8160,100310.760120208,100289.806200208,0.0,-20.953920000000064
8220,100310.760120208,100287.803080208,0.0,-22.957040000000234
8280,100310.760120208,100293.323340208,0.0,-17.43678000000004
8340,100310.760120208,100288.752080208,0.0,-22.008040000000232
8400,100310.760120208,100292.01810020799,0.0,-18.74202000000038
8460,100310.760120208,100296.396640208,0.0,-14.363480000000148
8520,100310.760120208,100308.58472020799,0.0,-2.1754000000002125
8580,100310.760120208,100299.23926020799,0.0,-11.520859999999978
8640,100310.760120208,100330.436540208,0.0,19.67641999999953
8700,100310.760120208,100321.190360208,0.0,10.430239999999808
8760,100310.760120208,100317.223540208,0.0,6.463419999999532
8820,100310.760120208,100302.518420208,0.0,-8.241700000000106
8880,100310.760120208,100313.512220208,0.0,2.7520999999997873
8940,100310.760120208,100315.008720208,0.0,4.248599999999787
9000,100310.760120208,100310.492940208,0.0,-0.26718000000025494
9060,100310.760120208,100320.848720208,0.0,10.088599999999786
9120,100310.760120208,100328.205660208,0.0,17.445539999999703
9180,100310.760120208,100308.910300208,0.0,-1.849820000000276
9240,100310.760120208,100303.023580208,0.0,-7.736540000000233
9300,100310.760120208,100302.28482020799,0.0,-8.475300000000425
9360,100310.760120208,100290.099660208,0.0,-20.660460000000295
9420,100310.760120208,100309.238800208,0.0,-1.521320000000276
9480,100310.760120208,100299.942980208,0.0,-10.81714000000002
9540,100310.760120208,100299.550240208,0.0,-11.20988000000036
9600,100310.760120208,100306.058920208,0.0,-4.701200000000106
9660,100310.760120208,100301.251140208,0.0,-9.508980000000149
9720,100310.760120208,100296.611260208,0.0,-14.148859999999978
9780,100310.760120208,100259.550620208,0.0,-51.2095
9840,100310.760120208,100266.098720208,0.0,-44.66140000000021
9900,100310.760120208,100277.140700208,0.0,-33.61942000000006
9960,100310.760120208,100284.093220208,0.0,-26.66690000000021
10020,100310.760120208,100287.941780208,0.0,-22.818340000000127
10080,100310.760120208,100300.04372020799,0.0,-10.716400000000212
10140,100310.760120208,100307.73208020799,0.0,-3.0280400000002334
10200,100310.760120208,100303.68058020799,0.0,-7.079540000000233
10260,100310.760120208,100298.983760208,0.0,-11.776359999999977
10320,100310.760120208,100296.529500208,0.0,-14.230620000000169
10380,100310.760120208,100300.113800208,0.0,-10.646320000000275
10440,100310.760120208,100314.572180208,0.0,3.8120599999995535
10500,100310.760120208,100300.151760208,0.0,-10.608359999999978
10560,100310.760120208,100297.779260208,0.0,-12.980859999999979
10620,100310.760120208,100283.61434020799,0.0,-27.14578000000004
10680,100310.760120208,100235.949720208,0.0,-74.81040000000021
10740,100310.760120208,100241.426180208,0.0,-69.33394000000044
10800,100310.760120208,100241.205720208,0.0,-69.55440000000021
10860,100310.760120208,100237.14692020799,0.0,-73.6132000000001
10920,100310.760120208,100258.191360208,0.0,-52.56876000000019
10980,100310.760120208,100253.637620208,0.0,-57.122499999999995
11040,100310.760120208,100240.77502020799,0.0,-69.98510000000032
11100,100310.760120208,100247.848720208,0.0,-62.91140000000021
11160,100310.760120208,100256.14882020799,0.0,-54.61130000000042
11220,100310.760120208,100246.94498020799,0.0,-63.815140000000014
11280,100310.760120208,100240.665520208,0.0,-70.09460000000031
11340,100310.760120208,100228.344580208,0.0,-82.41554000000023
11400,100309.615541968,100238.015620208,0.0,-72.7445
11460,100309.615541968,100155.170121968,0.0,-154.44541999999944
11520,100309.615541968,100163.194281968,0.0,-146.42125999999925
11580,100309.615541968,100124.209321968,0.0,-185.4062199999988
11640,100309.615541968,100108.774721968,0.0,-200.84081999999913
11700,100309.615541968,100139.598121968,0.0,-170.01741999999945
11760,100309.615541968,100151.208421968,0.0,-158.40711999999846
11820,100309.615541968,100103.164221968,0.0,-206.45131999999913
11880,100309.615541968,100121.745281968,0.0,-187.87025999999926
11940,100309.615541968,100122.322361968,0.0,-187.29317999999833
12000,100306.139913168,99968.970221968,0.0,-340.6453199999991
12060,100306.139913168,100180.296813168,0.0,-125.8430999999974
12120,100554.192084728,100345.350453168,0.0,39.21054000000091
12180,100554.192084728,100554.192084728,0.0,0.0
12240,100554.192084728,100554.192084728,0.0,0.0
12300,100554.192084728,100554.192084728,0.0,0.0
12360,100554.192084728,100554.192084728,0.0,0.0
12420,100554.192084728,100554.192084728,0.0,0.0
12480,100554.192084728,100554.192084728,0.0,0.0
12540,100554.192084728,100554.192084728,0.0,0.0
12600,100553.628083128,100554.192084728,0.0,0.0
12660,100553.628083128,100556.700183128,0.0,3.072099999999955
12720,100553.628083128,100576.613033128,0.0,22.984950000000136
12780,100582.647663628,100576.357283128,0.0,22.729200000000475
12840,100582.647663628,100582.647663628,0.0,0.0
12900,100582.647663628,100582.647663628,0.0,0.0
12960,100582.647663628,100582.647663628,0.0,0.0
13020,100582.084424028,100582.647663628,0.0,0.0
13080,100611.067873908,100603.752224028,0.0,21.667800000000113
13140,100611.067873908,100611.067873908,0.0,0.0
13200,100611.067873908,100611.067873908,0.0,0.0
13260,100610.50421234801,100611.067873908,0.0,0.0
13320,100610.50421234801,100627.19627234801,0.0,16.69205999999991
13380,100610.50421234801,100609.877432348,0.0,-0.6267799999999552
13440,100610.50421234801,100615.506132348,0.0,5.001919999999933
13500,100610.50421234801,100628.56533234801,0.0,18.06111999999982
13560,100610.50421234801,100605.07879234801,0.0,-5.425419999999932
13620,100610.50421234801,100586.06749234801,0.0,-24.436720000000044
13680,100610.50421234801,100593.71051234801,0.0,-16.793699999999887
13740,100610.50421234801,100595.21047234802,0.0,-15.293740000000202
13800,100610.50421234801,100600.71905234801,0.0,-9.785160000000134
13860,100610.50421234801,100583.149192348,0.0,-27.355020000000156
13920,100610.50421234801,100581.29195234801,0.0,-29.21226000000036
13980,100610.50421234801,100591.60841234801,0.0,-18.89580000000011
14040,100610.50421234801,100595.60163234801,0.0,-14.902580000000068
14100,100610.50421234801,100603.54803234802,0.0,-6.956180000000291
14160,100610.50421234801,100627.093092348,0.0,16.58887999999962
14220,100610.50421234801,100623.35089234801,0.0,12.846679999999731
14280,100610.50421234801,100618.32433234801,0.0,7.820119999999821
14340,100610.50421234801,100615.10111234801,0.0,4.596899999999776
14400,100610.50421234801,100607.83077234801,0.0,-2.6734400000000895
14460,100610.50421234801,100559.72887234802,0.0,-50.775339999999865
14520,100610.50421234801,100548.104952348,0.0,-62.39926000000036
14580,100610.50421234801,100538.21969234801,0.0,-72.28452000000016
14640,100610.50421234801,100559.70269234802,0.0,-50.80152000000015
14700,100610.50421234801,100562.708772348,0.0,-47.79544000000009
14760,100610.50421234801,100551.78401234801,0.0,-58.720199999999885
14820,100610.50421234801,100553.41641234802,0.0,-57.08780000000011
14880,100610.50421234801,100545.10503234802,0.0,-65.39918000000029
14940,100610.50421234801,100546.203052348,0.0,-64.30116000000014
15000,100610.50421234801,100534.820912348,0.0,-75.68330000000012
15060,100610.50421234801,100521.643132348,0.0,-88.86108000000007
15120,100610.50421234801,100510.46273234801,0.0,-100.04147999999984
15180,100610.50421234801,100541.712412348,0.0,-68.79180000000011
15240,100610.50421234801,100556.99691234801,0.0,-53.507300000000114
15300,100610.50421234801,100576.26231234802,0.0,-34.241900000000335
15360,100610.50421234801,100576.385512348,0.0,-34.11869999999989
15420,100610.50421234801,100561.732412348,0.0,-48.77180000000011
15480,100610.50421234801,100563.269332348,0.0,-47.23488000000018
15540,100610.50421234801,100569.89903234801,0.0,-40.60518000000029
15600,100610.50421234801,100565.506952348,0.0,-44.99726000000036
15660,100610.50421234801,100561.78477234801,0.0,-48.71944000000009
15720,100610.50421234801,100582.27293234802,0.0,-28.231279999999956
15780,100610.50421234801,100581.827872348,0.0,-28.676339999999865
15840,100610.50421234801,100571.06789234802,0.0,-39.436320000000265
15900,100610.50421234801,100617.49273234801,0.0,6.988520000000157
15960,100610.50421234801,100607.72297234801,0.0,-2.7812400000002016
16020,100610.50421234801,100605.684012348,0.0,-4.820199999999888
16080,100610.50421234801,100607.764552348,0.0,-2.7396600000001343
16140,100610.50421234801,100623.329332348,0.0,12.82511999999982
16200,100610.50421234801,100612.50929234801,0.0,2.005080000000067
16260,100610.50421234801,100610.702872348,0.0,0.19866000000013445
16320,100610.50421234801,100623.23693234801,0.0,12.732720000000045
16380,100610.50421234801,100620.94695234801,0.0,10.442739999999642
16440,100610.50421234801,100629.95595234801,0.0,19.451739999999642
16500,100639.51803410801,100621.17487234801,0.0,10.670660000000135
16560,100639.51803410801,100639.51803410801,0.0,0.0
16620,100639.51803410801,100639.51803410801,0.0,0.0
16680,100639.51803410801,100639.51803410801,0.0,0.0
16740,100639.51803410801,100639.51803410801,0.0,0.0
16800,100639.51803410801,100639.51803410801,0.0,0.0
16860,100639.51803410801,100639.51803410801,0.0,0.0
16920,100639.51803410801,100639.51803410801,0.0,0.0
16980,100639.51803410801,100639.51803410801,0.0,0.0
17040,100639.51803410801,100639.51803410801,0.0,0.0
17100,100639.51803410801,100639.51803410801,0.0,0.0
17160,100639.51803410801,100639.51803410801,0.0,0.0
17220,100639.51803410801,100639.51803410801,0.0,0.0
17280,100639.51803410801,100639.51803410801,0.0,0.0
17340,100639.51803410801,100639.51803410801,0.0,0.0
17400,100639.51803410801,100639.51803410801,0.0,0.0
17460,100639.51803410801,100639.51803410801,0.0,0.0
17520,100639.51803410801,100639.51803410801,0.0,0.0
17580,100639.51803410801,100639.51803410801,0.0,0.0
17640,100639.51803410801,100639.51803410801,0.0,0.0
17700,100639.51803410801,100639.51803410801,0.0,0.0
17760,100639.51803410801,100639.51803410801,0.0,0.0
17820,100639.51803410801,100639.51803410801,0.0,0.0
17880,100639.51803410801,100639.51803410801,0.0,0.0
17940,100639.51803410801,100639.51803410801,0.0,0.0
18000,100639.51803410801,100639.51803410801,0.0,0.0
18060,100639.51803410801,100639.51803410801,0.0,0.0
18120,100639.51803410801,100639.51803410801,0.0,0.0
18180,100639.51803410801,100639.51803410801,0.0,0.0
18240,100639.51803410801,100639.51803410801,0.0,0.0
18300,100639.51803410801,100639.51803410801,0.0,0.0
18360,100639.51803410801,100639.51803410801,0.0,0.0
18420,100639.51803410801,100639.51803410801,0.0,0.0
