,balance,equity,balance_btc,equity_btc
0,100020.6898478588,100000.0,0.0,0.0
60,100042.20626842079,100015.88822285879,0.0,-4.801625000000137
120,100052.20028738999,100042.20626842079,0.0,0.0
180,100050.67106635921,100049.31818738999,0.0,-2.8821000000002157
240,100050.16132755482,100009.92085775481,0.0,-40.24046980000007
300,100060.66788385961,100006.75913205482,0.0,-43.40219549999959
360,100082.9502874764,99990.29633015962,0.0,-70.37155369999968
420,100116.41173087756,100073.7576046052,0.0,-20.30945229999999
480,100116.41173087756,100116.41173087756,0.0,0.0
540,100116.41173087756,100116.41173087756,0.0,0.0
600,100116.41173087756,100116.41173087756,0.0,0.0
660,100116.41173087756,100116.41173087756,0.0,0.0
720,100116.41173087756,100116.41173087756,0.0,0.0
780,100116.41173087756,100116.41173087756,0.0,0.0
840,100116.41173087756,100116.41173087756,0.0,0.0
900,100116.41173087756,100116.41173087756,0.0,0.0
960,100116.41173087756,100116.41173087756,0.0,0.0
1020,100116.41173087756,100116.41173087756,0.0,0.0
1080,100116.41173087756,100116.41173087756,0.0,0.0
1140,100116.41173087756,100116.41173087756,0.0,0.0
1200,100116.41173087756,100116.41173087756,0.0,0.0
1260,100116.41173087756,100116.41173087756,0.0,0.0
1320,100116.41173087756,100116.41173087756,0.0,0.0
1380,100116.41173087756,100116.41173087756,0.0,0.0
1440,100116.41173087756,100116.41173087756,0.0,0.0
1500,100116.41173087756,100116.41173087756,0.0,0.0
1560,100116.41173087756,100116.41173087756,0.0,0.0
1620,100116.41173087756,100116.41173087756,0.0,0.0
1680,100116.41173087756,100116.41173087756,0.0,0.0
1740,100116.41173087756,100116.41173087756,0.0,0.0
1800,100116.41173087756,100116.41173087756,0.0,0.0
1860,100116.41173087756,100116.41173087756,0.0,0.0
1920,100116.41173087756,100116.41173087756,0.0,0.0
1980,100116.41173087756,100116.41173087756,0.0,0.0
2040,100116.41173087756,100116.41173087756,0.0,0.0
2100,100116.41173087756,100116.41173087756,0.0,0.0
2160,100115.90165768316,100116.41173087756,0.0,0.0
2220,100127.03803473276,100115.00559768316,0.0,-0.8960599999999634
2280,100145.83254399998,100127.03803473276,0.0,0.0
2340,100145.83254399998,100068.77337699998,0.0,-77.05916700000003
2400,100145.83254399998,100045.08877179997,0.0,-100.74377220000058
2460,100145.83254399998,100080.23004239998,0.0,-65.6025016000002
2520,100145.83254399998,100020.68624319998,0.0,-125.1463008
2580,100145.83254399998,99993.24757199998,0.0,-152.5849720000007
2640,100145.83254399998,99951.82680139996,0.0,-194.00574260000107
2700,100145.83254399998,99822.964602,0.0,-322.86794200000054
2760,100145.83254399998,99851.48380539997,0.0,-294.3487386000008
2820,100145.83254399998,99851.73137719996,0.0,-294.10116680000056
2880,100145.83254399998,99859.16869679998,0.0,-286.66384720000053
2940,100145.83254399998,99954.23113679998,0.0,-191.60140720000012
3000,100145.83254399998,100019.77045759997,0.0,-126.06208640000052
3060,100145.83254399998,99990.99215059998,0.0,-154.84039340000015
3120,100145.83254399998,99983.56793739997,0.0,-162.2646066000005
3180,100156.97690263549,99986.68641299999,0.0,-159.1461310000002
3240,100156.97690263549,100036.39273663549,0.0,-120.58416600000034
3300,100156.97690263549,100048.55698663549,0.0,-108.41991600000019
3360,100156.97690263549,99990.8160246355,0.0,-166.16087800000008
3420,100168.3700111415,100039.27939063548,0.0,-117.69751200000059
3480,100168.3700111415,100074.5575941415,0.0,-93.81241700000064
3540,100166.32252331448,100046.44156114149,0.0,-121.92845000000024
3600,105361.06539794579,99717.59804871447,0.0,-448.7244746000007
3660,105461.50194538297,129265.33937831155,0.0,23892.65230259997
3720,105461.50194538297,126818.23886958291,0.0,21356.736924199948
3780,134080.68034879104,125471.5675247829,0.0,20010.065579399954
3840,134145.36675221092,133950.02987780282,0.0,-129.96735700000093
3900,134145.36675221092,133839.77709171092,0.0,-305.58966050000004
3960,134144.28506353011,133673.32390321093,0.0,-472.0428490000003
4020,134221.1288167937,133526.86029453014,0.0,-617.4247689999997
4080,134235.29428610692,133723.9005332937,0.0,-497.2282835000005
4140,134277.96963137735,133876.24678460692,0.0,-359.047501500001
4200,134277.96963137735,133976.62101737736,0.0,-301.34861400000057
4260,134277.96963137735,133814.82202687731,0.0,-463.1476045000002
4320,134277.96963137735,133771.79555037734,0.0,-506.17408100000114
4380,134277.96963137735,133806.49515587732,0.0,-471.4744755000005
4440,134277.96963137735,133588.65178537735,0.0,-689.3178460000001
4500,134306.97640523774,133896.19321487736,0.0,-381.77641650000095
4560,134306.97640523774,133959.28020723775,0.0,-347.6961980000003
4620,134306.97640523774,134012.64198373773,0.0,-294.33442150000053
4680,134306.97640523774,134040.7157297377,0.0,-266.26067550000124
4740,134321.14671559824,134104.61210773775,0.0,-202.3642975000006
4800,134449.5638011606,134140.82347259825,0.0,-180.32324300000047
