,balance,equity,balance_btc,equity_btc
0,100002.4981664724,100000.0,0.0,0.0
60,100005.0506318356,100001.9481664724,0.0,-0.5500000000000158
120,100006.23918144881,100005.0506318356,0.0,0.0
180,100006.06405625383,100005.90915144881,0.0,-0.3300300000000247
240,100006.00568460723,100001.37521960722,0.0,-4.630464999999972
300,100007.25279223322,100001.01317400722,0.0,-4.992510599999917
360,100009.88143865042,99999.17192003323,0.0,-8.080872199999929
420,100013.84790347685,100008.83441900702,0.0,-2.3483599999999627
480,100013.84790347685,100013.84790347685,0.0,0.0
540,100013.84790347685,100013.84790347685,0.0,0.0
600,100013.84790347685,100013.84790347685,0.0,0.0
660,100013.84790347685,100013.84790347685,0.0,0.0
720,100013.84790347685,100013.84790347685,0.0,0.0
780,100013.84790347685,100013.84790347685,0.0,0.0
840,100013.84790347685,100013.84790347685,0.0,0.0
900,100013.84790347685,100013.84790347685,0.0,0.0
960,100013.84790347685,100013.84790347685,0.0,0.0
1020,100013.84790347685,100013.84790347685,0.0,0.0
1080,100013.84790347685,100013.84790347685,0.0,0.0
1140,100013.84790347685,100013.84790347685,0.0,0.0
1200,100013.84790347685,100013.84790347685,0.0,0.0
1260,100013.84790347685,100013.84790347685,0.0,0.0
1320,100013.84790347685,100013.84790347685,0.0,0.0
1380,100013.84790347685,100013.84790347685,0.0,0.0
1440,100013.84790347685,100013.84790347685,0.0,0.0
1500,100013.84790347685,100013.84790347685,0.0,0.0
1560,100013.84790347685,100013.84790347685,0.0,0.0
1620,100013.84790347685,100013.84790347685,0.0,0.0
1680,100013.84790347685,100013.84790347685,0.0,0.0
1740,100013.84790347685,100013.84790347685,0.0,0.0
1800,100013.84790347685,100013.84790347685,0.0,0.0
1860,100013.84790347685,100013.84790347685,0.0,0.0
1920,100013.84790347685,100013.84790347685,0.0,0.0
1980,100013.84790347685,100013.84790347685,0.0,0.0
2040,100013.84790347685,100013.84790347685,0.0,0.0
2100,100013.84790347685,100013.84790347685,0.0,0.0
2160,100013.78952858885,100013.84790347685,0.0,0.0
2220,100015.08414704805,100013.60499258885,0.0,-0.18453599999997114
2280,100017.29363472664,100015.08414704805,0.0,0.0
2340,100017.29363472664,100008.21299052663,0.0,-9.08064419999992
2400,100017.29363472664,100005.50320892663,0.0,-11.790425799999982
2460,100017.29363472664,100009.52374472664,0.0,-7.769889999999939
2520,100017.29363472664,100002.71155312662,0.0,-14.582081599999919
2580,100017.29363472664,99999.57233252663,0.0,-17.7213022
2640,100017.29363472664,99994.83348572665,0.0,-22.460149000000037
2700,100017.29363472664,99980.09045252664,0.0,-37.20318219999998
2760,100017.29363472664,99983.35319072664,0.0,-33.94044400000001
2820,100017.29363472664,99983.38144012663,0.0,-33.91219459999998
2880,100017.29363472664,99984.23237792664,0.0,-33.061256799999974
2940,100017.29363472664,99995.10824692664,0.0,-22.18538779999993
3000,100017.29363472664,100002.60651632663,0.0,-14.687118399999976
3060,100017.29363472664,99999.31400232663,0.0,-17.979632399999936
3120,100017.29363472664,99998.46459372663,0.0,-18.829040999999975
3180,100018.58982862088,99998.82138052663,0.0,-18.472254199999938
3240,100018.58982862088,100004.59295662088,0.0,-13.996871999999964
3300,100018.58982862088,100005.98471262089,0.0,-12.60511599999995
3360,100018.58982862088,99999.37868462088,0.0,-19.211143999999937
3420,100019.89322078088,100004.92328862088,0.0,-13.666539999999996
3480,100019.89322078088,100009.03936278088,0.0,-10.85385800000003
3540,100019.66473250608,100005.82261678088,0.0,-14.070603999999985
3600,103382.58589851472,99967.94418350609,0.0,-51.720548999999934
3660,103392.91427356453,103370.3139040147,0.0,-12.27199449999998
3720,103392.91427356453,103366.36628986454,0.0,-26.54798370000001
3780,103403.31553786699,103352.55102146452,0.0,-40.36325210000004
3840,103409.67545868507,103389.24537024306,0.0,-14.0098132000001
3900,103409.67545868507,103379.99004498508,0.0,-29.685413700000005
3960,103409.55996171608,103364.22567468508,0.0,-45.44978400000004
