,balance,equity,balance_btc,equity_btc
0,99999.16131239201,100000.0,0.0,0.0
60,99999.16131239201,100033.21511239202,0.0,34.05379999999949
120,99999.16131239201,100010.967942392,0.0,11.806629999999497
180,99999.16131239201,100045.667002392,0.0,46.50568999999983
240,99999.16131239201,100046.709142392,0.0,47.54782999999958
300,99999.16131239201,100104.49577239201,0.0,105.33445999999957
360,99999.16131239201,100132.54973239201,0.0,133.38841999999934
420,99999.16131239201,100099.66061239202,0.0,100.49929999999986
480,99999.16131239201,100109.704272392,0.0,110.5429599999995
540,99999.16131239201,100137.83270239201,0.0,138.67138999999963
600,99999.16131239201,100148.258612392,0.0,149.0972999999995
660,99999.16131239201,100138.40118239202,0.0,139.23986999999943
720,99999.16131239201,100145.531272392,0.0,146.36995999999954
780,99999.16131239201,100113.91496239201,0.0,114.75364999999954
840,100016.983945372,100079.02758239201,0.0,79.86626999999952
900,100016.983945372,100099.63454537201,0.0,82.65060000000001
960,100032.105240022,100021.590895372,0.0,4.606949999999795
1020,100032.105240022,100043.310240022,0.0,11.205000000000094
1080,100032.105240022,100073.092440022,0.0,40.9871999999999
1140,100032.105240022,100063.84644002201,0.0,31.74120000000005
1200,100032.105240022,100052.85024002202,0.0,20.74499999999989
1260,100032.105240022,100067.57064002201,0.0,35.46540000000005
1320,100032.105240022,100110.221040022,0.0,78.1158000000001
1380,100032.105240022,100104.174840022,0.0,72.06960000000028
1440,100032.105240022,100076.861040022,0.0,44.7557999999998
1500,100032.105240022,100094.067240022,0.0,61.962000000000046
1560,100032.105240022,100074.042840022,0.0,41.93760000000014
1620,100032.105240022,100083.396240022,0.0,51.29099999999993
1680,100032.105240022,100092.488040022,0.0,60.38280000000017
1740,100032.105240022,100087.817040022,0.0,55.71180000000004
1800,100032.105240022,100092.33144002201,0.0,60.226199999999864
1860,100032.105240022,100095.300840022,0.0,63.195599999999715
1920,100032.105240022,100075.09584002201,0.0,42.9905999999999
1980,100032.105240022,100070.23524002201,0.0,38.12999999999985
2040,100032.105240022,100085.97924002202,0.0,53.87400000000003
2100,100032.105240022,100092.899040022,0.0,60.793800000000005
2160,100032.105240022,100103.63184002202,0.0,71.52659999999999
2220,100032.105240022,100107.816240022,0.0,75.71099999999991
2280,100032.105240022,100131.280440022,0.0,99.17519999999999
2340,100032.105240022,100125.176640022,0.0,93.07139999999974
2400,100032.105240022,100132.087440022,0.0,99.98219999999971
2460,100032.105240022,100150.57404002201,0.0,118.4687999999999
2520,100032.105240022,100143.422640022,0.0,111.31740000000016
2580,100032.105240022,100096.471440022,0.0,64.3662
2640,100032.105240022,100099.95804002201,0.0,67.85279999999973
2700,100032.105240022,100127.243040022,0.0,95.1377999999996
2760,100032.105240022,100125.40764002201,0.0,93.30240000000012
2820,100032.105240022,100128.597840022,0.0,96.4925999999997
2880,100032.105240022,100143.920640022,0.0,111.81539999999991
2940,100032.105240022,100208.78544002201,0.0,176.6802
3000,100032.105240022,100195.22304002201,0.0,163.11779999999976
3060,100032.105240022,100184.18124002201,0.0,152.07600000000033
3120,100032.105240022,100197.144240022,0.0,165.03900000000024
3180,100032.105240022,100181.86644002202,0.0,149.7612000000003
3240,100032.105240022,100166.313240022,0.0,134.20800000000037
3300,100032.105240022,100136.16444002201,0.0,104.05919999999996
3360,100032.105240022,100128.20304002201,0.0,96.09779999999975
3420,100032.105240022,100143.108240022,0.0,111.00300000000003
3480,100032.105240022,100180.187040022,0.0,148.08179999999982
3540,100032.105240022,100139.92044002202,0.0,107.81519999999978
3600,100070.01448247001,100136.75604002201,0.0,104.65079999999982
3660,100070.01448247001,100097.37291247,0.0,27.358429999999935
3720,100070.01448247001,100091.84307247002,0.0,21.82859
3780,100070.01448247001,99993.74533247002,0.0,-76.26915000000014
3840,100070.01448247001,100017.51783247001,0.0,-52.496650000000486
3900,100070.01448247001,100041.08719247002,0.0,-28.92729000000026
3960,100070.01448247001,100021.95374247001,0.0,-48.06074000000022
4020,100070.01448247001,100040.43299247001,0.0,-29.58149000000012
4080,100070.01448247001,100045.50100247002,0.0,-24.513480000000115
4140,100070.01448247001,100035.11718247001,0.0,-34.89729999999996
4200,100070.01448247001,100050.68678247002,0.0,-19.32770000000019
4260,100070.01448247001,100061.51905247002,0.0,-8.49543000000049
4320,100070.01448247001,100063.89506247001,0.0,-6.119420000000236
4380,100068.73326393,100050.38007247001,0.0,-19.63441000000048
4440,100068.73326393,99989.57234393,0.0,-79.1609200000008
4500,100068.73326393,100060.70850393,0.0,-8.024760000001146
4560,100068.73326393,100045.12847393,0.0,-23.604790000000733
4620,100065.49689647,99994.24572393,0.0,-74.48754000000136
4680,100065.49689647,99884.52273647,0.0,-180.97415999999842
4740,100065.49689647,99902.67443647,0.0,-162.82245999999887
4800,100146.55716346262,99938.32283647,0.0,-127.17405999999693
4860,100146.55716346262,100126.289443308,0.0,-20.26772015463961
4920,100146.55716346262,99986.25935330799,0.0,-160.29781015463826
4980,100146.55716346262,99945.752183308,0.0,-200.80498015463826
5040,100146.55716346262,100043.15006330798,0.0,-103.40710015463966
5100,100236.63285942511,100165.40698330798,0.0,18.849819845360457
5160,100236.63285942511,100337.777760548,0.0,101.14490112288459
5220,100236.63285942511,100332.579440548,0.0,95.94658112288454
5280,100236.63285942511,100377.375780548,0.0,140.74292112288492
5340,100236.63285942511,100342.390940548,0.0,105.75808112288442
5400,100236.63285942511,100324.105320548,0.0,87.47246112288474
5460,100236.63285942511,100358.39254054798,0.0,121.75968112288403
5520,100236.63285942511,100346.584040548,0.0,109.95118112288438
5580,100236.63285942511,100390.183020548,0.0,153.550161122885
5640,100236.63285942511,100402.010400548,0.0,165.3775411228845
5700,100236.63285942511,100369.720060548,0.0,133.08720112288435
5760,100236.63285942511,100387.309240548,0.0,150.67638112288427
5820,100236.63285942511,100402.311120548,0.0,165.67826112288435
5880,100236.63285942511,100402.190340548,0.0,165.55748112288458
5940,100236.63285942511,100377.58402054799,0.0,140.9511611228845
6000,100236.63285942511,100377.660460548,0.0,141.02760112288485
6060,100236.63285942511,100471.932340548,0.0,235.2994811228847
6120,100236.63285942511,100447.75514054799,0.0,211.1222811228841
6180,100236.63285942511,100453.72738054799,0.0,217.09452112288452
6240,100236.63285942511,100439.66960054799,0.0,203.0367411228845
6300,100236.63285942511,100443.79912054799,0.0,207.16626112288446
6360,100287.01351581998,100380.277680548,0.0,143.64482112288448
6420,100287.01351581998,100295.70583581997,0.0,8.692319999999727
6480,100287.01351581998,100303.14685581998,0.0,16.133339999999546
6540,100287.01351581998,100314.42283581999,0.0,27.409319999999852
6600,100287.01351581998,100342.41509581999,0.0,55.40157999999978
6660,100287.01351581998,100305.81838581998,0.0,18.804870000000026
6720,100287.01351581998,100293.03120581998,0.0,6.017689999999995
6780,100287.01351581998,100312.24262581998,0.0,25.229109999999856
6840,100287.01351581998,100311.24007582,0.0,24.22655999999972
6900,100287.01351581998,100317.03264581999,0.0,30.019130000000054
6960,100287.01351581998,100321.37619581999,0.0,34.36267999999959
7020,100287.01351581998,100351.04147581998,0.0,64.02795999999984
7080,100287.01351581998,100343.06709581998,0.0,56.05357999999952
7140,100287.01351581998,100334.42866581999,0.0,47.41514999999977
7200,100287.01351581998,100363.44134581999,0.0,76.42782999999977
7260,100287.01351581998,100315.07557581998,0.0,28.062059999999715
7320,100287.01351581998,100337.66757581999,0.0,50.654060000000015
7380,100287.01351581998,100329.63995581999,0.0,42.626439999999704
7440,100287.01351581998,100335.51098581997,0.0,48.497469999999964
7500,100287.01351581998,100359.24007582,0.0,72.22655999999975
7560,100287.01351581998,100362.15813581999,0.0,75.14462000000006
7620,100287.01351581998,100370.53083581998,0.0,83.51731999999959
7680,100287.01351581998,100377.09559581999,0.0,90.08207999999986
7740,100287.01351581998,100376.70017581999,0.0,89.68665999999976
7800,100287.01351581998,100383.87067581998,0.0,96.85715999999994
7860,100287.01351581998,100437.53695581999,0.0,150.5234399999997
7920,100287.01351581998,100473.52097581998,0.0,186.50745999999987
7980,100287.01351581998,100438.08397581999,0.0,151.07046000000005
8040,100287.01351581998,100419.03518581999,0.0,132.02166999999983
8100,100287.01351581998,100425.19283581998,0.0,138.17931999999956
8160,100287.01351581998,100431.12983581999,0.0,144.11631999999997
8220,100287.01351581998,100433.27353581999,0.0,146.2600199999999
8280,100287.01351581998,100430.58193582,0.0,143.56841999999986
8340,100287.01351581998,100418.04335581999,0.0,131.02983999999938
8400,100287.01351581998,100402.33889581998,0.0,115.32537999999978
8460,100287.01351581998,100404.71181581999,0.0,117.69829999999946
8520,100287.01351581998,100430.14315581998,0.0,143.12963999999988
8580,100336.49106310398,100451.02103581998,0.0,164.0075199999997
8640,100356.06519077104,100302.12261310399,0.0,-34.368450000000024
8700,100356.06519077104,100400.33565670397,0.0,44.270465932935345
8760,100356.06519077104,100405.44478670399,0.0,49.3795959329354
8820,100356.06519077104,100452.56086670398,0.0,96.49567593293523
8880,100356.06519077104,100439.78711670397,0.0,83.72192593293546
8940,100356.06519077104,100427.17618670397,0.0,71.11099593293562
9000,100356.06519077104,100445.62397670398,0.0,89.5587859329352
9060,100356.06519077104,100417.27513670397,0.0,61.2099459329354
9120,100356.06519077104,100440.26724670398,0.0,84.20205593293556
9180,100356.06519077104,100454.58683670398,0.0,98.52164593293563
9240,100356.06519077104,100443.37058670398,0.0,87.30539593293565
9300,100356.06519077104,100426.94900670397,0.0,70.88381593293589
9360,100356.06519077104,100418.52438670397,0.0,62.45919593293584
9420,100356.06519077104,100452.83261670398,0.0,96.76742593293525
9480,100356.06519077104,100496.15556670396,0.0,140.09037593293516
9540,100356.06519077104,100511.71156670398,0.0,155.64637593293497
9600,100356.06519077104,100515.12023670398,0.0,159.05504593293506
9660,100356.06519077104,100540.65514670398,0.0,184.58995593293523
9720,100356.06519077104,100615.46242670398,0.0,259.3972359329352
9780,100356.06519077104,100673.27808670398,0.0,317.2128959329351
9840,100356.06519077104,100666.78211670397,0.0,310.71692593293534
9900,100356.06519077104,100630.78743670398,0.0,274.72224593293544
9960,100356.06519077104,100669.37964670398,0.0,313.3144559329358
10020,100356.06519077104,100665.61074670397,0.0,309.54555593293526
10080,100356.06519077104,100677.35610670398,0.0,321.29091593293566
10140,100356.06519077104,100724.01051670397,0.0,367.9453259329355
10200,100356.06519077104,100715.44225670397,0.0,359.37706593293547
10260,100356.06519077104,100681.78025670399,0.0,325.7150659329357
10320,100356.06519077104,100682.90203670398,0.0,326.83684593293583
10380,100356.06519077104,100665.60735670397,0.0,309.54216593293575
10440,100356.06519077104,100645.53522670399,0.0,289.47003593293573
10500,100356.06519077104,100595.31902670398,0.0,239.2538359329352
10560,100356.06519077104,100635.03593670398,0.0,278.9707459329354
10620,100356.06519077104,100635.90630670398,0.0,279.84111593293517
10680,100356.06519077104,100617.57323670397,0.0,261.50804593293543
10740,100356.06519077104,100665.42804670398,0.0,309.36285593293564
10800,100356.06519077104,100652.29198670397,0.0,296.22679593293543
10860,100356.06519077104,100625.91154670398,0.0,269.84635593293524
10920,100356.06519077104,100640.30672670397,0.0,284.2415359329356
10980,100356.06519077104,100664.88922670398,0.0,308.82403593293554
11040,100356.06519077104,100659.95897670399,0.0,303.89378593293543
11100,100356.06519077104,100722.79723670399,0.0,366.73204593293576
11160,100356.06519077104,100726.07025670398,0.0,370.0050659329356
11220,100356.06519077104,100692.64249670398,0.0,336.5773059329356
11280,100356.06519077104,100723.83534670397,0.0,367.7701559329356
11340,100356.06519077104,100717.84293670398,0.0,361.77774593293555
11400,100356.06519077104,100723.87626670397,0.0,367.8110759329354
11460,100356.06519077104,100692.19283670397,0.0,336.1276459329357
11520,100356.06519077104,100654.25591670397,0.0,298.19072593293583
11580,100356.06519077104,100720.53665670397,0.0,364.47146593293525
11640,100356.06519077104,100719.12445670397,0.0,363.0592659329354
11700,100356.06519077104,100715.06023670397,0.0,358.99504593293545
11760,100356.06519077104,100724.65548670398,0.0,368.5902959329353
11820,100356.06519077104,100690.23459670397,0.0,334.1694059329352
11880,100480.63381544103,100714.48234670398,0.0,358.41715593293554
11940,100480.63381544103,100648.78714137396,0.0,168.15332593293584
12000,100480.63381544103,100620.49082137397,0.0,139.8570059329355
12060,100480.63381544103,100630.60422137397,0.0,149.9704059329353
12120,100480.63381544103,100636.96991137398,0.0,156.33609593293517
12180,100573.92076405197,100606.90236137397,0.0,126.2685459329357
12240,100573.92076405197,100566.19335405197,0.0,-7.727410000000203
12300,100573.92076405197,100582.20646405197,0.0,8.285700000000055
12360,100573.92076405197,100601.47403405196,0.0,27.553270000000314
