,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2,BNB,0.0,-0.4195620000000001,99999.580438,0.0,99999.580438,1.0,123.75,16.952,123.75,16.952,entry_initial_normal_long
1,2,BTC,0.0,-0.41912560800000004,99999.16131239201,0.0,99999.16131239201,1.0,0.242,8659.62,0.242,8659.62,entry_initial_normal_long
2,846,BTC,18.665459999999804,-0.4228587,100017.403913692,0.0,100017.403913692,1.0,-0.242,8736.75,0.0,8659.62,close_trailing_long
3,847,BTC,0.0,-0.41996831999999995,100016.983945372,0.0,100016.983945372,1.0,0.24,8749.34,0.24,8749.34,entry_initial_normal_long
4,961,BNB,15.963749999999726,-0.42275475,100032.52494062201,0.0,100032.52494062201,1.0,-123.75,17.081,0.0,16.952,close_trailing_long
5,962,BNB,0.0,-0.41970060000000003,100032.105240022,0.0,100032.105240022,1.0,123.0,17.061,123.0,17.061,entry_initial_normal_long
6,3631,BTC,30.494399999999878,-0.4260672,100062.17357282201,0.0,100062.17357282201,1.0,-0.24,8876.4,0.0,8749.34,close_trailing_long
7,3632,BNB,9.1020000000002,-0.42152100000000003,100070.85405182201,0.0,100070.85405182201,1.0,-123.0,17.135,0.0,17.061,close_trailing_long
8,3632,BTC,0.0,-0.419722696,100070.43432912602,0.0,100070.43432912602,1.0,0.236,8892.43,0.236,8892.43,entry_initial_normal_long
9,3633,BNB,0.0,-0.419846656,100070.01448247001,0.0,100070.01448247001,1.0,122.39,17.152,122.39,17.152,entry_initial_normal_long
10,4398,BTC,0.0,-0.6403257,100069.37415677,0.0,100069.37415677,1.0,0.369,8676.5,0.605,8760.730545454546,entry_grid_normal_long
11,4403,BNB,0.0,-0.64089284,100068.73326393,0.0,100068.73326393,1.0,191.54,16.73,313.93,16.894522600579748,entry_grid_normal_long
12,4654,BNB,0.0,-1.6183421999999998,100067.11492173,0.0,100067.11492173,1.0,491.3,16.47,805.23,16.635505979657985,entry_grid_normal_long
13,4657,BTC,0.0,-1.6180252599999998,100065.49689647,0.0,100065.49689647,1.0,0.947,8542.9,1.552,8627.81461340206,entry_grid_normal_long
14,4805,BTC,61.233041056701346,-1.60149006,100125.12844746669,0.0,100125.12844746669,1.0,-0.921,8694.3,0.631,8627.81461340206,close_grid_long
15,4806,BTC,21.987019097938326,-0.558303102,100146.55716346262,0.0,100146.55716346262,1.0,-0.321,8696.31,0.31,8627.81461340206,close_grid_long
16,5121,BNB,92.21752872247802,-2.1418327600000007,100236.63285942511,0.0,100236.63285942511,1.0,-638.21,16.78,167.02,16.635505979657985,close_grid_long
17,6371,BTC,48.56626984536102,-0.54463776,100284.65449151048,0.0,100284.65449151048,1.0,-0.31,8784.48,0.0,8627.81461340206,close_trailing_long
18,6372,BNB,3.7569512775235268,-0.5564438320000001,100287.854998956,0.0,100287.854998956,1.0,-167.02,16.658,0.0,16.635505979657985,close_trailing_long
