,balance,equity,balance_btc,equity_btc
0,99999.15401739201,100000.0,0.0,0.0
60,99999.15401739201,100033.50641739201,0.0,34.352399999999484
120,99999.15401739201,100011.06669739202,0.0,11.912679999999492
180,99999.15401739201,100046.068617392,0.0,46.91459999999983
240,99999.15401739201,100047.130097392,0.0,47.97607999999958
300,99999.15401739201,100105.42401739201,0.0,106.26999999999956
360,99999.15401739201,100133.729137392,0.0,134.57511999999934
420,99999.15401739201,100100.546537392,0.0,101.39251999999986
480,99999.15401739201,100110.68049739201,0.0,111.52647999999948
540,99999.15401739201,100139.05973739202,0.0,139.90571999999963
600,99999.15401739201,100149.56805739201,0.0,150.4140399999995
660,99999.15401739201,100139.615537392,0.0,140.4615199999994
720,99999.15401739201,100146.79457739201,0.0,147.64055999999954
780,99999.15401739201,100114.90549739201,0.0,115.75147999999955
840,100017.123915936,100079.72249739201,0.0,80.56847999999951
900,100017.123915936,100100.513435936,0.0,83.38952
960,100032.383298616,100021.78199593599,0.0,4.658079999999794
1020,100032.383298616,100043.694878616,0.0,11.311580000000095
1080,100032.383298616,100073.740178616,0.0,41.356879999999904
1140,100032.383298616,100064.413518616,0.0,32.03022000000005
1200,100032.383298616,100053.318558616,0.0,20.93525999999989
1260,100032.383298616,100068.17207861599,0.0,35.78878000000005
1320,100032.383298616,100111.190438616,0.0,78.8071400000001
1380,100032.383298616,100105.09223861601,0.0,72.70894000000028
1440,100032.383298616,100077.534958616,0.0,45.1516599999998
1500,100032.383298616,100094.896418616,0.0,62.51312000000004
1560,100032.383298616,100074.695078616,0.0,42.31178000000014
1620,100032.383298616,100084.128798616,0.0,51.74549999999993
1680,100032.383298616,100093.300258616,0.0,60.916960000000174
1740,100032.383298616,100088.589478616,0.0,56.20618000000004
1800,100032.383298616,100093.143398616,0.0,60.760099999999866
1860,100032.383298616,100096.141058616,0.0,63.757759999999706
1920,100032.383298616,100075.75675861599,0.0,43.3734599999999
1980,100032.383298616,100070.85365861599,0.0,38.47035999999986
2040,100032.383298616,100086.735318616,0.0,54.35202000000003
2100,100032.383298616,100093.713258616,0.0,61.329960000000014
2160,100032.383298616,100104.54005861601,0.0,72.15675999999999
2220,100032.383298616,100108.759138616,0.0,76.37583999999991
2280,100032.383298616,100132.42865861599,0.0,100.04535999999999
2340,100032.383298616,100126.270858616,0.0,93.88755999999974
2400,100032.383298616,100133.239438616,0.0,100.85613999999971
2460,100032.383298616,100151.884558616,0.0,119.50125999999992
2520,100032.383298616,100144.673658616,0.0,112.29036000000018
2580,100032.383298616,100097.315618616,0.0,64.93232
2640,100032.383298616,100100.83079861599,0.0,68.44749999999974
2700,100032.383298616,100128.35219861599,0.0,95.96889999999959
2760,100032.383298616,100126.501978616,0.0,94.11868000000013
2820,100032.383298616,100129.719998616,0.0,97.3366999999997
2880,100032.383298616,100145.174098616,0.0,112.79079999999992
2940,100032.383298616,100210.59805861599,0.0,178.21476000000004
3000,100032.383298616,100196.915038616,0.0,164.53173999999976
3060,100032.383298616,100185.777518616,0.0,153.39422000000036
3120,100032.383298616,100198.851298616,0.0,166.46800000000025
3180,100032.383298616,100183.439818616,0.0,151.0565200000003
3240,100032.383298616,100167.74959861599,0.0,135.3663000000004
3300,100032.383298616,100137.341958616,0.0,104.95865999999997
3360,100032.383298616,100129.314498616,0.0,96.93119999999976
3420,100032.383298616,100144.344098616,0.0,111.96080000000003
3480,100032.383298616,100181.741958616,0.0,149.35865999999982
3540,100032.383298616,100141.12621861599,0.0,108.74291999999977
3600,100070.614753244,100137.934118616,0.0,105.55081999999982
3660,100070.614753244,100098.21240324399,0.0,27.597649999999938
3720,100070.614753244,100092.639343244,0.0,22.024589999999996
3780,100070.614753244,99993.67168324399,0.0,-76.94307000000013
3840,100070.614753244,100017.65210324399,0.0,-52.962650000000494
3900,100070.614753244,100041.42948324399,0.0,-29.185270000000262
3960,100070.614753244,100022.127013244,0.0,-48.48774000000022
4020,100070.614753244,100040.768083244,0.0,-29.846670000000124
4080,100070.614753244,100045.87995324399,0.0,-24.734800000000114
4140,100070.614753244,100035.406313244,0.0,-35.20843999999996
4200,100070.614753244,100051.11183324398,0.0,-19.502920000000188
4260,100070.614753244,100062.038303244,0.0,-8.576450000000495
4320,100070.614753244,100064.43635324399,0.0,-6.178400000000241
4380,100068.13723936399,100050.81138324398,0.0,-19.80337000000048
4440,100068.13723936399,100007.939219364,0.0,-60.19801999999818
4500,100077.59155462398,100119.882139364,0.0,51.74490000000129
4560,100077.59155462398,100100.66120462399,0.0,23.069650000001694
4620,100073.40649738398,100027.75081462399,0.0,-49.84073999999924
4680,100073.40649738398,99841.50059738399,0.0,-231.90589999999673
4740,100073.40649738398,99898.591717384,0.0,-174.81477999999674
4800,100073.40649738398,99910.78339738399,0.0,-162.62309999999445
4860,100073.40649738398,100200.97911738399,0.0,127.57262000000185
4920,100073.40649738398,99888.68707738399,0.0,-184.719419999995
4980,100073.40649738398,99801.99711738399,0.0,-271.40937999999534
5040,100244.27952184399,100019.53423738398,0.0,-53.872259999998235
5100,100253.43164008397,100299.06535184398,0.0,54.78583000000016
5160,100253.43164008397,100498.83752258397,0.0,245.4058825000017
5220,100253.43164008397,100485.24046258397,0.0,231.80882250000153
5280,100253.43164008397,100602.12665258397,0.0,348.6950125000025
5340,100253.43164008397,100510.90861258397,0.0,257.47697250000124
5400,100253.43164008397,100463.15804258398,0.0,209.72640250000208
5460,100253.43164008397,100552.58967258397,0.0,299.1580325000002
5520,100253.43164008397,100521.89038258398,0.0,268.45874250000116
5580,100253.43164008397,100635.63929258398,0.0,382.2076525000027
5640,100253.43164008397,100666.54742258397,0.0,413.11578250000144
5700,100253.43164008397,100582.18527258399,0.0,328.75363250000106
5760,100253.43164008397,100628.02206258399,0.0,374.59042250000084
5820,100253.43164008397,100667.07806258397,0.0,413.64642250000105
5880,100253.43164008397,100666.72343258398,0.0,413.29179250000163
5940,100253.43164008397,100602.49749258398,0.0,349.06585250000154
6000,100253.43164008397,100602.78927258398,0.0,349.35763250000235
6060,100253.43164008397,100849.00839258397,0.0,595.5767525000019
6120,100253.43164008397,100785.85435258396,0.0,532.4227125000003
6180,100253.43164008397,100801.44951258399,0.0,548.0178725000014
6240,100253.43164008397,100764.81508258397,0.0,511.3834425000015
6300,100253.43164008397,100775.64018258397,0.0,522.2085425000014
6360,100379.24069474799,100609.99622258397,0.0,356.5645825000014
6420,100379.24069474799,100391.320914748,0.0,12.080219999999699
6480,100379.24069474799,100398.85655474798,0.0,19.61585999999952
6540,100379.24069474799,100410.244314748,0.0,31.003619999999824
6600,100379.24069474799,100438.51561474799,0.0,59.27491999999975
6660,100379.24069474799,100401.51601474799,0.0,22.27532
6720,100379.24069474799,100388.62058474799,0.0,9.37988999999997
6780,100379.24069474799,100408.02885474799,0.0,28.788159999999827
6840,100379.24069474799,100407.018744748,0.0,27.778049999999688
6900,100379.24069474799,100412.85688474799,0.0,33.61619000000003
6960,100379.24069474799,100417.23263474798,0.0,37.991939999999566
7020,100379.24069474799,100447.182244748,0.0,67.94154999999981
7080,100379.24069474799,100439.129934748,0.0,59.88923999999949
7140,100379.24069474799,100430.39557474799,0.0,51.154879999999736
7200,100379.24069474799,100459.69417474799,0.0,80.45347999999974
7260,100379.24069474799,100410.83449474798,0.0,31.593799999999685
7320,100379.24069474799,100433.659514748,0.0,54.41881999999998
7380,100379.24069474799,100425.54356474799,0.0,46.30286999999967
7440,100379.24069474799,100431.490684748,0.0,52.24998999999994
7500,100379.24069474799,100455.45401474799,0.0,76.21331999999971
7560,100379.24069474799,100458.403544748,0.0,79.16285000000005
7620,100379.24069474799,100466.86331474798,0.0,87.62261999999956
7680,100379.24069474799,100473.48342474799,0.0,94.24272999999982
7740,100379.24069474799,100473.10460474799,0.0,93.86390999999973
7800,100379.24069474799,100480.31561474799,0.0,101.0749199999999
7860,100379.24069474799,100534.494444748,0.0,155.25374999999968
7920,100379.24069474799,100570.800324748,0.0,191.55962999999986
7980,100379.24069474799,100535.023644748,0.0,155.78295000000003
8040,100379.24069474799,100515.781024748,0.0,136.5403299999998
8100,100379.24069474799,100521.996424748,0.0,142.75572999999952
8160,100379.24069474799,100527.97771474799,0.0,148.73701999999994
8220,100379.24069474799,100530.146404748,0.0,150.90570999999989
8280,100379.24069474799,100527.434354748,0.0,148.19365999999985
8340,100379.24069474799,100514.772184748,0.0,135.53148999999934
8400,100379.24069474799,100498.885704748,0.0,119.64500999999976
8460,100379.24069474799,100501.28221474799,0.0,122.04151999999944
8520,100379.24069474799,100526.961624748,0.0,147.72092999999987
8580,100432.37865868799,100548.02375474798,0.0,168.78305999999967
8640,100440.60503238799,100397.65641868798,0.0,-34.72224000000002
8700,100440.60503238799,100562.18401238798,0.0,121.57897999999938
8760,100440.60503238799,100567.630112388,0.0,127.02507999999976
8820,100440.60503238799,100644.015642388,0.0,203.41060999999905
8880,100440.60503238799,100629.72363238799,0.0,189.11859999999956
8940,100440.60503238799,100600.45813238798,0.0,159.85309999999976
9000,100440.60503238799,100649.69374238799,0.0,209.0887099999992
9060,100440.60503238799,100589.076292388,0.0,148.4712599999998
9120,100440.60503238799,100627.77706238799,0.0,187.17202999999955
9180,100440.60503238799,100651.20429238799,0.0,210.59925999999996
9240,100440.60503238799,100630.38022238799,0.0,189.77518999999998
9300,100440.60503238799,100595.90272238798,0.0,155.2976900000005
9360,100440.60503238799,100575.47373238798,0.0,134.86870000000033
9420,100440.60503238799,100629.422832388,0.0,188.81779999999918
9480,100440.60503238799,100693.58555238799,0.0,252.9805199999989
9540,100440.60503238799,100733.67408238798,0.0,293.0690499999986
9600,100440.60503238799,100734.153592388,0.0,293.548559999999
9660,100440.60503238799,100764.61716238799,0.0,324.012129999999
9720,100440.60503238799,100885.274832388,0.0,444.669799999999
9780,100440.60503238799,101044.40706238798,0.0,603.8020299999989
9840,100440.60503238799,101008.36048238799,0.0,567.7554499999997
9900,100440.60503238799,100940.538122388,0.0,499.9330899999998
9960,100440.60503238799,101011.26222238799,0.0,570.6571900000005
10020,100440.60503238799,100991.22441238798,0.0,550.6193799999993
10080,100440.60503238799,100990.147172388,0.0,549.5421400000001
10140,100440.60503238799,101101.47813238799,0.0,660.8730999999996
10200,100440.60503238799,101089.55416238798,0.0,648.9491299999993
10260,100440.60503238799,101039.23334238799,0.0,598.6283099999999
10320,100440.60503238799,101031.17856238798,0.0,590.5735300000003
10380,100440.60503238799,100993.11328238799,0.0,552.5082500000001
10440,100440.60503238799,100956.28926238799,0.0,515.6842300000002
10500,100440.60503238799,100864.868692388,0.0,424.26365999999905
10560,100440.60503238799,100936.73216238798,0.0,496.1271299999995
10620,100440.60503238799,100931.936972388,0.0,491.331939999999
10680,100440.60503238799,100894.71206238799,0.0,454.10702999999955
10740,100440.60503238799,100980.22616238799,0.0,539.6211299999999
10800,100440.60503238799,100963.674812388,0.0,523.0697799999996
10860,100440.60503238799,100913.16131238798,0.0,472.55627999999905
10920,100440.60503238799,100932.06952238799,0.0,491.46448999999996
10980,100440.60503238799,100970.489122388,0.0,529.88409
11040,100440.60503238799,100969.54950238798,0.0,528.9444699999991
11100,100440.60503238799,101114.846802388,0.0,674.2417700000003
11160,100440.60503238799,101121.94712238798,0.0,681.34209
11220,100440.60503238799,101060.50977238799,0.0,619.90474
11280,100440.60503238799,101125.900632388,0.0,685.2955999999999
11340,100440.60503238799,101096.311422388,0.0,655.7063899999999
11400,100440.60503238799,101110.803652388,0.0,670.1986199999994
11460,100440.60503238799,101064.92017238798,0.0,624.3151400000002
11520,100440.60503238799,101003.780772388,0.0,563.1757400000005
11580,100440.60503238799,101143.37426238798,0.0,702.7692299999991
11640,100440.60503238799,101141.94364238798,0.0,701.3386099999992
11700,100440.60503238799,101134.04180238799,0.0,693.4367699999995
11760,100440.60503238799,101158.63031238799,0.0,718.0252799999992
11820,100440.60503238799,101085.10338238798,0.0,644.498349999999
11880,100566.80007653999,101140.75526238799,0.0,700.1502299999997
11940,100566.80007653999,101030.40954653999,0.0,463.60947000000033
12000,100566.80007653999,100978.00586653998,0.0,411.2057899999998
12060,100566.80007653999,100987.39952653999,0.0,420.59944999999954
12120,100566.80007653999,100998.97257653999,0.0,432.172499999999
12180,100837.68802568999,100940.71658653999,0.0,373.9165100000001
12240,100837.68802568999,100829.90447568998,0.0,-7.783550000000208
12300,100837.68802568999,100846.09336568999,0.0,8.405340000000054
12360,100837.68802568999,100865.55687568999,0.0,27.868850000000318
12420,100837.68802568999,100867.54676568999,0.0,29.858740000000054
12480,100837.68802568999,100885.01114568999,0.0,47.32312000000006
12540,100837.68802568999,100891.25039568999,0.0,53.56237000000032
12600,100837.68802568999,100896.46527568999,0.0,58.77725000000002
12660,100837.68802568999,100874.02542568998,0.0,36.33739999999976
12720,100837.68802568999,100884.51438569,0.0,46.8263600000004
12780,100837.68802568999,100843.58079568998,0.0,5.892770000000079
12840,100837.68802568999,100830.67488569,0.0,-7.013140000000249
12900,100837.68802568999,100814.43633569,0.0,-23.251689999999567
12960,100773.98285444398,100799.18787568998,0.0,-38.500149999999635
