,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2,BNB,0.0,-0.42339315200000005,99999.576606848,0.0,99999.576606848,1.0,124.88,16.952,124.88,16.952,entry_initial_normal_long
1,2,BTC,0.0,-0.4225894560000001,99999.15401739201,0.0,99999.15401739201,1.0,0.244,8659.62,0.244,8659.62,entry_initial_normal_long
2,846,BTC,18.819719999999805,-0.4263534,100017.547383992,0.0,100017.547383992,1.0,-0.244,8736.75,0.0,8659.62,close_trailing_long
3,847,BTC,0.0,-0.423468056,100017.123915936,0.0,100017.123915936,1.0,0.242,8749.34,0.242,8749.34,entry_initial_normal_long
4,961,BNB,16.109519999999723,-0.42661505600000005,100032.80682088,0.0,100032.80682088,1.0,-124.88,17.081,0.0,16.952,close_trailing_long
5,962,BNB,0.0,-0.42352226400000004,100032.383298616,0.0,100032.383298616,1.0,124.12,17.061,124.12,17.061,entry_initial_normal_long
6,3631,BTC,30.748519999999875,-0.42961776,100062.702200856,0.0,100062.702200856,1.0,-0.242,8876.4,0.0,8749.34,close_trailing_long
7,3632,BNB,9.184880000000202,-0.4253592400000001,100071.461721616,0.0,100071.461721616,1.0,-124.12,17.135,0.0,17.061,close_trailing_long
8,3632,BTC,0.0,-0.42327966800000005,100071.038441948,0.0,100071.038441948,1.0,0.238,8892.43,0.238,8892.43,entry_initial_normal_long
9,3633,BNB,0.0,-0.4236887040000001,100070.614753244,0.0,100070.614753244,1.0,123.51,17.152,123.51,17.152,entry_initial_normal_long
10,4403,BTC,0.0,-1.2384615600000002,100069.37629168399,0.0,100069.37629168399,1.0,0.714,8672.7,0.952,8727.6325,entry_grid_normal_long
11,4404,BNB,0.0,-1.2390523199999999,100068.13723936399,0.0,100068.13723936399,1.0,370.53,16.72,494.04,16.827999999999996,entry_grid_normal_long
12,4550,BNB,9.685820000000204,-0.23150473999999996,100077.59155462398,0.0,100077.59155462398,1.0,-68.21,16.97,425.83,16.827999999999996,close_grid_long
13,4654,BNB,0.0,-4.18505724,100073.40649738398,0.0,100073.40649738398,1.0,1277.49,16.38,1703.32,16.491999999999997,entry_grid_normal_long
